Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,7914.06,4451010000.0,1.33945663352e+11,,,
Ethereum,ETH,552.178,1269420000.0,54252809654.4,,,
Ripple,XRP,0.637897,321279000.0,24936488690.4,,,
Bitcoin Cash,BCH,949.292,413748000.0,16160272362.0,,,
Litecoin,LTC,153.18,406600000.0,8528220846.89,,,
Cardano,ADA,0.154967,81271300.0,4017840340.06,,,
NEO,NEO,61.2786,95472200.0,3983109000.0,,,
Stellar,XLM,0.207037,33190600.0,3829912190.73,,,
EOS,EOS,4.66865,141254000.0,3429166646.01,,,
IOTA,MIOTA,1.1347,38459100.0,3153933012.12,,,
Monero,XMR,197.622,49090900.0,3129448948.28,,,
Dash,DASH,384.779,95602500.0,3059852318.57,,,
NEM,XEM,0.281985,55924700.0,2537864999.72,,,
Tether,USDT,0.999059,1703640000.0,2215054484.01,,,
TRON,TRX,0.0281891,116339000.0,1853382372.51,,,
VeChain,VEN,3.68265,74496300.0,1845266665.41,,,
Ethereum Classic,ETC,16.3154,155550000.0,1640921534.47,,,
Lisk,LSK,12.177,20580400.0,1253322034.46,,,
Nano,NANO,7.95051,25500000.0,1059391855.91,,,
Qtum,QTUM,13.6423,97419400.0,1008933322.09,,,
OmiseGO,OMG,9.85468,31300400.0,1005596694.01,,,
Bitcoin Gold,BTG,58.7862,16151000.0,992714393.35,,,
Binance Coin,BNB,8.90916,94536800.0,882131568.24,,,
Zcash,ZEC,220.379,41340400.0,771798937.481,,,
ICON,ICX,1.95617,25232400.0,756142869.611,,,
DigixDAO,DGD,365.853,34087100.0,731706000.0,,,
Populous,PPT,14.155,1154780.0,523792000.69,,,
Waves,WAVES,4.6058,19437800.0,460580000.0,,,
Steem,STEEM,1.80335,1519580.0,457978702.183,,,
Bytecoin,BCN,0.00244868,2343760.0,450037528.261,,,
Verge,XVG,0.0283268,6740690.0,417025364.5,,,
Maker,MKR,660.565,226626.0,408379626.96,,,
Stratis,STRAT,4.05353,4646910.0,400410965.435,,,
Dogecoin,DOGE,0.00328086,6201780.0,372798972.39,,,
RChain,RHOC,1.03573,454094.0,372309374.422,,,
BitShares,BTS,0.136939,4663160.0,357565531.07,,,
Aeternity,AE,1.4943,3663800.0,348202491.48,,,
Augur,REP,30.5832,2180080.0,336415200.0,,,
Decred,DCR,48.3361,433923.0,336135849.695,,,
Bytom,BTM,0.33215,9982720.0,327832050.0,,,
Siacoin,SC,0.00968545,2323640.0,321350608.893,,,
Status,SNT,0.0920857,15882000.0,319581928.957,,,
Ontology,ONT,1.27658,47798400.0,307957628.618,,,
Waltonchain,WTC,11.5946,5271000.0,288684414.639,,,
Zilliqa,ZIL,0.0405707,12463800.0,267982738.725,,,
Komodo,KMD,2.57185,902459.0,267536357.442,,,
Ardor,ARDR,0.260373,2269100.0,260112495.512,,,
Ark,ARK,2.52553,1027290.0,255839472.189,,,
Cryptonex,CNX,5.43719,162750.0,245593832.36,,,
Aion,AION,2.24828,10855400.0,238270461.021,,,
0x,ZRX,0.443834,3144820.0,229983959.629,,,
Hshare,HSR,5.01019,12580000.0,214187325.168,,,
Veritaseum,VERI,105.041,252159.0,213931273.663,,,
Electroneum,ETN,0.0321536,1197040.0,207494874.445,,,
MonaCoin,MONA,3.49258,1566140.0,203045416.339,,,
PIVX,PIVX,3.59124,476225.0,200317855.761,,,
KuCoin Shares,KCS,2.18955,566476.0,199343367.056,,,
DigiByte,DGB,0.0199215,937262.0,198955541.937,,,
Basic Attenti...,BAT,0.189511,4621230.0,189511000.0,,,
Factom,FCT,21.3492,2106110.0,186700931.618,,,
Syscoin,SYS,0.351036,931288.0,186632267.15,,,
Gas,GAS,18.2934,4204630.0,181562821.088,,,
Golem,GNT,0.217402,5929030.0,181370227.324,,,
Revain,R,0.962591,2703720.0,177549909.95,,,
QASH,QASH,0.499711,3817770.0,174898850.0,,,
Ethos,ETHOS,2.28403,3655880.0,173529550.036,,,
Nebulas,NAS,4.80625,6917070.0,170621875.0,,,
Loopring,LRC,0.287508,1144110.0,164475864.044,,,
FunFair,FUN,0.0352721,785723.0,162430654.926,,,
Dragonchain,DRGN,0.661686,1465580.0,157760459.791,,,
GXChain,GXS,2.4892,4865860.0,149352000.0,,,
ZCoin,XZC,34.2332,909444.0,148232640.1,,,
Emercoin,EMC,3.53426,802868.0,146647897.032,,,
aelf,ELF,0.566668,25500200.0,141667000.0,,,
IOStoken,IOST,0.0168093,10520400.0,141198120.0,,,
Kyber Network,KNC,1.02519,3582500.0,137511499.566,,,
ReddCoin,RDD,0.00477463,3359510.0,137385928.297,,,
Dentacoin,DCN,0.000406261,52610.8,132126889.062,,,
Kin,KIN,0.000174744,138734.0,132123512.195,,,
SALT,SALT,2.34579,4485680.0,130835329.269,,,
ChainLink,LINK,0.37235,9280400.0,130322500.0,,,
SmartCash,SMART,0.159739,122528.0,128097864.883,,,
Nxt,NXT,0.125865,1740660.0,125739127.638,,,
MaidSafeCoin,MAID,0.271046,925636.0,122662521.063,,,
Cindicator,CND,0.0840397,20670000.0,121519438.858,,,
Byteball Bytes,GBYTE,186.638,306451.0,120422953.516,,,
Power Ledger,POWR,0.330547,6247600.0,120296943.806,,,
Bancor,BNT,2.9837,3121850.0,119691303.625,,,
Particl,PART,13.3737,173381.0,119014303.717,,,
Polymath,POLY,0.485289,941896.0,116469238.678,,,
TenX,PAY,1.11175,4554700.0,116357211.392,,,
Neblio,NEBL,8.85566,9287180.0,114360930.647,,,
Request Network,REQ,0.163374,3366430.0,108269092.697,,,
Iconomi,ICN,1.06893,1823200.0,106610467.78,,,
SIRIN LABS Token,SRN,0.458238,12000600.0,105054740.693,,,
Nucleus Vision,NCASH,0.0264722,13306000.0,104726619.492,,,
Nexus,NXS,1.86073,854374.0,104498190.754,,,
Dent,DENT,0.00974512,676805.0,103442119.338,,,
MinexCoin,MNX,29.62,242492.0,103079622.792,,,
