Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",3.15,3.28,2.96,3.16,"3,182,500","302,825,000"
"Mar 03, 2018",3.25,3.37,3.01,3.17,"4,288,150","312,362,000"
"Mar 02, 2018",3.09,3.37,3.04,3.26,"9,399,520","296,742,000"
"Mar 01, 2018",2.77,3.21,2.71,3.09,"5,253,550","266,493,000"
"Feb 28, 2018",3.04,3.07,2.76,2.77,"2,374,630","292,022,000"
"Feb 27, 2018",3.05,3.17,2.95,3.03,"3,612,460","293,608,000"
"Feb 26, 2018",3.25,3.25,3.03,3.04,"4,363,930","312,358,000"
"Feb 25, 2018",2.92,3.26,2.85,3.26,"4,143,510","280,984,000"
"Feb 24, 2018",3.02,3.14,2.81,2.92,"1,624,660","269,557,000"
"Feb 23, 2018",3.04,3.28,2.81,3.01,"3,484,600","271,547,000"
"Feb 22, 2018",2.94,3.30,2.82,3.05,"3,738,040","261,754,000"
"Feb 21, 2018",3.30,3.69,2.87,2.94,"5,061,120","293,664,000"
"Feb 20, 2018",3.84,4.03,3.29,3.31,"8,465,910","342,195,000"
"Feb 19, 2018",3.38,3.95,3.32,3.81,"5,406,820","301,199,000"
"Feb 18, 2018",3.93,4.35,3.27,3.39,"9,934,800","350,200,000"
"Feb 17, 2018",3.38,4.12,3.26,3.92,"12,628,600","301,295,000"
"Feb 16, 2018",3.04,3.35,2.90,3.35,"3,644,260","270,937,000"
"Feb 15, 2018",2.96,3.25,2.90,3.04,"4,510,460","263,764,000"
"Feb 14, 2018",2.80,2.99,2.80,2.96,"4,198,830","249,323,000"
"Feb 13, 2018",3.16,3.21,2.77,2.81,"3,371,000","281,419,000"
"Feb 12, 2018",2.84,3.13,2.80,2.99,"3,045,520","225,314,000"
"Feb 11, 2018",2.81,2.95,2.36,2.82,"3,658,390","222,616,000"
"Feb 10, 2018",3.03,3.13,2.64,2.82,"2,470,310","240,474,000"
"Feb 09, 2018",2.83,3.04,2.67,3.04,"433,567","224,534,000"
"Feb 08, 2018",2.56,2.93,2.56,2.83,"4,641,160","203,111,000"
"Feb 07, 2018",2.81,3.30,2.53,2.58,"4,393,470","222,806,000"
"Feb 06, 2018",2.28,2.90,1.73,2.82,"6,819,200","180,683,000"
"Feb 05, 2018",3.06,3.12,1.92,2.27,"4,358,980","242,193,000"
"Feb 04, 2018",3.59,3.69,2.84,3.08,"3,626,910","284,828,000"
"Feb 03, 2018",3.34,3.80,3.07,3.57,"3,183,990","264,424,000"
"Feb 02, 2018",3.68,3.68,2.54,3.32,"4,535,680","290,409,000"
"Feb 01, 2018",4.33,4.55,3.27,3.70,"7,184,050","342,034,000"
"Jan 31, 2018",4.30,4.44,4.05,4.30,"4,764,260","340,158,000"
"Jan 30, 2018",5.13,5.15,4.08,4.30,"11,258,100","405,467,000"
"Jan 29, 2018",5.55,5.56,4.93,5.13,"8,850,330","438,670,000"
"Jan 28, 2018",5.87,6.20,5.43,5.55,"29,936,500","463,534,000"
"Jan 27, 2018",4.65,6.04,4.49,5.79,"15,774,200","364,656,000"
"Jan 26, 2018",4.76,4.91,4.30,4.65,"7,589,420","372,697,000"
