Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",4.41,4.41,4.05,4.20,"2,644,750","445,880,000"
"Mar 03, 2018",3.99,4.73,3.99,4.42,"11,713,200","403,122,000"
"Mar 02, 2018",3.70,4.24,3.66,4.01,"4,826,680","373,088,000"
"Mar 01, 2018",3.60,3.80,3.50,3.70,"2,309,910","363,057,000"
"Feb 28, 2018",3.81,3.86,3.51,3.60,"2,011,650","384,179,000"
"Feb 27, 2018",3.78,3.96,3.71,3.81,"2,417,360","381,120,000"
"Feb 26, 2018",3.73,3.88,3.67,3.78,"2,098,460","375,807,000"
"Feb 25, 2018",3.69,3.76,3.57,3.71,"1,212,330","371,720,000"
"Feb 24, 2018",4.00,4.10,3.53,3.66,"1,508,880","403,162,000"
"Feb 23, 2018",3.77,4.04,3.70,3.99,"2,478,910","380,150,000"
"Feb 22, 2018",4.17,4.23,3.61,3.78,"1,720,080","420,489,000"
"Feb 21, 2018",4.25,4.36,4.01,4.21,"3,060,810","427,970,000"
"Feb 20, 2018",4.72,4.74,4.19,4.22,"4,660,170","475,758,000"
"Feb 19, 2018",4.63,4.80,4.61,4.71,"3,288,740","466,504,000"
"Feb 18, 2018",5.09,5.13,4.53,4.67,"3,792,090","513,059,000"
"Feb 17, 2018",4.92,5.24,4.86,5.06,"7,697,380","495,299,000"
"Feb 16, 2018",5.03,5.03,4.74,4.91,"3,728,800","506,127,000"
"Feb 15, 2018",4.49,5.09,4.47,5.07,"11,593,800","451,535,000"
"Feb 14, 2018",4.15,4.50,4.08,4.48,"4,680,770","417,331,000"
"Feb 13, 2018",4.10,4.17,3.93,4.16,"3,751,020","412,325,000"
"Feb 12, 2018",3.85,4.18,3.84,4.09,"1,926,800","386,962,000"
"Feb 11, 2018",4.14,4.14,3.61,3.83,"2,183,820","416,738,000"
"Feb 10, 2018",4.31,4.72,3.83,4.11,"5,238,780","433,729,000"
"Feb 09, 2018",3.86,4.38,3.72,4.33,"8,354,370","388,083,000"
"Feb 08, 2018",3.53,4.00,3.53,3.87,"3,197,890","354,296,000"
"Feb 07, 2018",3.79,3.99,3.38,3.53,"3,512,190","371,668,000"
"Feb 06, 2018",3.20,3.82,2.53,3.80,"4,501,820","314,007,000"
"Feb 05, 2018",4.21,4.29,2.98,3.15,"4,496,080","412,879,000"
"Feb 04, 2018",4.95,5.07,3.90,4.22,"2,017,790","484,985,000"
"Feb 03, 2018",4.56,5.11,4.26,4.95,"3,978,910","446,654,000"
"Feb 02, 2018",4.78,4.78,3.71,4.53,"5,250,790","468,386,000"
"Feb 01, 2018",5.66,5.74,4.49,4.82,"4,782,920","554,944,000"
"Jan 31, 2018",5.44,6.23,5.12,5.68,"10,352,200","533,381,000"
"Jan 30, 2018",6.67,6.74,5.32,5.47,"6,822,120","653,965,000"
"Jan 29, 2018",6.63,6.71,6.16,6.69,"6,356,180","649,538,000"
"Jan 28, 2018",6.60,6.79,6.56,6.64,"4,881,880","646,497,000"
"Jan 27, 2018",6.79,6.84,6.43,6.58,"3,968,320","665,486,000"
"Jan 26, 2018",7.34,7.40,6.08,6.80,"7,686,920","719,085,000"
"Jan 25, 2018",6.69,7.56,6.68,7.38,"17,249,700","655,317,000"
"Jan 24, 2018",6.02,6.73,5.82,6.64,"17,489,200","589,579,000"
"Jan 23, 2018",5.39,6.63,5.06,6.04,"18,838,800","528,549,000"
"Jan 22, 2018",5.99,6.27,5.09,5.44,"6,297,530","586,849,000"
"Jan 21, 2018",7.24,7.46,5.75,5.90,"14,205,300","709,006,000"
"Jan 20, 2018",6.52,7.37,6.52,7.10,"18,371,200","638,987,000"
"Jan 19, 2018",6.38,6.95,6.01,6.50,"13,964,200","625,559,000"
"Jan 18, 2018",6.20,6.84,5.66,6.40,"9,283,420","607,938,000"
"Jan 17, 2018",5.64,6.47,4.20,6.17,"10,234,900","552,392,000"
"Jan 16, 2018",7.81,7.81,4.42,5.71,"16,284,500","765,231,000"
"Jan 15, 2018",8.01,8.39,7.61,7.79,"16,063,700","785,212,000"
"Jan 14, 2018",9.02,9.09,7.61,8.20,"6,470,570","883,965,000"
"Jan 13, 2018",8.95,9.40,8.70,9.03,"9,598,570","876,738,000"
"Jan 12, 2018",8.19,9.13,7.84,9.00,"10,073,300","802,602,000"
"Jan 11, 2018",10.26,10.33,7.61,8.09,"26,056,400","1,005,740,000"
"Jan 10, 2018",9.47,10.78,8.79,10.29,"47,874,500","927,796,000"
"Jan 09, 2018",7.96,10.91,7.94,9.42,"63,507,700","780,198,000"
"Jan 08, 2018",8.05,8.31,6.70,7.98,"18,495,700","788,470,000"
"Jan 07, 2018",7.82,8.54,7.60,8.05,"21,368,600","765,967,000"
"Jan 06, 2018",6.85,7.94,6.37,7.86,"16,974,400","671,605,000"
"Jan 05, 2018",7.03,7.75,6.41,6.81,"22,767,100","689,209,000"
"Jan 04, 2018",7.60,7.66,6.85,7.12,"22,264,600","744,548,000"
"Jan 03, 2018",7.87,8.03,7.14,7.59,"18,263,600","771,084,000"
"Jan 02, 2018",7.58,8.47,6.99,7.87,"27,221,700","743,014,000"
"Jan 01, 2018",7.04,7.79,6.74,7.61,"19,811,000","689,511,000"
"Dec 31, 2017",6.74,7.21,6.36,7.04,"12,313,300","659,951,000"
"Dec 30, 2017",7.93,7.93,6.17,6.64,"11,589,400","776,676,000"
"Dec 29, 2017",6.92,7.95,6.70,7.88,"20,619,200","677,831,000"
"Dec 28, 2017",7.50,7.70,6.10,6.85,"12,237,300","734,666,000"
"Dec 27, 2017",7.72,7.84,7.10,7.41,"16,932,900","756,505,000"
"Dec 26, 2017",7.23,8.52,7.16,7.85,"23,922,600","708,818,000"
"Dec 25, 2017",6.39,7.69,6.11,7.16,"23,011,600","625,699,000"
"Dec 24, 2017",6.71,6.83,5.47,6.36,"13,022,700","657,132,000"
"Dec 23, 2017",5.89,7.43,5.84,6.62,"11,832,700","576,833,000"
"Dec 22, 2017",7.89,8.20,4.23,5.81,"14,696,000","773,220,000"
"Dec 21, 2017",7.44,9.11,7.33,7.89,"20,930,800","728,526,000"
"Dec 20, 2017",6.33,8.64,5.41,7.40,"43,849,700","620,382,000"
"Dec 19, 2017",6.89,7.25,5.88,6.34,"16,029,900","674,691,000"
"Dec 18, 2017",6.05,6.93,5.64,6.93,"17,147,600","593,180,000"
"Dec 17, 2017",5.02,6.45,4.97,5.99,"29,273,600","491,969,000"
"Dec 16, 2017",4.27,5.12,4.27,5.04,"13,104,400","418,403,000"
"Dec 15, 2017",4.56,4.63,4.03,4.28,"9,253,540","446,392,000"
"Dec 14, 2017",4.43,4.80,4.27,4.53,"9,579,810","433,807,000"
"Dec 13, 2017",4.34,4.86,4.06,4.45,"11,614,400","425,266,000"
"Dec 12, 2017",3.80,4.39,3.71,4.32,"13,228,600","371,980,000"
"Dec 11, 2017",3.48,3.89,3.45,3.78,"8,713,230","340,507,000"
"Dec 10, 2017",3.81,3.81,3.22,3.49,"7,807,360","372,977,000"
"Dec 09, 2017",4.04,4.13,3.51,3.80,"8,255,300","395,911,000"
"Dec 08, 2017",3.65,4.31,3.28,3.96,"11,599,200","357,834,000"
"Dec 07, 2017",4.16,4.44,3.62,3.70,"15,282,900","407,261,000"
"Dec 06, 2017",4.69,4.82,3.96,4.19,"19,105,200","459,564,000"
"Dec 05, 2017",4.17,4.93,4.11,4.64,"19,105,600","408,746,000"
"Dec 04, 2017",4.07,4.21,3.74,4.19,"11,746,700","398,689,000"
"Dec 03, 2017",3.66,4.44,3.66,4.04,"17,631,100","358,291,000"
"Dec 02, 2017",3.45,3.65,3.27,3.65,"7,644,860","338,418,000"
"Dec 01, 2017",3.09,3.44,2.99,3.44,"5,403,540","302,340,000"
"Nov 30, 2017",2.93,3.23,2.76,3.10,"5,214,380","287,214,000"
"Nov 29, 2017",3.43,3.48,2.82,2.88,"8,716,500","336,292,000"
"Nov 28, 2017",3.79,3.82,3.44,3.45,"8,862,270","370,914,000"
"Nov 27, 2017",3.50,4.04,3.39,3.80,"11,968,500","343,170,000"
"Nov 26, 2017",3.17,3.61,3.16,3.51,"8,287,350","311,069,000"
"Nov 25, 2017",3.06,3.24,3.02,3.18,"5,464,570","299,964,000"
"Nov 24, 2017",3.00,3.12,2.88,3.07,"4,458,740","293,677,000"
"Nov 23, 2017",3.11,3.14,2.90,2.99,"4,745,500","304,618,000"
"Nov 22, 2017",3.10,3.16,3.02,3.11,"4,599,140","303,546,000"
"Nov 21, 2017",3.14,3.16,2.93,3.09,"4,817,970","307,452,000"
"Nov 20, 2017",3.14,3.22,3.09,3.13,"4,333,500","307,463,000"
"Nov 19, 2017",3.22,3.38,3.05,3.18,"5,664,570","315,223,000"
"Nov 18, 2017",2.92,3.50,2.87,3.22,"7,024,050","286,411,000"
"Nov 17, 2017",3.14,3.22,2.81,3.03,"5,244,370","308,108,000"
"Nov 16, 2017",3.20,3.38,3.04,3.12,"6,284,450","313,749,000"
"Nov 15, 2017",3.22,3.34,3.05,3.18,"6,393,910","315,227,000"
"Nov 14, 2017",2.92,3.27,2.92,3.20,"5,482,700","286,335,000"
"Nov 13, 2017",2.55,3.02,2.55,2.92,"4,343,960","250,323,000"
"Nov 12, 2017",2.89,2.89,2.35,2.56,"4,588,840","283,281,000"
"Nov 11, 2017",2.89,3.15,2.80,2.89,"4,706,850","282,786,000"
"Nov 10, 2017",3.24,3.54,2.68,2.88,"6,912,780","317,243,000"
"Nov 09, 2017",2.92,3.70,2.84,3.28,"10,849,400","286,368,000"
"Nov 08, 2017",2.56,3.36,2.47,2.93,"7,670,070","250,582,000"
"Nov 07, 2017",2.57,2.71,2.43,2.57,"3,867,380","252,297,000"
"Nov 06, 2017",2.38,2.62,2.32,2.56,"5,170,100","232,885,000"
"Nov 05, 2017",2.34,2.53,2.24,2.36,"2,731,690","229,169,000"
