Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.012924,0.013200,0.011876,0.012653,"59,487","10,243,000"
"Mar 03, 2018",0.013318,0.013736,0.012917,0.012947,"60,107","10,554,800"
"Mar 02, 2018",0.011984,0.014185,0.011937,0.013334,"166,709","9,497,820"
"Mar 01, 2018",0.010933,0.012351,0.010858,0.012015,"66,126","8,664,700"
"Feb 28, 2018",0.012470,0.012682,0.010714,0.010917,"40,474","9,882,610"
"Feb 27, 2018",0.012489,0.012828,0.011943,0.012487,"36,869","9,898,140"
"Feb 26, 2018",0.012175,0.012915,0.011757,0.012453,"30,156","9,649,050"
"Feb 25, 2018",0.012101,0.012873,0.011966,0.012159,"18,436","9,590,580"
"Feb 24, 2018",0.012886,0.013961,0.011751,0.012120,"35,935","10,212,800"
"Feb 23, 2018",0.012005,0.013320,0.011718,0.012903,"39,571","9,514,470"
"Feb 22, 2018",0.012860,0.013732,0.011990,0.012016,"21,407","10,192,100"
"Feb 21, 2018",0.014681,0.014681,0.012649,0.012873,"28,914","11,635,300"
"Feb 20, 2018",0.014375,0.015820,0.013878,0.014301,"68,476","11,393,000"
"Feb 19, 2018",0.013400,0.014603,0.013359,0.014211,"64,100","10,620,100"
"Feb 18, 2018",0.014408,0.014982,0.013157,0.013462,"45,405","11,419,300"
"Feb 17, 2018",0.013441,0.014856,0.013268,0.014365,"63,684","10,652,700"
"Feb 16, 2018",0.013815,0.014085,0.013095,0.013444,"44,317","10,948,800"
"Feb 15, 2018",0.013889,0.014480,0.013075,0.013874,"90,483","11,007,400"
"Feb 14, 2018",0.012135,0.013900,0.012041,0.013637,"46,027","9,617,790"
"Feb 13, 2018",0.013717,0.013717,0.012172,0.012172,"36,666","10,871,300"
"Feb 12, 2018",0.012556,0.014003,0.012556,0.013692,"47,669","9,951,240"
"Feb 11, 2018",0.014948,0.015032,0.012259,0.012477,"101,482","11,847,200"
"Feb 10, 2018",0.012506,0.015798,0.012444,0.015060,"317,620","9,911,150"
"Feb 09, 2018",0.011945,0.012902,0.011125,0.012496,"77,894","9,467,020"
"Feb 08, 2018",0.010605,0.012565,0.010605,0.011909,"55,259","8,404,960"
"Feb 07, 2018",0.011280,0.012585,0.010196,0.010648,"59,221","8,939,920"
"Feb 06, 2018",0.009640,0.011384,0.007535,0.011323,"55,248","7,639,980"
"Feb 05, 2018",0.013379,0.013567,0.009386,0.009628,"50,186","10,603,300"
"Feb 04, 2018",0.014329,0.015140,0.012749,0.013589,"140,787","11,356,000"
"Feb 03, 2018",0.013208,0.014960,0.011736,0.014325,"56,122","10,468,100"
"Feb 02, 2018",0.014878,0.015046,0.010102,0.013411,"166,237","11,791,500"
"Feb 01, 2018",0.018329,0.019202,0.014250,0.014995,"73,126","14,526,100"
"Jan 31, 2018",0.018360,0.020227,0.017849,0.018288,"78,140","14,551,400"
"Jan 30, 2018",0.021656,0.022078,0.018292,0.018728,"104,046","17,162,900"
"Jan 29, 2018",0.023952,0.024406,0.021530,0.021638,"89,334","18,982,900"
"Jan 28, 2018",0.023914,0.024898,0.023286,0.023978,"104,906","18,952,700"
"Jan 27, 2018",0.022927,0.024317,0.022592,0.023800,"112,686","18,170,500"
"Jan 26, 2018",0.022639,0.025670,0.021142,0.023224,"317,002","17,942,000"
"Jan 25, 2018",0.024577,0.024921,0.022131,0.022709,"171,044","19,477,800"
"Jan 24, 2018",0.023477,0.025367,0.023034,0.024191,"156,235","18,606,700"
"Jan 23, 2018",0.022610,0.024522,0.021037,0.023563,"175,365","17,918,900"
"Jan 22, 2018",0.025311,0.026524,0.020996,0.022666,"216,160","20,059,800"
"Jan 21, 2018",0.030569,0.030569,0.024406,0.025278,"248,103","24,227,400"
"Jan 20, 2018",0.027324,0.031512,0.026379,0.030506,"411,861","21,655,200"
"Jan 19, 2018",0.029627,0.031663,0.025662,0.026939,"540,680","23,480,400"
"Jan 18, 2018",0.024951,0.033903,0.024109,0.029979,"1,057,860","19,774,500"
"Jan 17, 2018",0.026279,0.029053,0.019068,0.024778,"563,650","20,827,000"
"Jan 16, 2018",0.036890,0.036890,0.022868,0.025383,"756,650","29,236,700"
"Jan 15, 2018",0.034457,0.042076,0.033745,0.036460,"1,291,130","27,308,300"
"Jan 14, 2018",0.038043,0.038550,0.032500,0.034056,"679,020","30,150,600"
"Jan 13, 2018",0.041080,0.043050,0.036660,0.037608,"1,373,380","32,557,700"
"Jan 12, 2018",0.043561,0.048190,0.038622,0.040591,"2,903,500","34,524,100"
"Jan 11, 2018",0.034012,0.049948,0.027084,0.045056,"6,857,570","26,955,600"
"Jan 10, 2018",0.032725,0.034052,0.028507,0.034052,"940,400","25,936,100"
"Jan 09, 2018",0.033031,0.037079,0.032130,0.033277,"1,046,180","26,178,400"
"Jan 08, 2018",0.035203,0.039140,0.028290,0.032568,"1,242,610","27,899,700"
"Jan 07, 2018",0.036289,0.040050,0.033193,0.035720,"2,093,100","28,760,000"
"Jan 06, 2018",0.024982,0.038835,0.023995,0.036484,"2,638,140","19,799,100"
"Jan 05, 2018",0.025696,0.025798,0.023241,0.024944,"663,144","20,365,100"
"Jan 04, 2018",0.023209,0.026343,0.022390,0.025672,"764,841","18,394,000"
"Jan 03, 2018",0.023030,0.025655,0.021013,0.024379,"561,795","18,251,800"
"Jan 02, 2018",0.022413,0.024194,0.020914,0.023095,"426,656","17,763,300"
"Jan 01, 2018",0.022527,0.023815,0.021207,0.022286,"392,029","17,853,400"
"Dec 31, 2017",0.020229,0.023811,0.019547,0.022440,"550,019","16,032,400"
"Dec 30, 2017",0.026097,0.026097,0.019897,0.020073,"457,795","20,683,200"
"Dec 29, 2017",0.021995,0.028317,0.021616,0.025894,"1,248,950","17,431,600"
"Dec 28, 2017",0.023132,0.023823,0.019663,0.021637,"381,862","18,333,100"
"Dec 27, 2017",0.027091,0.027471,0.022469,0.023354,"522,178","21,470,400"
"Dec 26, 2017",0.027888,0.031624,0.021475,0.027520,"2,368,010","22,102,400"
"Dec 25, 2017",0.028703,0.034931,0.026085,0.027660,"2,061,730","22,747,900"
"Dec 24, 2017",0.018617,0.031176,0.018036,0.028539,"3,338,190","14,754,700"
