Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.705400,0.855670,0.668915,0.762652,"919,828","11,667,400"
"Mar 03, 2018",0.672914,0.783646,0.672135,0.706606,"1,254,980","11,130,500"
"Mar 02, 2018",0.556254,0.745584,0.545554,0.673793,"1,709,880","9,200,870"
"Mar 01, 2018",0.590043,0.628034,0.534103,0.555080,"2,553,270","9,759,760"
"Feb 28, 2018",0.584250,0.690003,0.533086,0.588802,"1,873,600","9,663,950"
"Feb 27, 2018",0.653892,0.684267,0.573263,0.603438,"2,103,010","10,815,900"
"Feb 26, 2018",0.582845,0.681690,0.568723,0.652008,"3,319,030","9,626,700"
"Feb 25, 2018",0.616784,0.625975,0.539606,0.582122,"2,018,830","10,187,300"
"Feb 24, 2018",0.731624,0.776586,0.576192,0.617775,"1,052,420","12,084,000"
"Feb 23, 2018",0.599260,0.764240,0.581818,0.763247,"1,600,010","9,897,830"
"Feb 22, 2018",0.637926,0.677801,0.561558,0.600529,"959,508","10,536,500"
"Feb 21, 2018",0.711143,0.711143,0.608513,0.624797,"2,930,420","11,745,800"
"Feb 20, 2018",0.608513,0.792865,0.569865,0.712406,"1,001,420","10,050,700"
"Feb 19, 2018",0.543442,0.664767,0.537027,0.641715,"2,219,730","8,975,890"
"Feb 18, 2018",0.606793,0.623464,0.467769,0.545967,"1,236,450","10,022,200"
"Feb 17, 2018",0.526462,0.679415,0.526462,0.605407,"1,020,340","8,695,420"
"Feb 16, 2018",0.609990,0.762119,0.517224,0.527101,"351,080","10,075,000"
"Feb 15, 2018",0.545974,0.668322,0.489640,0.618648,"797,279","9,017,700"
"Feb 14, 2018",0.480774,0.546900,0.461616,0.545679,"1,020,930","7,940,800"
"Feb 13, 2018",0.535464,0.537537,0.476407,0.481648,"176,731","8,868,900"
"Feb 12, 2018",0.506340,0.555145,0.493290,0.534570,"273,328","8,386,520"
"Feb 11, 2018",0.540008,0.540008,0.373462,0.503455,"427,189","8,944,170"
"Feb 10, 2018",0.539180,0.573679,0.500846,0.540546,"70,694","8,930,450"
"Feb 09, 2018",0.546182,0.586955,0.458115,0.538933,"163,686","9,046,420"
"Feb 08, 2018",0.563923,0.613641,0.512712,0.544837,"237,611","9,340,280"
"Feb 07, 2018",0.587392,0.645855,0.526736,0.566041,"132,908","9,728,980"
"Feb 06, 2018",0.563497,0.663991,0.464227,0.592193,"149,413","9,333,220"
"Feb 05, 2018",0.705403,0.713794,0.496275,0.562407,"153,414","11,683,600"
"Feb 04, 2018",0.772938,0.809597,0.656366,0.712308,"269,322","12,802,200"
"Feb 03, 2018",0.668568,0.797895,0.606435,0.772792,"346,164","11,073,500"
"Feb 02, 2018",0.878071,1.10,0.612921,0.666097,"72,940","14,543,500"
"Feb 01, 2018",0.906260,1.06,0.798071,0.880379,"207,055","15,010,400"
"Jan 31, 2018",0.787167,1.46,0.768641,0.904356,"100,506","12,994,000"
"Jan 30, 2018",0.923868,0.935643,0.719920,0.785321,"242,333","15,250,600"
"Jan 29, 2018",1.00,1.00,0.891748,0.923531,"357,266","16,541,600"
"Jan 28, 2018",1.05,1.16,0.936556,1.00,"224,730","17,285,200"
"Jan 27, 2018",1.17,1.19,0.894295,1.04,"49,722","19,279,700"
"Jan 26, 2018",0.958462,1.24,0.897335,1.17,"196,771","15,820,300"
"Jan 25, 2018",0.891247,1.02,0.876519,0.961208,"197,076","14,710,900"
"Jan 24, 2018",1.10,1.76,0.728973,0.878519,"207,528","18,082,500"
"Jan 23, 2018",1.83,1.84,0.738981,1.10,"106,012","30,209,000"
"Jan 22, 2018",0.655196,1.85,0.630946,1.84,"11,462","10,810,700"
"Jan 21, 2018",0.733848,0.733848,0.627848,0.647449,"102,296","12,108,500"
