Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.687185,0.829836,0.659707,0.822858,"1,644,330","27,141,500"
"Mar 03, 2018",0.695422,0.704595,0.622168,0.677334,"681,890","27,466,800"
"Mar 02, 2018",0.688153,0.704156,0.567931,0.695361,"1,180,640","27,179,700"
"Mar 01, 2018",0.566051,0.700933,0.456732,0.695629,"2,028,740","22,357,100"
"Feb 28, 2018",0.617398,0.630615,0.551483,0.564531,"1,281,900","24,385,100"
"Feb 27, 2018",0.596697,0.640714,0.594692,0.618649,"628,808","23,567,500"
"Feb 26, 2018",0.666215,0.673217,0.586199,0.594643,"686,081","26,313,200"
"Feb 25, 2018",0.663074,0.673176,0.598903,0.663942,"778,267","26,189,200"
"Feb 24, 2018",0.733806,0.741093,0.647122,0.666749,"1,356,780","28,982,800"
"Feb 23, 2018",0.567617,0.746523,0.550231,0.734093,"1,532,580","22,411,400"
"Feb 22, 2018",0.648862,0.768794,0.554056,0.567622,"1,240,200","25,619,200"
"Feb 21, 2018",0.645937,0.665318,0.563416,0.649402,"789,498","25,503,700"
"Feb 20, 2018",0.787718,0.807196,0.639217,0.647789,"556,069","31,101,700"
"Feb 19, 2018",0.819198,0.840208,0.722646,0.787586,"863,685","32,344,600"
"Feb 18, 2018",0.874581,0.919671,0.823820,0.824353,"1,722,300","34,531,300"
"Feb 17, 2018",0.750988,0.922499,0.735440,0.873821,"696,233","29,651,500"
"Feb 16, 2018",0.764333,0.778455,0.693369,0.750864,"1,473,720","30,178,400"
"Feb 15, 2018",0.776297,0.826867,0.749455,0.766059,"725,477","30,650,700"
"Feb 14, 2018",0.732646,0.778840,0.701557,0.778840,"1,041,760","28,927,200"
"Feb 13, 2018",0.784096,0.784096,0.675041,0.733729,"535,313","30,958,700"
"Feb 12, 2018",0.751752,0.863549,0.740118,0.777628,"841,389","29,681,600"
"Feb 11, 2018",0.787834,0.787834,0.701221,0.742076,"768,470","31,106,200"
"Feb 10, 2018",0.868439,0.893576,0.754640,0.795476,"965,364","34,288,800"
"Feb 09, 2018",0.855030,0.875137,0.783528,0.865972,"999,425","33,759,400"
"Feb 08, 2018",0.786279,0.864225,0.773475,0.856272,"1,328,240","31,043,900"
"Feb 07, 2018",0.795350,0.858433,0.712122,0.789087,"650,498","31,338,400"
"Feb 06, 2018",0.633651,0.811666,0.555839,0.794918,"664,524","24,967,100"
"Feb 05, 2018",0.780657,0.805454,0.598713,0.636749,"545,393","30,759,500"
"Feb 04, 2018",0.899992,0.940452,0.765057,0.790116,"828,591","35,461,500"
"Feb 03, 2018",0.872799,0.937551,0.801415,0.900674,"1,242,390","34,390,000"
"Feb 02, 2018",0.906173,0.912057,0.679787,0.872543,"1,239,900","35,705,000"
"Feb 01, 2018",1.05,1.10,0.807472,0.908872,"1,218,720","41,331,500"
"Jan 31, 2018",1.07,1.14,0.978408,1.04,"817,867","41,985,200"
"Jan 30, 2018",1.24,1.32,1.03,1.07,"501,462","48,953,800"
"Jan 29, 2018",1.38,1.43,1.18,1.24,"891,952","54,257,700"
"Jan 28, 2018",1.45,1.50,1.28,1.38,"1,593,290","57,247,200"
"Jan 27, 2018",1.43,1.47,1.37,1.44,"2,170,750","56,467,200"
"Jan 26, 2018",1.44,1.58,1.33,1.42,"3,120,060","56,665,100"
"Jan 25, 2018",1.09,1.58,1.08,1.44,"1,936,900","42,785,800"
"Jan 24, 2018",1.10,1.30,0.759556,1.08,"150,470","43,231,400"
"Jan 23, 2018",0.924784,1.16,0.796655,1.10,"114,655","36,438,400"
"Jan 22, 2018",1.14,1.26,0.922926,0.926127,"137,897","44,929,700"
"Jan 21, 2018",1.25,1.39,1.14,1.14,"49,906","49,281,100"
"Jan 20, 2018",1.34,1.45,1.16,1.25,"53,516","52,560,800"
"Jan 19, 2018",1.35,1.50,1.26,1.33,"68,661","53,025,100"
"Jan 18, 2018",1.37,1.50,1.04,1.36,"131,556","53,704,500"
"Jan 17, 2018",1.35,1.41,1.00,1.35,"38,044","52,993,800"
"Jan 16, 2018",1.90,1.91,1.16,1.36,"98,509",-
"Jan 15, 2018",2.15,2.19,1.87,1.90,"101,651",-
