Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",1.57,1.73,1.47,1.50,"37,900","9,841,900"
"Mar 03, 2018",1.34,1.61,1.33,1.57,"87,522","8,381,610"
"Mar 02, 2018",1.22,1.35,1.16,1.34,"39,996","7,627,070"
"Mar 01, 2018",1.02,1.22,1.01,1.20,"33,764","6,400,890"
"Feb 28, 2018",1.08,1.13,1.02,1.02,"22,816","6,757,120"
"Feb 27, 2018",1.07,1.13,1.04,1.08,"27,204","6,683,540"
"Feb 26, 2018",1.03,1.10,0.966635,1.06,"22,172","6,485,080"
"Feb 25, 2018",0.978061,1.07,0.962091,1.03,"16,473","6,130,560"
"Feb 24, 2018",1.02,1.08,0.956338,0.977452,"16,893","6,400,010"
"Feb 23, 2018",1.05,1.14,1.00,1.02,"15,809","6,575,450"
"Feb 22, 2018",1.06,1.10,0.939433,1.05,"27,843","6,673,510"
"Feb 21, 2018",1.16,1.19,1.05,1.07,"23,060","7,244,290"
"Feb 20, 2018",1.28,1.32,1.14,1.16,"21,663","8,037,930"
"Feb 19, 2018",1.17,1.28,1.10,1.28,"96,028","7,351,780"
"Feb 18, 2018",1.45,1.48,1.18,1.18,"37,207","9,111,070"
"Feb 17, 2018",1.38,1.49,1.36,1.45,"11,660","8,631,980"
"Feb 16, 2018",1.49,1.53,1.36,1.38,"15,038","9,312,820"
"Feb 15, 2018",1.43,1.56,1.40,1.49,"35,200","8,986,390"
"Feb 14, 2018",1.18,1.46,1.14,1.43,"66,039","7,401,340"
"Feb 13, 2018",1.14,1.30,1.13,1.21,"65,603","7,121,620"
"Feb 12, 2018",1.03,1.15,1.03,1.13,"10,889","6,460,900"
"Feb 11, 2018",1.15,1.15,0.990938,1.02,"9,698","7,226,490"
"Feb 10, 2018",1.11,1.18,1.10,1.15,"29,058","6,927,660"
"Feb 09, 2018",1.02,1.13,0.970379,1.10,"26,243","6,393,580"
"Feb 08, 2018",0.941625,1.09,0.920812,1.02,"14,991","5,902,180"
"Feb 07, 2018",0.860930,1.10,0.808007,0.956647,"19,367","5,396,380"
"Feb 06, 2018",0.784813,0.886688,0.660304,0.869071,"8,527","4,919,270"
"Feb 05, 2018",1.00,1.06,0.753620,0.784425,"11,081","6,293,630"
"Feb 04, 2018",1.21,1.21,0.954067,1.01,"10,660","7,591,160"
"Feb 03, 2018",0.932423,1.21,0.868870,1.21,"37,848","5,844,500"
"Feb 02, 2018",1.04,1.04,0.860836,0.945604,"19,668","6,526,610"
"Feb 01, 2018",1.21,1.25,0.969691,1.04,"20,276","7,614,440"
"Jan 31, 2018",1.29,1.31,1.17,1.21,"23,876","8,096,660"
"Jan 30, 2018",1.50,1.53,1.26,1.29,"40,224","9,413,150"
"Jan 29, 2018",1.60,1.61,1.46,1.50,"14,723","10,009,700"
"Jan 28, 2018",1.63,1.70,1.51,1.60,"33,082","10,215,300"
"Jan 27, 2018",1.50,1.66,1.45,1.62,"31,430","9,419,200"
"Jan 26, 2018",1.53,1.60,1.39,1.50,"13,448","9,577,640"
"Jan 25, 2018",1.62,1.67,1.49,1.53,"43,143","10,128,100"
"Jan 24, 2018",1.59,1.59,1.47,1.58,"30,503","9,951,390"
"Jan 23, 2018",1.60,1.68,1.46,1.59,"27,704","10,013,700"
"Jan 22, 2018",1.74,1.87,1.51,1.60,"40,385","10,918,100"
"Jan 21, 2018",1.90,1.99,1.65,1.72,"44,672","11,901,800"
"Jan 20, 2018",1.78,1.94,1.73,1.89,"34,901","11,148,400"
"Jan 19, 2018",1.67,1.97,1.65,1.78,"79,573","10,456,900"
"Jan 18, 2018",1.49,1.78,1.45,1.69,"56,404","9,310,990"
"Jan 17, 2018",1.45,1.53,1.13,1.48,"71,122","9,081,180"
"Jan 16, 2018",2.06,2.12,1.31,1.48,"64,003","12,889,900"
"Jan 15, 2018",2.45,2.47,2.05,2.05,"135,951","15,346,700"
"Jan 14, 2018",2.66,2.66,2.28,2.47,"77,618","16,674,700"
"Jan 13, 2018",2.59,2.75,2.43,2.66,"248,084","16,209,600"
"Jan 12, 2018",2.62,2.85,2.32,2.71,"302,979","16,393,300"
"Jan 11, 2018",2.28,2.90,1.89,2.51,"627,167","14,274,100"
"Jan 10, 2018",2.39,2.51,2.09,2.28,"225,653","15,004,700"
"Jan 09, 2018",2.81,2.90,2.37,2.39,"282,636","17,600,800"
"Jan 08, 2018",2.82,3.06,2.38,2.81,"387,973","17,645,400"
"Jan 07, 2018",2.59,3.11,2.36,2.86,"559,332","16,232,500"
"Jan 06, 2018",1.99,3.29,1.85,2.60,"2,417,060","12,472,400"
"Jan 05, 2018",2.04,2.12,1.88,1.99,"194,105","12,760,200"
"Jan 04, 2018",2.20,2.32,1.86,2.04,"483,761","13,776,700"
"Jan 03, 2018",1.71,2.67,1.48,2.19,"1,441,500","10,707,500"
"Jan 02, 2018",1.51,2.08,1.51,1.68,"655,873","9,473,560"
"Jan 01, 2018",1.54,1.62,1.39,1.51,"63,242","9,636,920"
"Dec 31, 2017",1.34,1.55,1.28,1.51,"81,997","8,370,780"
"Dec 30, 2017",1.39,1.43,1.23,1.35,"73,671","8,739,270"
