Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.231371,0.237383,0.220967,0.235883,"1,729,450","52,455,500"
"Mar 03, 2018",0.244496,0.247310,0.229538,0.230629,"2,071,800","55,431,100"
"Mar 02, 2018",0.240548,0.248046,0.233732,0.244880,"2,223,050","54,536,100"
"Mar 01, 2018",0.226478,0.242215,0.225302,0.240911,"2,281,160","51,346,100"
"Feb 28, 2018",0.235171,0.239792,0.219484,0.226454,"2,382,540","53,317,100"
"Feb 27, 2018",0.239273,0.246224,0.227929,0.236196,"2,830,480",-
"Feb 26, 2018",0.242813,0.257618,0.207800,0.238007,"3,766,700",-
"Feb 25, 2018",0.269683,0.273478,0.226933,0.244395,"2,887,580",-
"Feb 24, 2018",0.242555,0.273599,0.231146,0.271940,"3,332,220",-
"Feb 23, 2018",0.226283,0.243003,0.220977,0.243003,"1,949,670",-
"Feb 22, 2018",0.218559,0.238024,0.205857,0.226538,"1,499,070",-
"Feb 21, 2018",0.230119,0.232457,0.212931,0.219570,"2,192,110",-
"Feb 20, 2018",0.245503,0.248900,0.229538,0.230879,"2,315,410",-
"Feb 19, 2018",0.231747,0.245565,0.229375,0.244391,"2,637,190",-
"Feb 18, 2018",0.232257,0.241063,0.218829,0.232627,"2,140,910",-
"Feb 17, 2018",0.225759,0.234099,0.222008,0.232010,"1,787,720",-
"Feb 16, 2018",0.232547,0.263635,0.224981,0.225965,"2,761,950",-
"Feb 15, 2018",0.205844,0.233453,0.183230,0.233162,"3,020,380",-
"Feb 14, 2018",0.218642,0.218642,0.181219,0.206990,"2,534,340",-
"Feb 13, 2018",0.250357,0.259830,0.185502,0.218737,"766,196",-
"Feb 12, 2018",0.239937,0.265375,0.227326,0.259413,"648,349",-
"Feb 11, 2018",0.251108,0.274655,0.227730,0.238910,"802,506",-
"Feb 10, 2018",0.287365,0.328361,0.225899,0.251524,"1,451,980",-
"Feb 09, 2018",0.276497,0.293494,0.246261,0.287466,"576,660",-
"Feb 08, 2018",0.311490,0.335947,0.251113,0.276159,"907,429",-
"Feb 07, 2018",0.296638,0.355301,0.276534,0.312378,"1,470,990",-
"Feb 06, 2018",0.218639,0.325845,0.167720,0.302605,"1,472,550",-
"Feb 05, 2018",0.351109,0.373348,0.180670,0.214790,"1,517,540",-
"Feb 04, 2018",0.405879,0.405879,0.320406,0.354551,"1,896,250",-
"Feb 03, 2018",0.256792,0.409775,0.256792,0.409775,"1,374,880",-
"Feb 02, 2018",0.390444,0.390444,0.233554,0.253454,"1,158,460",-
"Feb 01, 2018",0.338560,0.429283,0.333930,0.392092,"1,700,280",-
"Jan 31, 2018",0.318426,0.409977,0.301406,0.351051,"1,694,220",-
"Jan 30, 2018",0.326640,0.327671,0.293772,0.316473,"1,766,030",-
