Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",1.23,1.28,1.13,1.18,"11,732","12,080,600"
"Mar 03, 2018",1.54,1.58,0.872621,1.23,"12,592","15,191,900"
"Mar 02, 2018",0.841489,1.55,0.772922,1.54,"42,764","8,277,760"
"Mar 01, 2018",0.852421,0.921772,0.840678,0.843320,954,"8,385,300"
"Feb 28, 2018",0.896074,0.928818,0.836164,0.849274,"1,485","8,814,710"
"Feb 27, 2018",0.935049,0.981486,0.826235,0.897012,"4,985","9,198,110"
"Feb 26, 2018",0.937161,0.980017,0.900701,0.935018,"1,397","9,218,890"
"Feb 25, 2018",0.937752,0.954883,0.907044,0.935980,"2,906","9,224,700"
"Feb 24, 2018",0.855185,0.973298,0.854653,0.939537,"5,109","8,412,480"
"Feb 23, 2018",0.985339,1.03,0.827188,0.856086,"5,360","9,692,810"
"Feb 22, 2018",1.01,1.05,0.903662,0.982014,"4,510","9,940,000"
"Feb 21, 2018",0.910366,1.03,0.888234,1.01,"13,632","8,955,300"
"Feb 20, 2018",1.05,1.09,0.904578,0.910289,"11,312","10,289,400"
"Feb 19, 2018",1.22,1.44,1.04,1.05,"4,594","11,975,000"
"Feb 18, 2018",1.22,1.45,1.00,1.22,"25,265","11,988,900"
"Feb 17, 2018",1.19,1.24,1.04,1.22,"9,179","11,697,600"
"Feb 16, 2018",1.22,1.25,0.890313,1.19,"2,091","12,047,400"
"Feb 15, 2018",1.20,1.28,1.08,1.23,"2,840","11,824,200"
"Feb 14, 2018",1.07,1.21,1.01,1.20,"33,799","10,534,500"
"Feb 13, 2018",1.14,1.15,1.02,1.07,"4,139","11,227,200"
"Feb 12, 2018",1.03,1.15,1.03,1.14,"1,417","10,129,600"
"Feb 11, 2018",1.01,1.08,0.951712,1.02,"1,103","9,984,480"
"Feb 10, 2018",1.13,1.24,0.968252,1.02,"5,387","11,156,700"
"Feb 09, 2018",0.986767,1.26,0.864572,1.13,"21,596","9,706,860"
"Feb 08, 2018",0.901865,1.02,0.851905,0.990542,"1,434","8,871,680"
"Feb 07, 2018",1.23,1.25,0.898825,0.903375,"12,844","12,061,500"
"Feb 06, 2018",0.992345,1.98,0.754792,1.23,"41,511","9,761,730"
"Feb 05, 2018",0.991588,1.21,0.885727,0.993789,"122,421","9,754,290"
"Feb 04, 2018",1.62,1.62,0.944308,0.997512,"9,070","15,930,600"
