Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",1.60,1.65,1.46,1.52,"6,397","12,959,400"
"Mar 03, 2018",1.89,1.93,1.37,1.60,"14,210","15,331,000"
"Mar 02, 2018",1.73,2.13,1.68,1.89,"72,108","14,028,800"
"Mar 01, 2018",1.63,1.79,1.32,1.74,"53,069","13,193,300"
"Feb 28, 2018",1.34,1.74,1.22,1.63,"36,393","10,874,300"
"Feb 27, 2018",1.03,1.50,1.02,1.35,"54,354","8,370,460"
"Feb 26, 2018",0.994794,1.07,0.976413,1.03,"2,901","8,051,860"
"Feb 25, 2018",1.06,1.07,0.966976,0.993521,988,"8,570,760"
"Feb 24, 2018",1.03,1.10,0.977369,1.06,"6,141","8,344,710"
"Feb 23, 2018",1.06,1.10,1.02,1.03,"2,350","8,566,090"
"Feb 22, 2018",1.13,1.14,1.01,1.06,"3,713","9,149,270"
"Feb 21, 2018",1.17,1.19,1.01,1.13,"3,928","9,471,700"
"Feb 20, 2018",1.26,1.41,1.16,1.17,"14,375","10,222,200"
"Feb 19, 2018",1.20,1.38,1.17,1.26,"4,858","9,715,300"
"Feb 18, 2018",1.52,1.54,1.20,1.21,"8,401","12,298,000"
"Feb 17, 2018",1.35,1.55,1.33,1.51,"14,232","10,899,900"
"Feb 16, 2018",1.33,1.37,1.31,1.35,"3,841","10,783,200"
"Feb 15, 2018",1.41,1.47,1.32,1.34,"16,550","11,437,900"
"Feb 14, 2018",1.39,1.58,1.30,1.41,"15,933","11,281,600"
"Feb 13, 2018",1.59,1.64,1.33,1.40,"23,799","12,869,400"
"Feb 12, 2018",1.26,1.61,1.26,1.59,"33,159","10,184,400"
"Feb 11, 2018",1.33,1.39,1.14,1.25,"21,130","10,789,200"
"Feb 10, 2018",1.40,1.66,1.19,1.33,"13,338","11,358,900"
"Feb 09, 2018",1.28,1.59,1.20,1.40,"54,314","10,346,300"
"Feb 08, 2018",1.05,1.40,1.05,1.39,"12,776","8,513,030"
"Feb 07, 2018",0.900760,1.21,0.829519,1.06,"16,338","7,290,760"
"Feb 06, 2018",0.800500,1.02,0.724199,0.909489,"16,194","6,479,250"
"Feb 05, 2018",0.918894,1.13,0.768041,0.836442,"8,114","7,437,530"
"Feb 04, 2018",1.06,1.11,0.900856,0.927893,"17,967","8,589,080"
"Feb 03, 2018",0.948609,1.16,0.875088,1.06,"6,188","7,678,050"
"Feb 02, 2018",1.15,1.15,0.862476,0.945117,"12,538","9,333,040"
"Feb 01, 2018",1.40,1.42,0.985931,1.16,"7,495","11,352,400"
"Jan 31, 2018",1.30,1.41,1.13,1.41,"22,779","10,524,800"
"Jan 30, 2018",1.72,1.72,1.24,1.30,"30,439","13,908,600"
"Jan 29, 2018",1.45,2.03,1.23,1.72,"85,225","11,764,800"
"Jan 28, 2018",1.48,1.70,1.21,1.45,"21,075","11,939,500"
"Jan 27, 2018",1.48,1.65,1.22,1.47,"14,961","11,992,100"
"Jan 26, 2018",1.48,1.75,1.43,1.48,"36,900","12,006,900"
"Jan 25, 2018",1.21,1.64,1.21,1.51,"80,755","9,813,620"
"Jan 24, 2018",1.11,1.58,1.05,1.20,"61,477","8,996,350"
"Jan 23, 2018",0.946051,1.31,0.935712,1.11,"18,352","7,657,340"
"Jan 22, 2018",1.12,1.18,0.875835,0.948474,"9,183","9,086,140"
"Jan 21, 2018",1.37,1.39,1.04,1.11,"18,116","11,119,900"
"Jan 20, 2018",1.20,1.42,1.15,1.37,"23,806","9,675,920"
"Jan 19, 2018",1.29,1.33,1.03,1.18,"26,526","10,446,600"
"Jan 18, 2018",1.20,1.64,1.00,1.30,"36,281","9,721,550"
