Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.335266,0.349649,0.287859,0.301268,"59,841","10,512,400"
"Mar 03, 2018",0.353617,0.373571,0.261063,0.335781,"46,894","11,087,800"
"Mar 02, 2018",0.354947,0.400439,0.340830,0.353625,"57,448","11,126,900"
"Mar 01, 2018",0.340529,0.379382,0.328541,0.353536,"84,401","10,674,900"
"Feb 28, 2018",0.391289,0.391289,0.310327,0.344093,"77,143","12,266,100"
"Feb 27, 2018",0.382331,0.401189,0.358077,0.391659,"64,945","11,985,300"
"Feb 26, 2018",0.360673,0.403899,0.348032,0.398563,"49,021","11,295,700"
"Feb 25, 2018",0.358530,0.388618,0.338198,0.360236,"75,449","11,228,600"
"Feb 24, 2018",0.387544,0.395872,0.352002,0.359133,"38,313","12,137,300"
"Feb 23, 2018",0.361054,0.437220,0.342200,0.386725,"61,500","11,307,600"
"Feb 22, 2018",0.375056,0.411517,0.353896,0.361422,"40,796","11,740,600"
"Feb 21, 2018",0.448001,0.448001,0.358230,0.375474,"102,270","14,019,500"
"Feb 20, 2018",0.499689,0.510610,0.444671,0.448560,"110,709","15,637,000"
"Feb 19, 2018",0.506887,0.535291,0.491713,0.498676,"71,283","15,861,500"
"Feb 18, 2018",0.563462,0.580733,0.509057,0.509057,"102,774","17,623,500"
"Feb 17, 2018",0.486499,0.578992,0.480149,0.561122,"138,772","15,216,300"
"Feb 16, 2018",0.465068,0.524058,0.463152,0.486542,"92,553","14,546,000"
"Feb 15, 2018",0.474472,0.549676,0.429909,0.479816,"152,025","14,833,200"
"Feb 14, 2018",0.386784,0.474873,0.356964,0.473872,"125,942","12,069,200"
"Feb 13, 2018",0.379059,0.404144,0.328408,0.378632,"109,131","11,828,100"
"Feb 12, 2018",0.364944,0.421117,0.359408,0.378352,"135,956","11,366,300"
"Feb 11, 2018",0.393604,0.410253,0.359270,0.362738,"55,252","12,258,900"
"Feb 10, 2018",0.439429,0.459860,0.361861,0.409541,"53,332","13,666,800"
"Feb 09, 2018",0.393182,0.487380,0.358292,0.439199,"114,073","12,211,200"
"Feb 08, 2018",0.345513,0.457881,0.345404,0.392039,"110,777","10,694,900"
"Feb 07, 2018",0.402152,0.505593,0.340772,0.344997,"144,237","12,442,300"
"Feb 06, 2018",0.299353,0.415083,0.207981,0.412090,"171,882","9,261,740"
"Feb 05, 2018",0.332806,0.384331,0.234018,0.298795,"105,466","10,296,800"
"Feb 04, 2018",0.458479,0.478050,0.341661,0.341661,"121,337","14,185,000"
"Feb 03, 2018",0.418947,0.498287,0.383889,0.453730,"108,236","12,961,900"
"Feb 02, 2018",0.455068,0.457311,0.301051,0.417362,"157,341","14,079,400"
"Feb 01, 2018",0.532131,0.576198,0.419088,0.458008,"152,348","16,463,700"
"Jan 31, 2018",0.559262,0.606142,0.492369,0.530120,"131,608","17,303,100"
"Jan 30, 2018",0.678339,0.707461,0.487703,0.558350,"263,660","20,987,300"
"Jan 29, 2018",0.685731,0.763713,0.610150,0.679046,"228,667","21,216,000"
"Jan 28, 2018",0.742153,0.780325,0.692334,0.693308,"267,478","22,960,600"
"Jan 27, 2018",0.724053,0.846146,0.712368,0.738021,"341,910","22,379,800"
"Jan 26, 2018",0.673275,0.734528,0.617647,0.723191,"153,628","20,810,300"
"Jan 25, 2018",0.740945,0.770795,0.666577,0.671831,"190,140","22,901,900"
"Jan 24, 2018",0.665346,0.766189,0.603148,0.716029,"256,174","20,565,200"
"Jan 23, 2018",0.696786,0.728509,0.631675,0.665507,"153,173","21,537,000"
"Jan 22, 2018",0.768298,0.809853,0.638598,0.693259,"231,420","23,746,300"
"Jan 21, 2018",0.939995,0.941684,0.724072,0.759694,"233,380","29,053,100"
"Jan 20, 2018",0.808429,0.979702,0.789882,0.941860,"399,435","24,986,700"
"Jan 19, 2018",0.872092,0.969530,0.739130,0.794050,"336,447","26,935,600"
"Jan 18, 2018",0.867982,1.07,0.830812,0.878591,"660,918","26,807,400"
"Jan 17, 2018",0.971173,1.01,0.522057,0.862994,"687,084","29,994,400"
"Jan 16, 2018",1.16,1.23,0.772165,0.975776,"969,307","35,844,300"
"Jan 15, 2018",1.48,1.50,1.10,1.16,"826,170","45,578,500"
"Jan 14, 2018",1.29,1.71,1.10,1.45,"1,303,900","39,989,800"
"Jan 13, 2018",1.54,1.61,1.19,1.32,"1,278,970","47,439,800"
"Jan 12, 2018",1.48,1.77,1.33,1.47,"1,296,330","45,855,100"
"Jan 11, 2018",2.14,2.19,1.30,1.47,"1,418,770","65,798,700"
