Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.000046,0.000059,0.000045,0.000057,"4,284","20,292,700"
"Mar 03, 2018",0.000012,0.000048,0.000012,0.000046,"4,921","5,104,310"
"Mar 02, 2018",0.000015,0.000016,0.000011,0.000012,"2,437","6,589,620"
"Mar 01, 2018",0.000016,0.000017,0.000012,0.000015,"2,306","7,171,250"
"Feb 28, 2018",0.000021,0.000037,0.000016,0.000016,"7,211","9,401,900"
"Feb 27, 2018",0.000038,0.000050,0.000015,0.000020,"6,199","16,665,100"
"Feb 26, 2018",0.000024,0.000038,0.000014,0.000037,"3,173","10,766,100"
"Feb 25, 2018",0.000033,0.000033,0.000017,0.000024,"5,075","14,721,100"
"Feb 24, 2018",0.000039,0.000055,0.000031,0.000033,"5,702","17,240,000"
"Feb 23, 2018",0.000020,0.000039,0.000018,0.000038,"3,449","9,006,360"
"Feb 22, 2018",0.000040,0.000068,0.000020,0.000020,"4,729","17,658,000"
"Feb 21, 2018",0.000021,0.000040,0.000013,0.000040,"8,333","9,165,370"
"Feb 20, 2018",0.000023,0.000028,0.000020,0.000021,"3,732","10,031,300"
"Feb 19, 2018",0.000021,0.000026,0.000020,0.000023,"4,313","9,415,310"
"Feb 18, 2018",0.000030,0.000031,0.000020,0.000021,"4,162","13,457,800"
"Feb 17, 2018",0.000046,0.000049,0.000029,0.000030,"5,573","20,568,400"
"Feb 16, 2018",0.000044,0.000054,0.000041,0.000045,"5,480","19,508,600"
"Feb 15, 2018",0.000021,0.000048,0.000020,0.000045,"6,861","9,444,310"
"Feb 14, 2018",0.000023,0.000024,0.000019,0.000020,"7,438","10,018,900"
"Feb 13, 2018",0.000017,0.000025,0.000017,0.000022,"4,902","7,680,000"
"Feb 12, 2018",0.000022,0.000023,0.000016,0.000017,"3,155","9,911,130"
"Feb 11, 2018",0.000034,0.000035,0.000022,0.000023,"2,918","15,139,000"
"Feb 10, 2018",0.000018,0.000035,0.000016,0.000034,"6,364","7,857,770"
"Feb 09, 2018",0.000017,0.000019,0.000015,0.000018,"5,055","7,367,460"
"Feb 08, 2018",0.000017,0.000020,0.000016,0.000016,"7,297","7,369,480"
"Feb 07, 2018",0.000016,0.000018,0.000013,0.000017,"6,947","7,294,770"
"Feb 06, 2018",0.000017,0.000018,0.000013,0.000017,"8,253","7,454,260"
"Feb 05, 2018",0.000022,0.000024,0.000014,0.000016,"3,641","9,796,480"
"Feb 04, 2018",0.000053,0.000053,0.000024,0.000024,"7,511","23,708,200"
