Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.137436,0.144788,0.130352,0.142314,"2,362,450","10,342,500"
"Mar 03, 2018",0.115861,0.158026,0.115456,0.137675,"1,753,030","8,718,950"
"Mar 02, 2018",0.115096,0.121235,0.107711,0.116021,"608,305","8,661,380"
"Mar 01, 2018",0.113203,0.120588,0.108543,0.115260,"18,123","8,518,900"
"Feb 28, 2018",0.124105,0.128215,0.106447,0.113057,"19,337","9,245,550"
"Feb 27, 2018",0.122644,0.139939,0.122438,0.124169,"25,559","9,136,730"
"Feb 26, 2018",0.128583,0.134003,0.119858,0.125530,"19,856","9,579,120"
"Feb 25, 2018",0.126891,0.168578,0.118588,0.128461,"31,198","9,453,120"
"Feb 24, 2018",0.128010,0.140185,0.112137,0.127143,"45,341","9,536,490"
"Feb 23, 2018",0.120665,0.141888,0.117267,0.128150,"25,571","8,989,260"
"Feb 22, 2018",0.134540,0.145120,0.116870,0.121977,"38,827","10,022,900"
"Feb 21, 2018",0.148711,0.154018,0.126971,0.134698,"25,834","11,078,700"
"Feb 20, 2018",0.167196,0.174707,0.146386,0.147593,"43,868","12,455,700"
"Feb 19, 2018",0.158666,0.171355,0.154546,0.167063,"30,477","11,820,300"
"Feb 18, 2018",0.178367,0.180044,0.154906,0.159442,"30,592","13,288,000"
"Feb 17, 2018",0.163518,0.190282,0.162943,0.176312,"83,456","12,181,700"
"Feb 16, 2018",0.165054,0.172765,0.155614,0.163214,"24,609","12,296,200"
"Feb 15, 2018",0.156142,0.177119,0.150880,0.165516,"54,235","11,632,200"
"Feb 14, 2018",0.137168,0.161622,0.135720,0.156058,"62,830","10,218,700"
"Feb 13, 2018",0.143232,0.155080,0.134594,0.137529,"25,010","10,670,400"
"Feb 12, 2018",0.146787,0.156404,0.137118,0.142999,"41,098","10,935,300"
"Feb 11, 2018",0.137340,0.148370,0.127310,0.144438,"40,873","10,231,500"
"Feb 10, 2018",0.163579,0.170382,0.126738,0.142105,"40,288","12,186,300"
"Feb 09, 2018",0.160190,0.169638,0.143791,0.163527,"36,920","11,933,800"
"Feb 08, 2018",0.151573,0.197357,0.149173,0.159841,"69,660","11,291,800"
"Feb 07, 2018",0.158042,0.201342,0.139633,0.152120,"82,228","11,773,800"
"Feb 06, 2018",0.114021,0.160288,0.080686,0.159144,"97,927","8,494,320"
"Feb 05, 2018",0.148187,0.161627,0.096849,0.113761,"61,980","10,978,600"
"Feb 04, 2018",0.169730,0.185756,0.136714,0.149637,"36,966","12,574,600"
"Feb 03, 2018",0.166341,0.186018,0.155155,0.163930,"53,406","12,323,500"
"Feb 02, 2018",0.151309,0.174257,0.118931,0.165683,"77,567","11,209,800"
"Feb 01, 2018",0.190173,0.196024,0.144908,0.151805,"119,976","14,089,100"
"Jan 31, 2018",0.185061,0.201305,0.177607,0.189755,"56,383","13,710,400"
"Jan 30, 2018",0.210200,0.217878,0.177242,0.184661,"87,726","15,572,800"
"Jan 29, 2018",0.230835,0.234600,0.203006,0.213937,"138,461","17,101,600"
"Jan 28, 2018",0.271415,0.283434,0.226618,0.230252,"205,202","20,108,000"
"Jan 27, 2018",0.225197,0.295994,0.217851,0.274441,"134,566","16,683,900"
"Jan 26, 2018",0.254311,0.276718,0.215782,0.229105,"142,309","18,840,800"
"Jan 25, 2018",0.275846,0.296639,0.246030,0.254467,"72,889","20,436,300"
"Jan 24, 2018",0.262092,0.296126,0.250190,0.270259,"182,450","19,417,300"
"Jan 23, 2018",0.249302,0.271395,0.220024,0.262180,"128,473","18,194,900"
"Jan 22, 2018",0.295637,0.303975,0.213252,0.248783,"158,044","21,576,600"
"Jan 21, 2018",0.338104,0.342983,0.274892,0.291296,"140,263","24,675,900"
"Jan 20, 2018",0.314822,0.351521,0.261729,0.340825,"360,974","22,976,700"
"Jan 19, 2018",0.343765,0.364003,0.290764,0.315211,"195,838","25,089,100"
"Jan 18, 2018",0.326817,0.416014,0.299869,0.344450,"262,827","23,852,200"
"Jan 17, 2018",0.304684,0.394837,0.250644,0.334699,"271,876","22,110,000"
"Jan 16, 2018",0.374876,0.434083,0.218456,0.306145,"577,989","27,203,600"
"Jan 15, 2018",0.505552,0.520942,0.374968,0.386337,"461,943","36,428,900"
"Jan 14, 2018",0.503472,0.662905,0.422676,0.520437,"874,666","36,279,100"
"Jan 13, 2018",0.621967,0.634472,0.430227,0.478042,"953,351","44,817,600"
"Jan 12, 2018",0.607247,0.666323,0.512179,0.625231,"611,614","43,756,900"
"Jan 11, 2018",0.759548,0.795770,0.443310,0.566557,"747,942","54,731,300"
"Jan 10, 2018",0.941895,0.984984,0.664725,0.777674,"1,833,000","67,870,900"
"Jan 09, 2018",0.771017,0.924913,0.675713,0.924913,"2,139,760","55,557,800"
"Jan 08, 2018",0.808490,0.842955,0.621917,0.773235,"882,358","58,258,000"
"Jan 07, 2018",0.826130,0.954533,0.700617,0.836621,"1,427,560","59,529,100"
"Jan 06, 2018",0.394879,0.871077,0.358076,0.815257,"966,751","28,425,000"
"Jan 05, 2018",0.384238,0.492316,0.337443,0.403485,"753,702","27,659,100"
"Jan 04, 2018",0.301446,0.467022,0.216506,0.384760,"578,647","21,699,300"
"Jan 03, 2018",0.253858,0.308458,0.209986,0.299843,"379,130","18,273,800"
"Jan 02, 2018",0.300750,0.324123,0.242820,0.261606,"296,895","21,649,200"
"Jan 01, 2018",0.228541,0.317930,0.216873,0.311789,"321,189","16,451,300"
"Dec 31, 2017",0.149915,0.408172,0.145976,0.230766,"243,763","10,791,500"
"Dec 30, 2017",0.147416,0.173829,0.122740,0.151396,"140,141","10,611,600"
"Dec 29, 2017",0.134850,0.197061,0.106324,0.147608,"149,578","9,707,060"
"Dec 28, 2017",0.100994,0.130026,0.089980,0.124271,"169,516","7,269,970"
"Dec 27, 2017",0.103383,0.138376,0.075075,0.101196,"223,668","7,441,930"
"Dec 26, 2017",0.104405,0.107582,0.086306,0.104046,"106,548","7,515,470"
"Dec 25, 2017",0.089610,0.125731,0.085018,0.104760,"201,711","6,450,500"
"Dec 24, 2017",0.095848,0.095848,0.080607,0.088712,"170,367","6,899,560"
"Dec 23, 2017",0.084220,0.106119,0.061081,0.093803,"253,360","6,062,490"
"Dec 22, 2017",0.101861,0.110100,0.066325,0.088063,"220,278","7,332,380"
"Dec 21, 2017",0.089098,0.111037,0.083933,0.101992,"143,626","6,413,670"
"Dec 20, 2017",0.117496,0.117496,0.077537,0.088253,"149,826","8,457,850"
"Dec 19, 2017",0.097982,0.121118,0.080633,0.117613,"202,630","7,053,130"
"Dec 18, 2017",0.087940,0.104732,0.082508,0.082508,"163,378","6,330,270"
"Dec 17, 2017",0.062454,0.109781,0.060409,0.095517,"151,821","4,495,660"
"Dec 16, 2017",0.060063,0.071373,0.052389,0.062578,"117,905","4,323,570"
"Dec 15, 2017",0.068482,0.076509,0.053600,0.059977,"112,643","4,929,640"
"Dec 14, 2017",0.070014,0.070014,0.051268,0.068530,"72,046","5,039,890"
"Dec 13, 2017",0.067618,0.074362,0.039707,0.070307,"27,644","4,867,440"
"Dec 12, 2017",0.075449,0.079784,0.052853,0.067541,"74,128","5,383,360"
"Dec 11, 2017",0.084672,0.085686,0.061998,0.066737,"148,094","5,954,590"
"Dec 10, 2017",0.064089,0.088877,0.056526,0.085206,"52,120","4,421,280"
"Dec 09, 2017",0.079463,0.083857,0.044652,0.063835,"70,152","5,481,890"
"Dec 08, 2017",0.083338,0.083940,0.066169,0.079503,"115,045","5,749,180"
"Dec 07, 2017",0.073465,0.110198,0.059987,0.084948,"86,079","5,068,070"
"Dec 06, 2017",0.067239,0.087731,0.066767,0.073642,"108,284","4,638,610"
"Dec 05, 2017",0.060311,0.089077,0.058980,0.067449,"53,427","4,160,660"
"Dec 04, 2017",0.090682,0.093649,0.021912,0.060211,"61,932","6,255,820"
"Dec 03, 2017",0.081291,0.114543,0.078572,0.090546,"79,507","5,607,970"
"Dec 02, 2017",0.084779,0.088624,0.065517,0.081560,"59,200","5,848,650"
"Dec 01, 2017",0.088175,0.097853,0.082334,0.085375,"110,499","6,082,890"
"Nov 30, 2017",0.087929,0.107750,0.068657,0.088394,"20,354","6,065,890"
"Nov 29, 2017",0.123460,0.128270,0.073297,0.086817,"84,017","8,517,070"
"Nov 28, 2017",0.147204,0.161383,0.101584,0.123361,"219,356","10,155,100"
"Nov 27, 2017",0.115354,0.160258,0.113994,0.147406,"209,784",-
"Nov 26, 2017",0.099841,0.121891,0.093070,0.115383,"106,293",-
