Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.016686,0.017406,0.015581,0.017083,"43,255","8,841,510"
"Mar 03, 2018",0.018887,0.019625,0.014790,0.016677,"77,096","10,007,600"
"Mar 02, 2018",0.018395,0.020789,0.017511,0.018903,"45,538","9,747,050"
"Mar 01, 2018",0.016367,0.020083,0.016301,0.018038,"34,133","8,672,340"
"Feb 28, 2018",0.019854,0.020861,0.017101,0.017848,"53,941","10,519,700"
"Feb 27, 2018",0.022405,0.023137,0.018580,0.019869,"82,839","11,871,400"
"Feb 26, 2018",0.024239,0.026396,0.018648,0.022322,"136,687","12,843,500"
"Feb 25, 2018",0.018631,0.029548,0.017448,0.024220,"94,077","9,871,900"
"Feb 24, 2018",0.019413,0.020730,0.015993,0.018598,"33,545","10,286,000"
"Feb 23, 2018",0.021160,0.028554,0.018580,0.019429,"14,627","11,211,900"
"Feb 22, 2018",0.017912,0.021486,0.016959,0.021183,"59,416","9,490,990"
"Feb 21, 2018",0.021288,0.021288,0.017214,0.017867,"11,752","11,279,600"
"Feb 20, 2018",0.018936,0.022502,0.017843,0.022007,"30,714","10,033,300"
"Feb 19, 2018",0.019777,0.021487,0.018818,0.018835,"27,455","10,478,900"
"Feb 18, 2018",0.023473,0.024344,0.019717,0.019861,"15,841","12,437,500"
"Feb 17, 2018",0.022302,0.024708,0.020823,0.023460,"24,373","11,817,300"
"Feb 16, 2018",0.022903,0.026784,0.021758,0.022251,"24,517","12,135,500"
"Feb 15, 2018",0.021809,0.023284,0.019234,0.020019,"28,506","11,556,000"
"Feb 14, 2018",0.019474,0.022458,0.017764,0.021800,"241,540","10,318,300"
"Feb 13, 2018",0.023214,0.025684,0.018818,0.019492,"434,270","12,300,500"
"Feb 12, 2018",0.024050,0.025625,0.009054,0.023169,"282,437","12,743,000"
"Feb 11, 2018",0.024657,0.026210,0.021802,0.023945,"87,575","13,064,600"
"Feb 10, 2018",0.028600,0.028829,0.022398,0.024692,"46,690","15,153,800"
"Feb 09, 2018",0.027973,0.028764,0.025926,0.028609,"91,152","14,821,900"
"Feb 08, 2018",0.024082,0.028531,0.023108,0.027932,"70,701","12,759,900"
"Feb 07, 2018",0.024986,0.030665,0.020957,0.024145,"117,820","13,239,200"
"Feb 06, 2018",0.024143,0.034234,0.015848,0.024955,"120,851","12,792,500"
"Feb 05, 2018",0.030407,0.032700,0.021146,0.024059,"106,578","16,111,500"
"Feb 04, 2018",0.033988,0.039105,0.027537,0.030702,"40,809","18,009,200"
"Feb 03, 2018",0.040088,0.042603,0.033586,0.033998,"84,129","21,241,200"
"Feb 02, 2018",0.042135,0.044348,0.028655,0.039846,"85,835","22,325,800"
"Feb 01, 2018",0.047170,0.054071,0.037405,0.042272,"119,942","24,993,600"
"Jan 31, 2018",0.049333,0.051369,0.043890,0.047225,"159,347","26,139,900"
"Jan 30, 2018",0.060477,0.064217,0.044701,0.050541,"169,170","32,044,400"
"Jan 29, 2018",0.046513,0.066980,0.038417,0.060358,"338,579",-
"Jan 28, 2018",0.046955,0.053632,0.040235,0.046171,"132,166",-
"Jan 27, 2018",0.057331,0.060615,0.045339,0.046628,"251,157",-
"Jan 26, 2018",0.059232,0.061779,0.045049,0.057317,"173,179",-
"Jan 25, 2018",0.065263,0.068469,0.057387,0.059436,"126,816",-
"Jan 24, 2018",0.063458,0.068341,0.060089,0.064589,"199,631",-
"Jan 23, 2018",0.062747,0.064761,0.054795,0.062908,"270,986",-
"Jan 22, 2018",0.065507,0.068967,0.035193,0.062885,"460,345",-
"Jan 21, 2018",0.079458,0.080543,0.064723,0.065079,"280,355",-
"Jan 20, 2018",0.071935,0.093615,0.067557,0.079263,"681,451",-
