Date,Open,High,Low,Close,Volume,Market Cap
"Mar 04, 2018",0.120118,0.122005,0.113533,0.119663,"138,108","27,684,700"
"Mar 03, 2018",0.119119,0.127569,0.118841,0.121586,"184,155","27,454,500"
"Mar 02, 2018",0.123211,0.134499,0.116776,0.119265,"246,897","28,397,500"
"Mar 01, 2018",0.105831,0.135654,0.104280,0.123529,"403,628","24,391,800"
"Feb 28, 2018",0.125094,0.125094,0.104692,0.105882,"310,503","28,831,400"
"Feb 27, 2018",0.127865,0.128347,0.113362,0.123533,"315,425","29,470,100"
"Feb 26, 2018",0.118298,0.130882,0.116488,0.127496,"294,298","27,265,100"
"Feb 25, 2018",0.128957,0.134645,0.111581,0.118146,"338,466","29,721,900"
"Feb 24, 2018",0.123992,0.132020,0.110827,0.129347,"697,253","28,577,600"
"Feb 23, 2018",0.146787,0.146787,0.122320,0.122320,"933,028","33,831,400"
"Feb 22, 2018",0.175208,0.179421,0.138404,0.143771,"988,670","40,381,800"
"Feb 21, 2018",0.191017,0.199719,0.170639,0.173396,"671,943","44,025,400"
"Feb 20, 2018",0.227674,0.244314,0.189544,0.191143,"1,189,770","52,474,100"
"Feb 19, 2018",0.220011,0.256667,0.209890,0.230593,"1,402,880","50,707,900"
"Feb 18, 2018",0.266799,0.271469,0.219983,0.219983,"1,061,710","61,491,500"
"Feb 17, 2018",0.271453,0.303173,0.262296,0.268306,"1,623,520","62,564,100"
"Feb 16, 2018",0.244189,0.279139,0.230902,0.272331,"1,972,260","56,280,400"
"Feb 15, 2018",0.188931,0.265817,0.184520,0.243818,"2,708,090","43,544,600"
"Feb 14, 2018",0.176749,0.189686,0.175594,0.188923,"440,717","40,736,900"
"Feb 13, 2018",0.177951,0.185968,0.159884,0.177278,"467,215","41,013,900"
"Feb 12, 2018",0.158966,0.177628,0.157390,0.177628,"259,377","36,638,200"
"Feb 11, 2018",0.166549,0.169984,0.148632,0.154092,"226,403","38,385,900"
"Feb 10, 2018",0.174646,0.193999,0.158938,0.166691,"452,526","40,252,300"
"Feb 09, 2018",0.157918,0.180984,0.146011,0.174519,"281,674","36,396,700"
"Feb 08, 2018",0.149532,0.166699,0.144640,0.156693,"333,879","34,464,000"
"Feb 07, 2018",0.159869,0.176156,0.137427,0.148231,"359,325","36,846,400"
"Feb 06, 2018",0.127910,0.173364,0.103493,0.164210,"447,426","29,480,600"
"Feb 05, 2018",0.169344,0.175044,0.116587,0.127749,"313,458","39,030,100"
"Feb 04, 2018",0.200879,0.206902,0.157488,0.171002,"332,855","46,298,200"
"Feb 03, 2018",0.188776,0.212570,0.161567,0.202901,"449,190","43,508,800"
"Feb 02, 2018",0.196977,0.199222,0.123333,0.188134,"865,104","45,398,900"
"Feb 01, 2018",0.236666,0.248353,0.186152,0.198931,"885,537","54,546,400"
"Jan 31, 2018",0.213358,0.243575,0.199191,0.236320,"901,259","49,174,400"
"Jan 30, 2018",0.276858,0.278844,0.203181,0.216724,"1,421,870","63,809,800"
"Jan 29, 2018",0.288836,0.295088,0.269047,0.276767,"1,206,720","66,570,700"
"Jan 28, 2018",0.330299,0.337112,0.286754,0.293989,"2,132,020","76,126,900"
"Jan 27, 2018",0.353129,0.367327,0.296757,0.324869,"4,529,980","81,388,700"
"Jan 26, 2018",0.393291,0.408798,0.313668,0.356592,"2,761,210","90,645,200"
"Jan 25, 2018",0.445064,0.445365,0.375635,0.392213,"3,021,330","102,578,000"
"Jan 24, 2018",0.336359,0.441112,0.327577,0.432696,"3,028,330","77,523,500"
"Jan 23, 2018",0.351922,0.357908,0.293524,0.336550,"1,063,060","81,110,600"
