Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.578563,0.583475,0.511481,0.554259,"5,367,430","300,585,000"
"Mar 22, 2018",0.582848,0.633587,0.554356,0.578416,"8,667,940","302,665,000"
"Mar 21, 2018",0.537362,0.617998,0.537362,0.582054,"7,988,280","278,900,000"
"Mar 20, 2018",0.468713,0.558981,0.460619,0.534654,"6,190,060","243,115,000"
"Mar 19, 2018",0.442396,0.464974,0.435120,0.464974,"3,859,170","229,324,000"
"Mar 18, 2018",0.443938,0.443938,0.354991,0.441154,"5,900,160","230,038,000"
"Mar 17, 2018",0.503508,0.503508,0.442287,0.444696,"3,134,240","260,896,000"
"Mar 16, 2018",0.484890,0.529674,0.468640,0.503941,"4,675,690","251,138,000"
"Mar 15, 2018",0.517678,0.520949,0.460781,0.486085,"4,601,280","268,026,000"
"Mar 14, 2018",0.595073,0.608643,0.514046,0.518390,"4,919,120","307,650,000"
"Mar 13, 2018",0.626599,0.658558,0.584119,0.595122,"5,484,210","323,983,000"
"Mar 12, 2018",0.683034,0.708498,0.617465,0.628817,"4,099,150","353,102,000"
"Mar 11, 2018",0.631398,0.684097,0.609048,0.682246,"4,172,970","326,314,000"
"Mar 10, 2018",0.646254,0.733354,0.633139,0.635473,"7,654,580","333,757,000"
"Mar 09, 2018",0.637627,0.646006,0.567193,0.645375,"5,198,880","329,854,000"
"Mar 08, 2018",0.701590,0.735299,0.637734,0.641815,"6,500,550","362,723,000"
"Mar 07, 2018",0.783247,0.795471,0.670935,0.696557,"7,856,390","404,789,000"
"Mar 06, 2018",0.887447,0.887447,0.778876,0.784441,"6,516,140","458,344,000"
"Mar 05, 2018",0.920334,0.930618,0.887097,0.887579,"6,025,120","475,288,000"
"Mar 04, 2018",0.915349,0.923982,0.890946,0.921463,"5,709,570","472,507,000"
"Mar 03, 2018",0.934461,0.969524,0.909748,0.917723,"6,815,010","482,397,000"
"Mar 02, 2018",0.961520,1.01,0.930779,0.938003,"7,594,580","496,231,000"
"Mar 01, 2018",0.916661,0.969874,0.880255,0.962535,"8,661,110","471,873,000"
"Feb 28, 2018",0.992029,1.01,0.916808,0.917173,"6,891,760","510,407,000"
"Feb 27, 2018",1.04,1.14,0.990280,0.993080,"17,494,200","532,384,000"
"Feb 26, 2018",0.977440,1.07,0.945288,1.03,"8,738,640","501,882,000"
"Feb 25, 2018",0.917998,1.00,0.905002,0.974205,"10,967,400","471,352,000"
"Feb 24, 2018",0.982682,1.05,0.880218,0.920412,"8,140,960","504,189,000"
"Feb 23, 2018",0.900781,0.984626,0.861228,0.979024,"5,936,610","461,933,000"
"Feb 22, 2018",0.944015,1.01,0.862158,0.903932,"6,338,430","483,473,000"
