Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.039792,0.040218,0.031826,0.032941,"2,980,470","23,875,400"
"Mar 22, 2018",0.038354,0.039243,0.033121,0.036180,"1,245,860","23,012,400"
"Mar 21, 2018",0.038858,0.041789,0.037181,0.038564,"810,253","23,314,800"
"Mar 20, 2018",0.037299,0.040419,0.034479,0.039519,"669,491","22,379,600"
"Mar 19, 2018",0.034821,0.038091,0.033373,0.037442,"861,551","20,892,600"
"Mar 18, 2018",0.037239,0.037239,0.026890,0.035314,"898,924","22,343,600"
"Mar 17, 2018",0.046329,0.046329,0.035262,0.036429,"995,062","27,797,600"
"Mar 16, 2018",0.045086,0.048515,0.039967,0.046254,"331,486","27,051,800"
"Mar 15, 2018",0.046832,0.047815,0.041442,0.045323,"635,104","28,099,100"
"Mar 14, 2018",0.056723,0.057569,0.046204,0.047350,"999,018","34,033,900"
"Mar 13, 2018",0.058901,0.060300,0.054479,0.056261,"543,223","35,340,800"
"Mar 12, 2018",0.063855,0.063926,0.054962,0.058515,"760,058","38,312,900"
"Mar 11, 2018",0.056033,0.068013,0.051549,0.063837,"1,473,220","33,620,000"
"Mar 10, 2018",0.059238,0.061228,0.054596,0.054862,"676,195","35,543,000"
"Mar 09, 2018",0.063003,0.064624,0.050377,0.059038,"1,463,950","37,801,500"
"Mar 08, 2018",0.069647,0.069647,0.061112,0.064256,"1,555,330","41,788,000"
"Mar 07, 2018",0.071937,0.091044,0.060640,0.071027,"14,656,600","43,161,900"
"Mar 06, 2018",0.082166,0.082166,0.069737,0.073723,"1,992,220","49,299,400"
"Mar 05, 2018",0.082695,0.085555,0.079939,0.083212,"4,738,400","49,616,900"
"Mar 04, 2018",0.086879,0.113805,0.084600,0.088423,"44,378,100","52,127,300"
"Mar 03, 2018",0.079147,0.080395,0.073452,0.075695,"1,289,330","47,488,500"
"Mar 02, 2018",0.084365,0.091548,0.074876,0.080264,"6,099,500","50,619,100"
"Mar 01, 2018",0.098737,0.100665,0.070242,0.089139,"23,144,200","59,242,100"
"Feb 28, 2018",0.059254,0.087984,0.058363,0.087886,"12,489,400","35,552,200"
"Feb 27, 2018",0.061344,0.061971,0.057321,0.059320,"550,508","36,806,300"
"Feb 26, 2018",0.059405,0.062516,0.057282,0.061638,"222,787","35,643,200"
"Feb 25, 2018",0.060054,0.061304,0.056486,0.059973,"348,341","36,032,400"
"Feb 24, 2018",0.063504,0.067946,0.057827,0.060148,"349,459","38,102,200"
"Feb 23, 2018",0.061483,0.066783,0.057545,0.063583,"315,020","36,889,600"
"Feb 22, 2018",0.063998,0.071830,0.057313,0.060879,"726,226","38,399,100"
