Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.620426,0.642280,0.565383,0.593853,"7,137,310","45,558,300"
"Mar 29, 2018",0.744251,0.753378,0.608376,0.621250,"6,128,800","54,650,800"
"Mar 28, 2018",0.699773,0.752204,0.694518,0.743977,"7,210,730","51,384,800"
"Mar 27, 2018",0.722348,0.744601,0.681364,0.699550,"6,887,600","53,042,500"
"Mar 26, 2018",0.804142,0.819096,0.686860,0.723581,"8,426,870","59,048,700"
"Mar 25, 2018",0.778417,0.831206,0.771096,0.805651,"8,183,540","57,159,700"
"Mar 24, 2018",0.803341,0.830456,0.760482,0.789072,"8,513,690","58,989,900"
"Mar 23, 2018",0.789089,0.796701,0.747837,0.795070,"7,786,460","57,943,400"
"Mar 22, 2018",0.803389,0.835344,0.753786,0.789798,"7,075,540","58,993,400"
"Mar 21, 2018",0.823245,0.840456,0.787466,0.803269,"8,404,430","60,451,500"
"Mar 20, 2018",0.783327,0.844055,0.752050,0.821974,"7,076,910","57,520,200"
"Mar 19, 2018",0.693705,0.811908,0.678755,0.777954,"8,716,570","50,939,300"
"Mar 18, 2018",0.700068,0.700068,0.584559,0.691885,"7,827,300","51,406,500"
"Mar 17, 2018",0.762645,0.766058,0.691017,0.701079,"8,401,410","56,001,600"
"Mar 16, 2018",0.752043,0.778725,0.721913,0.762182,"8,712,780","55,223,000"
"Mar 15, 2018",0.803658,0.806965,0.671358,0.751005,"8,426,060","59,013,100"
"Mar 14, 2018",0.866427,0.887976,0.765130,0.804773,"10,031,200","63,622,300"
"Mar 13, 2018",0.899608,0.925979,0.848108,0.863973,"8,560,200","66,058,900"
"Mar 12, 2018",0.961367,0.979037,0.877519,0.904352,"10,577,700","70,593,800"
"Mar 11, 2018",0.896488,0.973993,0.864965,0.965191,"8,528,160","65,829,800"
"Mar 10, 2018",0.974622,1.01,0.898629,0.899718,"8,403,630","71,567,200"
"Mar 09, 2018",1.04,1.07,0.877484,0.971459,"9,458,020","76,358,100"
"Mar 08, 2018",0.994919,1.16,0.977978,1.05,"16,376,100","73,057,600"
"Mar 07, 2018",1.12,1.13,0.959102,0.997732,"9,642,890","82,024,000"
"Mar 06, 2018",1.28,1.28,1.09,1.12,"10,536,600","93,817,500"
"Mar 05, 2018",1.33,1.33,1.28,1.28,"12,706,400","97,573,200"
"Mar 04, 2018",1.28,1.33,1.22,1.33,"16,601,300","93,904,200"
"Mar 03, 2018",1.28,1.31,1.26,1.28,"15,451,700","94,345,700"
"Mar 02, 2018",1.30,1.30,1.24,1.29,"16,178,500","95,473,400"
"Mar 01, 2018",1.27,1.36,1.26,1.30,"17,882,600","93,394,200"
"Feb 28, 2018",1.41,1.48,1.27,1.27,"16,627,600","103,456,000"
"Feb 27, 2018",1.45,1.47,1.39,1.41,"14,931,700","106,818,000"
"Feb 26, 2018",1.56,1.63,1.42,1.45,"17,952,900","114,341,000"
"Feb 25, 2018",1.47,1.60,1.45,1.55,"20,101,700","108,182,000"
"Feb 24, 2018",1.50,1.59,1.39,1.48,"15,629,000","109,886,000"
"Feb 23, 2018",1.34,1.63,1.28,1.50,"19,943,700","98,082,700"
"Feb 22, 2018",1.45,1.54,1.30,1.34,"14,579,700","106,449,000"
"Feb 21, 2018",1.57,1.66,1.42,1.45,"16,840,200","115,464,000"
"Feb 20, 2018",1.88,1.92,1.58,1.59,"30,972,100","138,189,000"
"Feb 19, 2018",1.37,1.89,1.36,1.89,"32,097,300","82,712,600"
"Feb 18, 2018",1.55,1.55,1.37,1.39,"15,231,200","93,173,700"
"Feb 17, 2018",1.46,1.57,1.44,1.54,"15,634,400","87,714,800"
"Feb 16, 2018",1.41,1.46,1.35,1.45,"14,756,400","84,677,100"
"Feb 15, 2018",1.36,1.43,1.31,1.40,"15,415,500","82,176,900"
"Feb 14, 2018",1.22,1.44,1.22,1.37,"15,995,700","73,407,800"
"Feb 13, 2018",1.30,1.30,1.21,1.22,"13,668,400","78,477,700"
"Feb 12, 2018",1.23,1.32,1.23,1.30,"13,451,800","73,981,300"
"Feb 11, 2018",1.48,1.48,1.18,1.22,"18,331,700","89,069,200"
"Feb 10, 2018",1.23,1.46,1.22,1.46,"21,131,200","73,858,500"
"Feb 09, 2018",1.13,1.24,1.07,1.22,"10,350,900","68,177,600"
"Feb 08, 2018",1.06,1.21,1.06,1.13,"14,943,500","64,134,900"
"Feb 07, 2018",1.06,1.23,0.964062,1.07,"14,390,400","63,921,300"
"Feb 06, 2018",0.915340,1.09,0.727344,1.07,"12,056,000","55,147,700"
"Feb 05, 2018",1.18,1.20,0.869224,0.909776,"8,809,600","71,053,300"
"Feb 04, 2018",1.39,1.43,1.12,1.19,"13,094,800","83,723,600"
"Feb 03, 2018",1.31,1.43,1.17,1.39,"17,996,200","79,037,800"
"Feb 02, 2018",1.42,1.42,0.991169,1.31,"17,502,900","85,401,200"
"Feb 01, 2018",1.68,1.72,1.30,1.42,"23,036,900","101,178,000"
"Jan 31, 2018",1.64,1.77,1.53,1.67,"26,143,800","99,003,200"
"Jan 30, 2018",1.92,1.93,1.62,1.64,"18,580,600","115,557,000"
"Jan 29, 2018",1.98,2.00,1.85,1.92,"16,510,500","119,518,000"
"Jan 28, 2018",2.05,2.17,1.98,1.98,"17,564,500","123,401,000"
"Jan 27, 2018",1.97,2.07,1.93,2.04,"14,667,100","118,586,000"
