Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.652263,0.657815,0.583741,0.642296,"14,613,900","163,066,000"
"Mar 22, 2018",0.632848,0.711508,0.618155,0.652889,"17,009,700","158,212,000"
"Mar 21, 2018",0.641266,0.690965,0.629031,0.632073,"17,904,300","160,316,000"
"Mar 20, 2018",0.607766,0.644750,0.551954,0.640377,"24,228,500","151,941,000"
"Mar 19, 2018",0.537156,0.609163,0.524838,0.603760,"25,025,200","134,289,000"
"Mar 18, 2018",0.565561,0.565561,0.449141,0.539053,"27,851,100","141,390,000"
"Mar 17, 2018",0.644676,0.655808,0.565815,0.567139,"25,739,600","161,169,000"
"Mar 16, 2018",0.611637,0.694855,0.595975,0.646726,"28,086,400","152,909,000"
"Mar 15, 2018",0.620705,0.625762,0.570266,0.612062,"24,670,700","155,176,000"
"Mar 14, 2018",0.715883,0.731234,0.614109,0.620355,"22,284,000","178,971,000"
"Mar 13, 2018",0.740131,0.761007,0.702169,0.715451,"22,349,700","185,033,000"
"Mar 12, 2018",0.827092,0.841990,0.715360,0.740314,"27,973,600","206,773,000"
"Mar 11, 2018",0.732101,0.832152,0.705816,0.824743,"7,540,380","183,025,000"
"Mar 10, 2018",0.780841,0.806842,0.727071,0.734671,"8,459,810","195,210,000"
"Mar 09, 2018",0.761425,0.779126,0.668532,0.778698,"9,455,240","190,356,000"
"Mar 08, 2018",0.896979,0.951951,0.752413,0.765298,"19,427,600","224,245,000"
"Mar 07, 2018",1.10,1.11,0.854094,0.899260,"16,407,700","275,210,000"
"Mar 06, 2018",1.20,1.20,1.10,1.10,"15,948,700","298,814,000"
"Mar 05, 2018",1.20,1.24,1.19,1.20,"11,065,100","299,481,000"
"Mar 04, 2018",1.26,1.32,1.20,1.20,"17,736,900","314,605,000"
"Mar 03, 2018",1.16,1.28,1.16,1.26,"14,035,500","290,880,000"
"Mar 02, 2018",1.16,1.19,1.14,1.16,"11,975,500","289,525,000"
"Mar 01, 2018",1.11,1.17,1.07,1.16,"13,889,600","276,789,000"
"Feb 28, 2018",1.18,1.20,1.11,1.11,"11,133,600","293,916,000"
"Feb 27, 2018",1.20,1.28,1.16,1.18,"16,407,700","298,959,000"
"Feb 26, 2018",1.18,1.21,1.12,1.19,"13,658,300","295,722,000"
"Feb 25, 2018",1.23,1.25,1.16,1.18,"10,710,300","308,159,000"
"Feb 24, 2018",1.32,1.36,1.20,1.23,"14,462,300","329,102,000"
"Feb 23, 2018",1.25,1.32,1.22,1.32,"18,534,900","313,510,000"
"Feb 22, 2018",1.30,1.43,1.23,1.26,"15,460,500","325,252,000"
