Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",1.80,2.06,1.61,1.83,"13,254,400","75,787,300"
"Mar 05, 2018",1.62,1.91,1.49,1.55,"4,569,590","68,040,200"
"Mar 04, 2018",1.88,1.88,1.51,1.64,"2,429,750","79,116,100"
"Mar 03, 2018",1.90,2.84,1.76,1.92,"16,393,600","79,656,800"
"Mar 02, 2018",1.35,2.12,1.21,1.73,"9,002,780","56,682,900"
"Mar 01, 2018",1.35,1.51,1.13,1.45,"3,247,830","56,707,200"
"Feb 28, 2018",1.55,1.93,1.29,1.29,"8,719,080","64,960,600"
"Feb 27, 2018",0.943638,1.47,0.858010,1.42,"3,921,340","39,624,100"
"Feb 26, 2018",0.946226,0.981191,0.876663,0.931159,"896,778","39,732,600"
"Feb 25, 2018",0.982207,0.993979,0.893098,0.931575,"877,001","41,243,600"
"Feb 24, 2018",1.10,1.19,0.831948,0.983698,"3,629,450","46,113,800"
"Feb 23, 2018",1.70,1.92,1.00,1.10,"2,540,790","71,557,800"
"Feb 22, 2018",1.88,1.94,1.68,1.71,"173,675","79,135,200"
"Feb 21, 2018",2.07,2.07,1.78,1.89,"307,584","86,765,900"
"Feb 20, 2018",2.30,2.54,1.99,2.07,"467,565","96,683,700"
"Feb 19, 2018",2.32,2.47,2.28,2.30,"57,117","97,352,700"
"Feb 18, 2018",2.54,2.77,2.12,2.30,"329,320","106,483,000"
"Feb 17, 2018",2.45,2.57,2.35,2.52,"148,321","102,743,000"
"Feb 16, 2018",2.54,2.60,2.39,2.44,"127,547","106,560,000"
"Feb 15, 2018",2.61,2.75,2.48,2.55,"273,784","109,509,000"
"Feb 14, 2018",2.18,2.61,2.18,2.60,"1,130,940","91,493,100"
"Feb 13, 2018",2.39,2.41,2.17,2.18,"139,453","100,573,000"
"Feb 12, 2018",2.23,2.42,2.21,2.39,"261,462","93,662,400"
"Feb 11, 2018",2.44,2.44,2.16,2.22,"51,112","102,563,000"
"Feb 10, 2018",2.53,2.59,2.27,2.38,"94,494","106,067,000"
"Feb 09, 2018",2.45,2.55,2.19,2.52,"149,721","102,921,000"
"Feb 08, 2018",2.14,2.54,2.14,2.42,"220,855","89,786,200"
"Feb 07, 2018",2.20,2.44,1.99,2.15,"186,220","92,267,000"
"Feb 06, 2018",2.02,2.20,1.60,2.18,"298,651","84,708,100"
"Feb 05, 2018",2.40,2.42,1.80,2.01,"202,354","100,661,000"
"Feb 04, 2018",2.74,2.75,2.22,2.42,"316,588","115,282,000"
"Feb 03, 2018",2.45,2.79,2.21,2.71,"767,964","102,947,000"
"Feb 02, 2018",2.61,2.61,2.06,2.39,"964,671","109,414,000"
"Feb 01, 2018",2.90,3.13,2.34,2.44,"4,853,060","121,852,000"
"Jan 31, 2018",2.73,2.75,2.41,2.63,"1,391,920","114,475,000"
"Jan 30, 2018",2.59,3.53,2.59,2.74,"13,728,900","108,799,000"
"Jan 29, 2018",2.90,2.93,2.55,2.55,"274,484","121,701,000"
"Jan 28, 2018",3.00,3.13,2.76,2.90,"568,631","126,114,000"
"Jan 27, 2018",2.76,3.15,2.60,2.99,"553,730","115,766,000"
"Jan 26, 2018",2.64,2.92,2.34,2.77,"1,075,090","110,675,000"
"Jan 25, 2018",2.54,3.14,2.52,2.64,"2,689,130","106,737,000"
"Jan 24, 2018",2.21,2.59,2.11,2.52,"1,384,040","92,704,900"
"Jan 23, 2018",2.12,2.25,1.88,2.20,"359,962","89,052,800"
"Jan 22, 2018",2.38,2.43,1.90,2.04,"149,156","99,830,100"
"Jan 21, 2018",2.59,3.11,2.20,2.34,"1,464,670","108,840,000"
"Jan 20, 2018",2.35,2.73,2.23,2.64,"157,884","98,808,300"
"Jan 19, 2018",2.18,2.33,2.04,2.33,"328,122","91,513,600"
"Jan 18, 2018",2.05,2.47,2.02,2.28,"605,616","86,270,700"
"Jan 17, 2018",1.89,2.13,1.47,2.05,"323,175","79,450,200"
"Jan 16, 2018",2.83,2.83,1.62,1.90,"289,764","119,059,000"
"Jan 15, 2018",2.87,3.06,2.68,2.83,"307,701","120,525,000"
"Jan 14, 2018",3.34,3.34,2.77,2.89,"266,730","140,228,000"
"Jan 13, 2018",2.98,3.59,2.93,3.35,"1,233,900","125,057,000"
"Jan 12, 2018",2.82,3.24,2.71,2.98,"239,896","118,557,000"
"Jan 11, 2018",3.18,3.18,2.49,2.80,"384,586","133,591,000"
"Jan 10, 2018",3.07,3.49,2.67,3.29,"849,822","129,038,000"
"Jan 09, 2018",3.22,3.46,2.89,2.99,"1,307,790","135,263,000"
"Jan 08, 2018",3.19,3.40,2.56,3.23,"874,512","133,941,000"
"Jan 07, 2018",2.79,3.56,2.73,3.27,"1,829,340","116,988,000"
"Jan 06, 2018",2.55,2.94,2.42,2.79,"318,019","106,949,000"
"Jan 05, 2018",2.79,2.88,2.50,2.54,"785,720","117,326,000"
"Jan 04, 2018",2.91,3.06,2.58,2.87,"1,698,430","122,353,000"
"Jan 03, 2018",3.06,3.12,2.83,2.90,"764,953","128,527,000"
"Jan 02, 2018",3.12,3.28,2.85,3.11,"1,108,630","131,019,000"
"Jan 01, 2018",2.96,3.12,2.70,3.12,"606,225","124,302,000"
"Dec 31, 2017",2.64,3.06,2.63,3.01,"726,937","110,812,000"
"Dec 30, 2017",2.91,3.87,2.55,2.76,"6,532,110","122,410,000"
"Dec 29, 2017",2.96,3.27,2.68,2.93,"1,402,390","124,164,000"
