Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.234759,0.245108,0.202770,0.216581,"3,249,410","20,184,300"
"Mar 22, 2018",0.190192,0.275791,0.189552,0.236346,"10,700,200","16,352,500"
"Mar 21, 2018",0.198709,0.215699,0.188281,0.190250,"847,370","17,084,800"
"Mar 20, 2018",0.184744,0.204087,0.175008,0.197796,"1,133,940","15,884,100"
"Mar 19, 2018",0.167524,0.189057,0.165268,0.182973,"723,546","14,403,500"
"Mar 18, 2018",0.178278,0.178278,0.136562,0.167568,"589,990","15,328,100"
"Mar 17, 2018",0.206465,0.206465,0.175732,0.178583,"612,928","17,751,600"
"Mar 16, 2018",0.200987,0.217965,0.189060,0.205813,"620,269","17,280,600"
"Mar 15, 2018",0.195849,0.233805,0.175953,0.200204,"2,101,280","16,838,900"
"Mar 14, 2018",0.233387,0.239925,0.189228,0.196259,"581,907","20,066,400"
"Mar 13, 2018",0.247677,0.252760,0.227989,0.234321,"1,449,410","21,295,000"
"Mar 12, 2018",0.303562,0.305491,0.242639,0.249598,"6,329,380","26,099,900"
"Mar 11, 2018",0.199310,0.407980,0.187624,0.300204,"16,557,900","17,136,400"
"Mar 10, 2018",0.216822,0.232221,0.195309,0.199972,"698,435","18,642,100"
"Mar 09, 2018",0.210071,0.220708,0.182062,0.216506,"615,775","18,061,700"
"Mar 08, 2018",0.236570,0.253001,0.205497,0.211453,"836,879","20,340,000"
"Mar 07, 2018",0.272405,0.272405,0.216312,0.235458,"781,925","23,421,100"
"Mar 06, 2018",0.313234,0.313234,0.274005,0.276457,"544,000","26,931,500"
"Mar 05, 2018",0.322208,0.327745,0.306330,0.313219,"866,962","27,703,100"
"Mar 04, 2018",0.331346,0.337851,0.314057,0.320670,"665,737","28,488,700"
"Mar 03, 2018",0.333954,0.373525,0.326842,0.332036,"1,257,430","28,713,000"
"Mar 02, 2018",0.348705,0.354508,0.327754,0.333669,"744,260","29,981,200"
"Mar 01, 2018",0.334934,0.369209,0.326045,0.350382,"896,768","28,797,200"
"Feb 28, 2018",0.383303,0.393858,0.334459,0.334459,"1,239,910","32,956,000"
"Feb 27, 2018",0.418708,0.440673,0.370779,0.381773,"3,053,820","36,000,100"
"Feb 26, 2018",0.370521,0.437039,0.361236,0.414516,"3,254,010","31,857,000"
"Feb 25, 2018",0.349976,0.376481,0.345345,0.369615,"1,206,610","30,090,500"
"Feb 24, 2018",0.358167,0.384489,0.340751,0.350579,"999,766","30,794,800"
"Feb 23, 2018",0.351815,0.392166,0.330236,0.356901,"1,539,580","30,248,700"
"Feb 22, 2018",0.372353,0.411006,0.354347,0.355320,"5,846,910","32,014,500"
