Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",2.97,2.99,2.61,2.78,"13,428,800","342,332,000"
"Mar 22, 2018",3.13,3.31,2.84,2.97,"12,338,600","360,766,000"
"Mar 21, 2018",2.84,3.39,2.84,3.12,"15,123,400","326,962,000"
"Mar 20, 2018",2.79,2.97,2.59,2.83,"10,819,600","295,882,000"
"Mar 19, 2018",2.52,2.91,2.43,2.73,"12,853,700","267,575,000"
"Mar 18, 2018",2.26,2.68,1.92,2.54,"12,385,300","239,852,000"
"Mar 17, 2018",2.61,2.61,2.25,2.26,"10,819,600","276,672,000"
"Mar 16, 2018",2.70,2.94,2.41,2.60,"23,713,000","286,638,000"
"Mar 15, 2018",2.17,3.57,1.99,2.70,"35,087,700","209,105,000"
"Mar 14, 2018",2.36,2.59,2.02,2.18,"3,572,270","227,155,000"
"Mar 13, 2018",2.33,2.46,2.26,2.36,"1,847,310","223,790,000"
"Mar 12, 2018",2.47,2.60,2.25,2.34,"1,714,070","237,274,000"
"Mar 11, 2018",2.31,2.53,2.19,2.47,"1,478,910","222,257,000"
"Mar 10, 2018",2.45,2.63,2.28,2.32,"1,906,220","235,578,000"
"Mar 09, 2018",2.48,2.52,2.13,2.45,"2,096,300","238,294,000"
"Mar 08, 2018",2.63,2.98,2.46,2.48,"4,268,540","252,592,000"
"Mar 07, 2018",2.91,3.02,2.37,2.63,"3,815,490","279,524,000"
"Mar 06, 2018",3.21,3.21,2.84,2.91,"2,337,060","308,929,000"
"Mar 05, 2018",3.16,3.30,3.14,3.23,"2,551,950","303,635,000"
"Mar 04, 2018",3.15,3.28,2.96,3.16,"3,182,500","302,825,000"
"Mar 03, 2018",3.25,3.37,3.01,3.17,"4,288,150","312,362,000"
"Mar 02, 2018",3.09,3.37,3.04,3.26,"9,399,520","296,742,000"
"Mar 01, 2018",2.77,3.21,2.71,3.09,"5,253,550","266,493,000"
"Feb 28, 2018",3.04,3.07,2.76,2.77,"2,374,630","292,022,000"
"Feb 27, 2018",3.05,3.17,2.95,3.03,"3,612,460","293,608,000"
"Feb 26, 2018",3.25,3.25,3.03,3.04,"4,363,930","312,358,000"
"Feb 25, 2018",2.92,3.26,2.85,3.26,"4,143,510","280,984,000"
"Feb 24, 2018",3.02,3.14,2.81,2.92,"1,624,660","269,557,000"
"Feb 23, 2018",3.04,3.28,2.81,3.01,"3,484,600","271,547,000"
"Feb 22, 2018",2.94,3.30,2.82,3.05,"3,738,040","261,754,000"
