Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.036497,0.036772,0.033558,0.036772,"3,904,740","15,366,800"
"Mar 22, 2018",0.037153,0.039850,0.035319,0.036402,"5,701,050","15,545,800"
"Mar 21, 2018",0.037133,0.040844,0.036426,0.037143,"4,836,800","15,537,600"
"Mar 20, 2018",0.034869,0.037366,0.033674,0.037241,"8,154,960","14,590,200"
"Mar 19, 2018",0.031673,0.035436,0.031343,0.034656,"2,683,490","13,253,000"
"Mar 18, 2018",0.034476,0.034476,0.026936,0.031801,"3,017,220","14,425,800"
"Mar 17, 2018",0.037688,0.039574,0.034190,0.034534,"2,623,430","15,769,700"
"Mar 16, 2018",0.034174,0.039877,0.033637,0.036993,"3,746,980","14,299,300"
"Mar 15, 2018",0.034824,0.034990,0.032102,0.034146,"2,908,890","14,571,500"
"Mar 14, 2018",0.037390,0.039731,0.033391,0.034830,"2,441,920","15,626,400"
"Mar 13, 2018",0.038407,0.040514,0.036339,0.037351,"1,084,660","16,897,100"
"Mar 12, 2018",0.038940,0.042088,0.036051,0.038564,"2,023,830","17,131,800"
"Mar 11, 2018",0.037131,0.039734,0.035683,0.038928,"933,026","16,335,700"
"Mar 10, 2018",0.039187,0.043444,0.037272,0.037648,"972,298","17,240,500"
"Mar 09, 2018",0.039465,0.039748,0.033448,0.039363,"1,206,960","17,362,800"
"Mar 08, 2018",0.045797,0.052745,0.035965,0.039727,"2,648,590","20,148,500"
"Mar 07, 2018",0.064720,0.066179,0.035088,0.046649,"2,277,630","28,473,600"
"Mar 06, 2018",0.073771,0.073771,0.064399,0.064724,"1,566,450","32,455,700"
"Mar 05, 2018",0.075990,0.076100,0.070623,0.073767,"1,779,290","33,431,900"
"Mar 04, 2018",0.077506,0.078708,0.073700,0.076142,"1,457,060","34,098,900"
"Mar 03, 2018",0.076520,0.084925,0.075731,0.077261,"2,503,680","33,665,000"
"Mar 02, 2018",0.075418,0.093208,0.070414,0.077607,"4,106,760","33,180,500"
"Mar 01, 2018",0.070116,0.076077,0.065734,0.075487,"2,507,670","30,847,900"
"Feb 28, 2018",0.075178,0.075217,0.069812,0.070513,"2,047,310","33,074,600"
"Feb 27, 2018",0.084263,0.084445,0.071768,0.074291,"2,739,010","37,071,700"
"Feb 26, 2018",0.075609,0.084779,0.074272,0.083851,"2,141,500","33,264,500"
"Feb 25, 2018",0.086624,0.089734,0.072672,0.075641,"2,407,140","38,110,500"
"Feb 24, 2018",0.099838,0.107613,0.084550,0.086835,"2,894,000","43,923,800"
"Feb 23, 2018",0.096956,0.101018,0.090749,0.099916,"1,904,680","42,655,800"
"Feb 22, 2018",0.104626,0.111198,0.088681,0.096931,"2,489,130","46,030,400"
