Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.409890,0.497190,0.409066,0.443605,"8,021,010","41,011,300"
"Mar 23, 2018",0.412105,0.419340,0.374384,0.404142,"3,941,180","41,232,800"
"Mar 22, 2018",0.409588,0.438136,0.379574,0.411890,"3,288,280","40,981,000"
"Mar 21, 2018",0.415081,0.472412,0.400572,0.409648,"5,319,690","41,530,600"
"Mar 20, 2018",0.384220,0.437506,0.367655,0.413508,"4,267,640","38,442,900"
"Mar 19, 2018",0.357228,0.395648,0.351317,0.380513,"3,332,710","35,742,200"
"Mar 18, 2018",0.359622,0.363900,0.281281,0.356168,"3,352,460","35,981,700"
"Mar 17, 2018",0.388380,0.412974,0.360668,0.361012,"2,656,190","38,859,100"
"Mar 16, 2018",0.397401,0.415083,0.366543,0.388405,"3,634,190","39,761,700"
"Mar 15, 2018",0.364174,0.477336,0.341063,0.396393,"11,692,500","36,437,200"
"Mar 14, 2018",0.419181,0.435543,0.351458,0.364167,"2,778,590","41,940,900"
"Mar 13, 2018",0.429524,0.448867,0.411434,0.415069,"1,849,980","42,975,700"
"Mar 12, 2018",0.459103,0.482178,0.406620,0.429931,"2,380,150","45,935,300"
"Mar 11, 2018",0.402914,0.475743,0.384491,0.459106,"2,909,370","40,313,200"
"Mar 10, 2018",0.437247,0.469902,0.395222,0.403079,"1,673,220","43,748,500"
"Mar 09, 2018",0.440574,0.450683,0.361555,0.445312,"2,428,420","44,081,400"
"Mar 08, 2018",0.491537,0.505274,0.435841,0.442600,"2,301,660","49,180,400"
"Mar 07, 2018",0.572610,0.582148,0.455865,0.494110,"3,652,080","57,292,100"
"Mar 06, 2018",0.661992,0.667386,0.567701,0.573255,"3,018,700","66,235,200"
"Mar 05, 2018",0.688132,0.693353,0.659709,0.661148,"2,568,660","68,850,600"
"Mar 04, 2018",0.694165,0.697012,0.639087,0.688676,"3,545,380","69,454,200"
"Mar 03, 2018",0.707345,0.747685,0.687824,0.694266,"3,790,250","70,772,900"
"Mar 02, 2018",0.717896,0.726743,0.687101,0.706740,"3,367,470","71,828,600"
"Mar 01, 2018",0.693466,0.743402,0.655825,0.717614,"5,024,930","69,384,200"
"Feb 28, 2018",0.746245,0.754586,0.689883,0.692654,"3,742,870","74,665,000"
"Feb 27, 2018",0.748100,0.771696,0.721705,0.746703,"4,473,190","74,850,600"
"Feb 26, 2018",0.735611,0.778297,0.712768,0.744193,"7,280,700","73,601,100"
"Feb 25, 2018",0.719152,0.758594,0.704066,0.734132,"5,536,230","71,954,200"
"Feb 24, 2018",0.749147,0.800681,0.689409,0.718238,"4,516,600","74,955,400"
"Feb 23, 2018",0.717712,0.816698,0.689970,0.744752,"7,990,650","71,810,200"
"Feb 22, 2018",0.802208,0.875683,0.685720,0.716838,"9,928,640","80,264,300"
"Feb 21, 2018",0.770377,0.845792,0.726827,0.803675,"15,664,400","77,079,600"
"Feb 20, 2018",0.877373,0.903008,0.765534,0.770894,"7,100,390","87,784,900"
"Feb 19, 2018",0.851831,0.940644,0.841819,0.874491,"9,027,840","85,229,300"
"Feb 18, 2018",0.987268,1.03,0.855715,0.855715,"14,679,400","98,780,400"
"Feb 17, 2018",1.00,1.19,0.948882,0.969568,"40,461,500","100,069,000"
"Feb 16, 2018",0.907500,1.04,0.797487,0.994429,"49,740,200","90,799,300"
"Feb 15, 2018",0.636547,0.966539,0.627437,0.897956,"45,460,700","63,689,300"
"Feb 14, 2018",0.602379,0.639673,0.574948,0.636062,"3,606,630","60,270,600"
"Feb 13, 2018",0.638527,0.641040,0.579494,0.603514,"2,400,540","63,887,400"
"Feb 12, 2018",0.592791,0.646804,0.592791,0.637079,"2,715,790","59,311,300"
"Feb 11, 2018",0.627930,0.635765,0.553891,0.589094,"2,658,030","62,827,100"
"Feb 10, 2018",0.688168,0.747779,0.604356,0.630055,"3,815,550","68,854,200"
"Feb 09, 2018",0.615916,0.689463,0.589322,0.688039,"1,710,850","61,625,100"
"Feb 08, 2018",0.554010,0.639181,0.554010,0.613982,"4,312,330","55,431,100"
"Feb 07, 2018",0.608545,0.671825,0.527262,0.553319,"4,132,300","60,887,500"
"Feb 06, 2018",0.500984,0.618551,0.397406,0.614766,"4,670,820","50,125,600"
"Feb 05, 2018",0.662711,0.680068,0.457753,0.499752,"3,598,690","66,307,100"
"Feb 04, 2018",0.822676,0.888144,0.632137,0.669948,"6,496,180","82,312,200"
"Feb 03, 2018",0.727295,0.871242,0.641641,0.823657,"6,178,000","72,769,000"
"Feb 02, 2018",0.834795,0.834795,0.526928,0.724383,"7,157,760","83,524,800"
"Feb 01, 2018",1.07,1.09,0.742575,0.842225,"12,865,900","106,889,000"
"Jan 31, 2018",1.06,1.09,0.998249,1.06,"11,313,600","106,282,000"
"Jan 30, 2018",1.27,1.28,1.01,1.06,"7,628,990","127,357,000"
"Jan 29, 2018",1.39,1.41,1.27,1.27,"6,682,420","139,137,000"
