Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.97,3.97,3.54,3.66,"445,268","104,545,000"
"Mar 22, 2018",4.15,4.44,3.77,3.95,"1,223,880","109,827,000"
"Mar 21, 2018",3.63,4.39,3.59,4.24,"2,562,680","96,476,400"
"Mar 20, 2018",2.86,3.78,2.61,3.59,"2,904,730","76,332,500"
"Mar 19, 2018",2.64,2.86,2.64,2.83,"254,276","70,467,400"
"Mar 18, 2018",2.66,2.66,2.23,2.64,"376,735","71,125,300"
"Mar 17, 2018",3.17,3.17,2.65,2.67,"559,565","84,614,900"
"Mar 16, 2018",3.20,3.33,3.10,3.15,"434,969","85,394,100"
"Mar 15, 2018",3.10,3.23,2.86,3.19,"517,862","82,799,200"
"Mar 14, 2018",3.49,3.53,3.01,3.10,"389,735","93,087,000"
"Mar 13, 2018",3.46,3.58,3.39,3.48,"292,989","92,360,500"
"Mar 12, 2018",3.61,3.77,3.39,3.47,"347,910","96,490,000"
"Mar 11, 2018",3.38,3.68,3.28,3.62,"329,766","90,248,400"
"Mar 10, 2018",3.44,4.00,3.35,3.44,"2,164,820","91,890,700"
"Mar 09, 2018",3.68,3.75,2.99,3.44,"651,864","98,309,100"
"Mar 08, 2018",4.17,4.17,3.61,3.78,"1,374,360","111,390,000"
"Mar 07, 2018",4.82,4.82,3.69,4.44,"3,118,940","128,661,000"
"Mar 06, 2018",5.44,5.49,4.75,4.97,"7,478,310","145,252,000"
"Mar 05, 2018",4.49,5.94,4.45,5.09,"14,777,800","119,794,000"
"Mar 04, 2018",4.68,4.68,4.07,4.49,"860,983","124,830,000"
"Mar 03, 2018",4.28,5.40,4.17,4.59,"3,106,160","114,365,000"
"Mar 02, 2018",4.25,4.78,4.02,4.30,"2,277,620","113,326,000"
"Mar 01, 2018",3.82,4.42,3.57,4.25,"1,137,440","101,896,000"
"Feb 28, 2018",3.88,4.16,3.65,3.82,"805,680","103,563,000"
"Feb 27, 2018",3.81,4.61,3.81,3.91,"4,057,050","101,723,000"
"Feb 26, 2018",3.27,3.95,3.24,3.78,"608,713","87,326,000"
"Feb 25, 2018",3.36,3.46,3.16,3.27,"512,090","89,750,000"
"Feb 24, 2018",3.82,3.86,3.30,3.36,"302,601","101,957,000"
"Feb 23, 2018",3.66,3.91,3.58,3.83,"334,492","97,762,700"
"Feb 22, 2018",4.27,4.41,3.65,3.67,"402,364","113,982,000"
