Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",2.84,2.90,2.64,2.74,"2,096,540","288,026,000"
"Mar 22, 2018",2.77,2.92,2.60,2.83,"1,598,740","280,522,000"
"Mar 21, 2018",2.86,2.97,2.71,2.76,"1,867,640","289,414,000"
"Mar 20, 2018",2.76,2.92,2.58,2.85,"2,436,060","280,091,000"
"Mar 19, 2018",2.42,2.88,2.37,2.75,"3,362,100","245,057,000"
"Mar 18, 2018",2.52,2.52,2.02,2.43,"2,976,970","255,642,000"
"Mar 17, 2018",2.84,2.84,2.48,2.53,"1,025,370","287,236,000"
"Mar 16, 2018",3.13,3.13,2.78,2.83,"3,355,380","317,356,000"
"Mar 15, 2018",2.84,2.93,2.63,2.84,"1,529,390","287,472,000"
"Mar 14, 2018",3.45,3.57,2.78,2.84,"2,258,130","349,681,000"
"Mar 13, 2018",3.26,3.59,3.23,3.45,"2,640,490","329,808,000"
"Mar 12, 2018",3.28,3.58,3.13,3.27,"2,119,140","332,150,000"
"Mar 11, 2018",3.07,3.30,2.98,3.29,"996,603","310,791,000"
"Mar 10, 2018",3.25,3.37,3.06,3.09,"1,060,780","328,923,000"
"Mar 09, 2018",3.25,3.29,2.86,3.26,"1,226,940","328,642,000"
"Mar 08, 2018",3.49,3.60,3.22,3.28,"1,437,370","352,321,000"
"Mar 07, 2018",3.75,3.95,3.22,3.50,"2,534,420","378,784,000"
"Mar 06, 2018",4.05,4.25,3.69,3.75,"3,037,090","409,256,000"
"Mar 05, 2018",4.17,4.19,3.97,4.07,"2,508,350","421,357,000"
"Mar 04, 2018",4.41,4.41,4.05,4.20,"2,644,750","445,880,000"
"Mar 03, 2018",3.99,4.73,3.99,4.42,"11,713,200","403,122,000"
"Mar 02, 2018",3.70,4.24,3.66,4.01,"4,826,680","373,088,000"
"Mar 01, 2018",3.60,3.80,3.50,3.70,"2,309,910","363,057,000"
"Feb 28, 2018",3.81,3.86,3.51,3.60,"2,011,650","384,179,000"
"Feb 27, 2018",3.78,3.96,3.71,3.81,"2,417,360","381,120,000"
"Feb 26, 2018",3.73,3.88,3.67,3.78,"2,098,460","375,807,000"
"Feb 25, 2018",3.69,3.76,3.57,3.71,"1,212,330","371,720,000"
"Feb 24, 2018",4.00,4.10,3.53,3.66,"1,508,880","403,162,000"
"Feb 23, 2018",3.77,4.04,3.70,3.99,"2,478,910","380,150,000"
"Feb 22, 2018",4.17,4.23,3.61,3.78,"1,720,080","420,489,000"
