Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.566409,0.974660,0.548835,0.806212,"4,624,250","52,877,300"
"Mar 20, 2018",0.837979,1.17,0.522749,0.580086,"3,348,160","78,229,800"
"Mar 19, 2018",0.714242,1.05,0.628913,0.836501,"3,830,610","66,678,300"
"Mar 18, 2018",0.655871,0.737115,0.560842,0.716051,"2,942,690","61,229,000"
"Mar 17, 2018",0.683249,0.701630,0.653741,0.656154,"1,740,370","63,784,900"
"Mar 16, 2018",0.657265,0.744233,0.634530,0.678204,"1,518,590","61,359,200"
"Mar 15, 2018",0.681132,0.688359,0.622876,0.657522,"1,773,580","63,587,300"
"Mar 14, 2018",0.756776,0.792949,0.666187,0.681204,"1,502,410","70,649,100"
"Mar 13, 2018",0.748713,0.786313,0.722995,0.752994,"1,584,020","69,896,300"
"Mar 12, 2018",0.793468,0.818074,0.734451,0.748963,"1,537,790","74,065,800"
"Mar 11, 2018",0.808792,0.829846,0.710133,0.797735,"1,586,890","75,475,400"
"Mar 10, 2018",0.797153,0.873653,0.627740,0.813882,"1,723,720","74,368,700"
"Mar 09, 2018",0.745106,0.802434,0.673275,0.798899,"1,266,010","69,494,000"
"Mar 08, 2018",0.816818,0.827594,0.701261,0.751684,"1,520,540","76,161,000"
"Mar 07, 2018",0.933776,0.945511,0.780956,0.825850,"1,738,950","87,042,300"
"Mar 06, 2018",1.02,1.03,0.913429,0.937236,"1,862,400","95,475,900"
"Mar 05, 2018",0.987709,1.03,0.972876,1.03,"2,079,820","92,018,400"
"Mar 04, 2018",0.964899,0.991604,0.936345,0.991604,"1,855,380","89,868,600"
"Mar 03, 2018",0.966714,0.994509,0.956205,0.966490,"1,847,800","90,012,400"
"Mar 02, 2018",0.982259,1.01,0.960585,0.970445,"1,780,750","91,434,600"
"Mar 01, 2018",0.938759,0.993484,0.906847,0.984975,"1,857,910","87,360,800"
"Feb 28, 2018",0.991344,1.01,0.930313,0.937901,"1,768,120","92,228,800"
"Feb 27, 2018",0.972412,1.00,0.933097,0.991938,"2,199,460","90,442,500"
"Feb 26, 2018",0.913955,0.985288,0.875058,0.974102,"2,589,450","84,981,600"
"Feb 25, 2018",0.894346,0.981761,0.859780,0.916961,"2,640,450","83,135,300"
"Feb 24, 2018",0.889398,0.972779,0.870354,0.895698,"2,581,540","82,652,200"
"Feb 23, 2018",0.853319,0.930828,0.827446,0.891823,"2,669,720","79,277,100"
"Feb 22, 2018",0.883952,0.931654,0.827369,0.858419,"1,404,000","82,100,300"
"Feb 21, 2018",0.918799,0.965670,0.868584,0.888565,"1,412,140","85,312,900"
"Feb 20, 2018",1.02,1.04,0.910268,0.919838,"1,444,170","94,642,000"
"Feb 19, 2018",0.965304,1.04,0.965304,1.02,"1,649,300","89,581,000"
"Feb 18, 2018",1.07,1.07,0.949121,0.970064,"804,252","98,808,900"
"Feb 17, 2018",0.986364,1.07,0.973899,1.06,"1,705,570","91,484,300"
"Feb 16, 2018",0.993847,1.01,0.917461,0.988898,"1,601,830","92,152,800"
"Feb 15, 2018",0.900529,0.999777,0.890654,0.992280,"1,554,420","83,476,500"
"Feb 14, 2018",0.826743,0.923625,0.787402,0.901148,"1,370,030","76,615,500"
"Feb 13, 2018",0.903837,0.910989,0.788631,0.825730,"1,347,400","83,736,400"
"Feb 12, 2018",0.893367,0.963462,0.786151,0.902116,"1,570,490","82,743,300"
"Feb 11, 2018",0.949992,0.964079,0.869535,0.887164,"1,377,450","87,963,200"
"Feb 10, 2018",1.01,1.07,0.903748,0.944000,"1,452,930","93,838,900"
"Feb 09, 2018",0.949883,1.02,0.894553,1.01,"1,607,170","87,903,900"
"Feb 08, 2018",0.838275,1.00,0.838270,0.949207,"1,332,460","77,553,900"
"Feb 07, 2018",0.811669,0.951142,0.764217,0.840354,"1,150,710","75,071,500"
"Feb 06, 2018",0.712499,0.851120,0.612412,0.819728,"1,327,060","65,880,900"
"Feb 05, 2018",0.904894,0.924876,0.675802,0.712556,"1,074,590","83,647,000"
"Feb 04, 2018",1.13,1.17,0.882116,0.915837,"1,359,740","103,991,000"
"Feb 03, 2018",1.04,1.18,0.987245,1.13,"1,761,740","96,528,200"
"Feb 02, 2018",1.12,1.12,0.880371,1.05,"1,638,620","103,181,000"
"Feb 01, 2018",1.25,1.29,1.08,1.12,"1,683,190","115,840,000"
"Jan 31, 2018",1.21,1.32,1.16,1.26,"1,732,780","111,640,000"
"Jan 30, 2018",1.48,1.48,1.20,1.20,"1,995,930","136,499,000"
"Jan 29, 2018",1.50,1.61,1.40,1.48,"2,255,810","138,588,000"
"Jan 28, 2018",1.57,1.71,1.48,1.50,"1,744,280","145,095,000"
"Jan 27, 2018",1.46,1.66,1.38,1.57,"1,654,670","134,296,000"
"Jan 26, 2018",1.52,1.62,1.31,1.46,"1,712,430","140,455,000"
"Jan 25, 2018",1.21,1.54,1.10,1.53,"2,340,750","111,134,000"
"Jan 24, 2018",0.966652,1.23,0.950022,1.19,"1,997,570","89,059,400"
"Jan 23, 2018",0.917223,1.14,0.915104,0.966589,"2,938,040","84,481,500"
"Jan 22, 2018",0.975674,1.03,0.860103,0.945190,"4,534,450","89,840,000"
"Jan 21, 2018",1.07,1.08,0.914998,0.964269,"6,192,570","98,358,100"
"Jan 20, 2018",0.964836,1.13,0.949603,1.05,"4,489,360","88,792,400"
