Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.249594,0.253936,0.238816,0.251527,"2,353,550","10,268,400"
"Mar 22, 2018",0.253306,0.262175,0.243739,0.249559,"2,225,670","10,419,400"
"Mar 21, 2018",0.243428,0.255062,0.233457,0.247178,"2,312,240","10,011,900"
"Mar 20, 2018",0.232648,0.248488,0.212328,0.240210,"2,350,390","9,567,410"
"Mar 19, 2018",0.223854,0.238836,0.213393,0.225286,"2,291,160","9,204,600"
"Mar 18, 2018",0.224266,0.230620,0.197528,0.224825,"2,232,680","9,219,820"
"Mar 17, 2018",0.232174,0.241451,0.196916,0.224813,"1,391,800","9,543,580"
"Mar 16, 2018",0.234451,0.247219,0.209536,0.231852,"2,207,950","9,625,440"
"Mar 15, 2018",0.229123,0.243922,0.215057,0.233994,"2,270,220","9,406,700"
"Mar 14, 2018",0.244366,0.271614,0.207881,0.229201,"2,201,210","10,032,500"
"Mar 13, 2018",0.249666,0.266621,0.234368,0.248417,"2,434,420","10,250,100"
"Mar 12, 2018",0.262659,0.283323,0.225576,0.259330,"2,451,700","10,783,500"
"Mar 11, 2018",0.230233,0.278473,0.230233,0.266143,"2,555,080","9,452,260"
"Mar 10, 2018",0.265371,0.275207,0.245970,0.247717,"2,314,180","10,894,900"
"Mar 09, 2018",0.274176,0.277580,0.236557,0.264801,"2,471,580","11,256,300"
"Mar 08, 2018",0.296285,0.316818,0.261396,0.275080,"2,516,940","12,164,000"
"Mar 07, 2018",0.337552,0.361372,0.286293,0.319512,"2,856,440","13,857,400"
"Mar 06, 2018",0.363583,0.375173,0.307871,0.331407,"2,963,070","14,923,800"
"Mar 05, 2018",0.369288,0.375714,0.360837,0.365138,"3,079,650","15,155,900"
"Mar 04, 2018",0.415810,0.425989,0.348655,0.368720,"3,030,650","17,063,200"
"Mar 03, 2018",0.422437,0.444116,0.397122,0.410735,"3,275,520","17,333,100"
"Mar 02, 2018",0.419475,0.439315,0.396035,0.410295,"3,263,600","17,209,700"
"Mar 01, 2018",0.426072,0.441055,0.388405,0.424517,"2,954,350","17,478,300"
"Feb 28, 2018",0.441459,0.454095,0.424428,0.426188,"2,499,050","18,106,000"
"Feb 27, 2018",0.452876,0.456535,0.429042,0.441708,"2,675,090","18,572,200"
"Feb 26, 2018",0.382108,0.456649,0.356032,0.452613,"3,048,480","15,668,200"
"Feb 25, 2018",0.413833,0.429143,0.378625,0.381666,"3,138,960","16,965,900"
"Feb 24, 2018",0.489612,0.552745,0.355607,0.404308,"3,255,160","20,070,200"
"Feb 23, 2018",0.540362,0.562944,0.464438,0.469358,"3,607,120","22,146,000"
"Feb 22, 2018",0.596646,0.606902,0.532887,0.547788,"3,550,970","24,449,800"
