Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.103317,0.105567,0.087083,0.100030,"35,226","10,375,700"
"Mar 05, 2018",0.113941,0.114415,0.099229,0.103604,"5,636","11,442,600"
"Mar 04, 2018",0.105818,0.170539,0.083396,0.114485,"90,833","10,626,800"
"Mar 03, 2018",0.108871,0.118848,0.097119,0.106001,"31,765","10,933,400"
"Mar 02, 2018",0.106529,0.116741,0.100949,0.109005,"4,202","10,697,500"
"Mar 01, 2018",0.088485,0.108844,0.083825,0.106803,"21,747","8,885,560"
"Feb 28, 2018",0.090328,0.113329,0.076631,0.088355,"46,746","9,070,590"
"Feb 27, 2018",0.087546,0.095788,0.081482,0.090434,"28,167","8,791,260"
"Feb 26, 2018",0.087429,0.096022,0.085503,0.087294,"2,403","8,779,520"
"Feb 25, 2018",0.094148,0.097655,0.086833,0.087317,"13,127","9,453,970"
"Feb 24, 2018",0.112628,0.113978,0.087014,0.095845,"41,423","11,309,600"
"Feb 23, 2018",0.081220,0.113043,0.079732,0.112771,"82,366","8,155,490"
"Feb 22, 2018",0.068346,0.082247,0.066283,0.081296,"23,401","6,862,750"
"Feb 21, 2018",0.071225,0.081510,0.057974,0.068415,"25,124","7,151,820"
"Feb 20, 2018",0.091159,0.094475,0.067844,0.071314,"33,112","9,153,220"
"Feb 19, 2018",0.074895,0.097981,0.074664,0.091076,"5,524","7,520,160"
"Feb 18, 2018",0.078986,0.083385,0.064731,0.075241,"19,177","7,930,870"
"Feb 17, 2018",0.073393,0.079210,0.071230,0.078744,"11,968","7,369,240"
"Feb 16, 2018",0.073559,0.084645,0.067235,0.073410,"23,111","7,385,830"
"Feb 15, 2018",0.068788,0.074404,0.068008,0.073875,"1,695","6,906,700"
"Feb 14, 2018",0.060420,0.073238,0.060420,0.070361,"10,947","6,066,380"
"Feb 13, 2018",0.069401,0.073096,0.059382,0.059747,"10,413","6,968,020"
"Feb 12, 2018",0.071255,0.079677,0.067601,0.074160,"4,655","7,154,080"
"Feb 11, 2018",0.079512,0.084388,0.064357,0.070804,"7,486","7,983,050"
