Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.451614,0.455654,0.404856,0.411941,"112,810","9,779,270"
"Mar 28, 2018",0.467791,0.487899,0.447769,0.451054,"106,924","10,129,600"
"Mar 27, 2018",0.506088,0.507873,0.443593,0.470304,"328,300","10,963,900"
"Mar 26, 2018",0.565853,0.575714,0.461975,0.508047,"385,140","12,258,700"
"Mar 25, 2018",0.602797,0.620253,0.554561,0.564657,"371,366","13,052,000"
"Mar 24, 2018",0.527763,0.604020,0.527763,0.602415,"413,546","11,512,800"
"Mar 23, 2018",0.506106,0.534566,0.493341,0.522469,"93,675","11,040,300"
"Mar 22, 2018",0.525326,0.552402,0.486814,0.504481,"81,307","11,407,100"
"Mar 21, 2018",0.508407,0.591023,0.508407,0.527580,"96,693","11,039,700"
"Mar 20, 2018",0.614055,0.678216,0.506472,0.507109,"70,845","13,340,800"
"Mar 19, 2018",0.491330,0.598995,0.491330,0.596844,"120,029","10,674,500"
"Mar 18, 2018",0.574160,0.582370,0.423892,0.493976,"94,682","12,474,100"
"Mar 17, 2018",0.750351,0.750351,0.572958,0.575031,"112,504","16,302,000"
"Mar 16, 2018",0.763946,0.775438,0.725890,0.750545,"111,302","16,597,300"
"Mar 15, 2018",0.774428,0.778757,0.687829,0.764278,"153,668","16,825,100"
"Mar 14, 2018",0.847005,0.886529,0.751701,0.774327,"132,379","18,401,800"
"Mar 13, 2018",0.865455,0.900777,0.832802,0.846763,"179,928","18,802,700"
"Mar 12, 2018",0.869169,0.916637,0.844604,0.867188,"153,530",-
"Mar 11, 2018",0.845970,0.881190,0.808749,0.868641,"177,500",-
"Mar 10, 2018",0.895515,0.922884,0.843443,0.848859,"151,120",-
"Mar 09, 2018",0.885689,0.904673,0.797063,0.896372,"200,736",-
"Mar 08, 2018",0.940406,0.982954,0.874810,0.887971,"186,850",-
"Mar 07, 2018",1.09,1.10,0.906347,0.941421,"165,564",-
"Mar 06, 2018",1.18,1.18,1.06,1.09,"194,790",-
"Mar 05, 2018",1.19,1.20,1.14,1.18,"337,272",-
"Mar 04, 2018",1.15,1.19,1.12,1.19,"339,505",-
"Mar 03, 2018",1.17,1.19,1.07,1.16,"308,276",-
"Mar 02, 2018",1.21,1.22,1.10,1.17,"306,020",-
"Mar 01, 2018",1.21,1.22,1.17,1.21,"344,796",-
"Feb 28, 2018",1.26,1.28,1.20,1.21,"279,451",-
"Feb 27, 2018",1.26,1.30,1.23,1.26,"419,367",-
"Feb 26, 2018",1.22,1.36,1.19,1.25,"391,923",-
"Feb 25, 2018",1.25,1.28,1.17,1.22,"402,056",-
"Feb 24, 2018",1.32,1.36,1.16,1.25,"381,861",-
"Feb 23, 2018",1.23,1.32,1.19,1.32,"465,557",-
"Feb 22, 2018",1.36,1.38,1.19,1.23,"412,066",-
"Feb 21, 2018",1.43,1.43,1.25,1.36,"436,212",-
"Feb 20, 2018",1.47,1.54,1.43,1.43,"279,947",-
"Feb 19, 2018",1.33,1.52,1.31,1.47,"444,309",-
"Feb 18, 2018",1.49,1.54,1.23,1.34,"184,799",-
"Feb 17, 2018",1.55,1.60,1.47,1.48,"198,982",-
"Feb 16, 2018",1.49,1.58,1.46,1.55,"249,404",-
"Feb 15, 2018",1.43,1.54,1.39,1.49,"341,938",-
"Feb 14, 2018",1.43,1.44,1.32,1.44,"310,386",-
"Feb 13, 2018",1.43,1.47,1.35,1.43,"428,012",-
"Feb 12, 2018",1.32,1.51,1.32,1.43,"417,528",-
"Feb 11, 2018",1.43,1.45,1.32,1.32,"565,252",-
"Feb 10, 2018",1.46,1.63,1.38,1.43,"610,552",-
"Feb 09, 2018",1.43,1.54,1.36,1.46,"619,979",-
"Feb 08, 2018",1.30,1.47,1.28,1.44,"608,278",-
"Feb 07, 2018",1.36,1.48,1.21,1.31,"544,606",-
"Feb 06, 2018",1.12,1.37,0.953568,1.36,"563,004",-
"Feb 05, 2018",1.49,1.50,1.06,1.12,"435,222",-
"Feb 04, 2018",1.69,1.70,1.35,1.46,"371,061",-
"Feb 03, 2018",1.46,1.63,1.27,1.63,"370,679",-
"Feb 02, 2018",1.65,1.66,1.18,1.45,"498,528",-
"Feb 01, 2018",1.94,2.00,1.54,1.66,"602,874",-
"Jan 31, 2018",2.01,2.13,1.59,1.94,"943,108",-
"Jan 30, 2018",1.43,2.10,1.37,2.10,"990,579",-
"Jan 29, 2018",1.19,1.40,1.12,1.39,"737,263",-
"Jan 28, 2018",1.12,1.22,1.11,1.19,"368,507",-
"Jan 27, 2018",1.11,1.13,0.964715,1.11,"314,867",-
"Jan 26, 2018",1.11,1.21,1.03,1.11,"378,882",-
"Jan 25, 2018",1.08,1.23,1.06,1.11,"389,458",-
"Jan 24, 2018",1.12,1.19,1.01,1.07,"371,328",-
"Jan 23, 2018",1.14,1.16,0.970027,0.984637,"343,736",-
"Jan 22, 2018",1.17,1.25,1.05,1.15,"596,221",-
"Jan 21, 2018",1.38,1.38,1.01,1.19,"387,769",-
"Jan 20, 2018",1.13,1.37,1.10,1.37,"307,491",-
"Jan 19, 2018",1.09,1.20,0.941157,1.13,"417,160",-
"Jan 18, 2018",0.846384,1.17,0.835135,1.10,"502,264",-
"Jan 17, 2018",0.925247,1.06,0.731466,0.840738,"338,817",-
"Jan 16, 2018",1.20,1.20,0.805248,0.944466,"560,436",-
"Jan 15, 2018",1.15,1.27,1.09,1.20,"647,220",-
"Jan 14, 2018",1.27,1.30,1.05,1.12,"222,996",-
"Jan 13, 2018",1.24,1.31,1.09,1.27,"413,639",-
"Jan 12, 2018",1.17,1.26,1.15,1.25,"603,047",-
