Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.187889,0.187889,0.128481,0.164955,"14,959","12,368,400"
"Mar 05, 2018",0.174865,0.188378,0.149291,0.188328,"9,424","11,511,100"
"Mar 04, 2018",0.202195,0.202612,0.164282,0.174941,"4,102","13,310,100"
"Mar 03, 2018",0.191869,0.215300,0.180187,0.202497,"12,654","12,630,400"
"Mar 02, 2018",0.200826,0.203967,0.189495,0.192076,"4,601","13,220,000"
"Mar 01, 2018",0.176211,0.212670,0.172635,0.201146,"21,771","11,599,600"
"Feb 28, 2018",0.179106,0.207634,0.175984,0.176061,"10,108","11,790,200"
"Feb 27, 2018",0.173538,0.180749,0.159534,0.179235,"3,598","11,423,700"
"Feb 26, 2018",0.178144,0.187265,0.132565,0.173042,"5,688","11,726,900"
"Feb 25, 2018",0.158453,0.188377,0.151794,0.177971,"8,919","10,430,700"
"Feb 24, 2018",0.152018,0.190806,0.150704,0.158709,"8,324","10,007,100"
"Feb 23, 2018",0.160240,0.185888,0.149526,0.152167,"7,305","10,548,300"
"Feb 22, 2018",0.204700,0.212764,0.160420,0.160420,"17,090","13,475,000"
"Feb 21, 2018",0.186971,0.220873,0.173167,0.204963,"43,249","12,307,900"
"Feb 20, 2018",0.181723,0.201840,0.152231,0.187204,"5,313","11,962,500"
"Feb 19, 2018",0.165234,0.221216,0.165234,0.181570,"6,719","10,877,000"
"Feb 18, 2018",0.195017,0.207782,0.148179,0.165980,"4,382","12,837,600"
"Feb 17, 2018",0.203659,0.246296,0.193202,0.194763,"6,690","13,406,500"
"Feb 16, 2018",0.167567,0.204968,0.152175,0.203705,"7,627","11,030,600"
"Feb 15, 2018",0.180903,0.208162,0.144983,0.168217,"12,137","11,908,500"
"Feb 14, 2018",0.144292,0.181260,0.122817,0.180805,"8,144","9,498,460"
"Feb 13, 2018",0.146809,0.147477,0.114833,0.144723,"5,177","9,664,190"
"Feb 12, 2018",0.158074,0.166539,0.116145,0.146543,"3,254","10,405,700"
