Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",1.95,1.95,1.59,1.68,"259,875","11,691,900"
"Mar 05, 2018",2.02,2.03,1.95,1.96,"52,509","12,117,200"
"Mar 04, 2018",2.01,2.04,1.91,2.02,"152,242","12,065,800"
"Mar 03, 2018",2.00,2.04,1.97,2.01,"80,530","12,027,200"
"Mar 02, 2018",2.03,2.11,1.98,2.00,"51,301","12,197,400"
"Mar 01, 2018",1.94,2.07,1.93,2.04,"115,830","11,661,700"
"Feb 28, 2018",2.13,2.22,1.94,1.94,"157,860","12,753,100"
"Feb 27, 2018",2.15,2.22,2.09,2.13,"193,396","12,894,900"
"Feb 26, 2018",1.99,2.23,1.93,2.07,"207,222","11,914,100"
"Feb 25, 2018",1.85,2.06,1.85,1.99,"369,867","11,082,500"
"Feb 24, 2018",2.17,2.19,1.81,1.86,"510,509","13,003,100"
"Feb 23, 2018",1.96,2.21,1.82,2.14,"580,729","11,733,100"
"Feb 22, 2018",2.08,2.22,1.88,1.95,"367,026","12,469,000"
"Feb 21, 2018",2.43,2.51,2.06,2.08,"632,598","14,582,300"
"Feb 20, 2018",2.56,2.60,2.41,2.44,"407,133","15,344,400"
"Feb 19, 2018",2.41,2.60,2.38,2.56,"229,813","14,457,500"
"Feb 18, 2018",2.68,2.70,2.22,2.42,"494,552","16,084,000"
"Feb 17, 2018",2.44,2.70,2.43,2.68,"222,723","14,619,000"
"Feb 16, 2018",2.36,2.45,2.35,2.44,"177,385","14,179,200"
"Feb 15, 2018",2.32,2.44,2.30,2.37,"260,102","13,943,900"
"Feb 14, 2018",2.20,2.37,2.19,2.33,"181,202","13,185,300"
"Feb 13, 2018",2.26,2.26,2.15,2.20,"128,922","13,562,700"
"Feb 12, 2018",2.16,2.29,2.16,2.23,"143,171","12,960,200"
"Feb 11, 2018",2.36,2.37,2.03,2.16,"309,019","14,181,100"
"Feb 10, 2018",2.49,2.55,2.28,2.40,"336,204","14,955,300"
"Feb 09, 2018",2.46,2.56,2.32,2.49,"255,409","14,744,300"
"Feb 08, 2018",2.24,2.54,2.24,2.45,"320,668","13,414,200"
"Feb 07, 2018",2.35,2.68,2.24,2.24,"318,191","14,077,100"
"Feb 06, 2018",2.13,2.37,1.77,2.36,"671,834","12,780,000"
"Feb 05, 2018",2.56,2.70,1.91,2.05,"796,749","15,379,900"
"Feb 04, 2018",3.09,3.11,2.52,2.57,"440,760","18,522,700"
"Feb 03, 2018",2.45,3.10,2.31,3.09,"423,256","14,693,600"
"Feb 02, 2018",2.74,2.74,2.26,2.44,"860,016","16,465,900"
"Feb 01, 2018",3.03,3.10,2.54,2.75,"698,870","18,192,800"
"Jan 31, 2018",3.08,3.14,2.93,3.03,"444,581","18,464,600"
"Jan 30, 2018",3.90,3.93,2.96,3.09,"828,730","23,394,600"
"Jan 29, 2018",4.21,4.26,3.68,3.90,"857,061","25,258,800"
"Jan 28, 2018",4.53,4.62,4.06,4.21,"786,317","27,159,600"
"Jan 27, 2018",4.49,5.58,4.12,4.51,"3,587,020","26,964,900"
"Jan 26, 2018",3.49,8.31,3.32,4.26,"1,353,560","20,923,400"
"Jan 25, 2018",3.76,3.78,3.31,3.49,"495,191","22,536,400"
"Jan 24, 2018",3.55,4.00,3.53,3.73,"838,703","21,293,000"
"Jan 23, 2018",3.22,3.66,3.04,3.54,"680,141","19,309,200"
