Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.669639,0.714518,0.598997,0.714518,"19,346","10,824,000"
"Mar 22, 2018",0.777554,0.793611,0.659068,0.669779,"23,023","12,568,400"
"Mar 21, 2018",0.781510,0.924772,0.754096,0.782115,"54,639","12,632,100"
"Mar 20, 2018",0.743679,0.846519,0.667538,0.820062,"42,424","12,020,600"
"Mar 19, 2018",0.650003,0.784567,0.635802,0.736259,"24,911","10,616,400"
"Mar 18, 2018",0.719106,0.728439,0.602603,0.652705,"22,929","11,745,000"
"Mar 17, 2018",0.762378,0.798604,0.649199,0.720414,"22,974","12,451,800"
"Mar 16, 2018",0.809977,0.926018,0.700484,0.759269,"30,380","13,228,700"
"Mar 15, 2018",0.869608,0.897407,0.775716,0.810257,"31,245","14,202,600"
"Mar 14, 2018",0.867257,1.01,0.790795,0.869980,"36,432","14,164,200"
"Mar 13, 2018",0.946000,0.992580,0.861933,0.880161,"32,220","15,450,200"
"Mar 12, 2018",0.934878,1.23,0.893813,0.950961,"187,026","15,368,400"
"Mar 11, 2018",0.873309,1.02,0.811700,0.937720,"186,460","14,356,300"
"Mar 10, 2018",0.886209,0.944701,0.852759,0.876429,"107,028","14,568,300"
"Mar 09, 2018",0.904938,0.953346,0.746023,0.887147,"72,024","14,876,200"
"Mar 08, 2018",0.707902,1.12,0.677969,0.922635,"413,956","11,662,100"
"Mar 07, 2018",0.819020,0.949959,0.690903,0.729198,"445,775","13,532,200"
"Mar 06, 2018",0.848463,0.897573,0.761481,0.820061,"700,081","14,018,700"
"Mar 05, 2018",0.760702,0.896673,0.755126,0.850841,"962,038","12,582,000"
"Mar 04, 2018",0.705400,0.855670,0.668915,0.762652,"919,828","11,667,400"
"Mar 03, 2018",0.672914,0.783646,0.672135,0.706606,"1,254,980","11,130,500"
"Mar 02, 2018",0.556254,0.745584,0.545554,0.673793,"1,709,880","9,200,870"
"Mar 01, 2018",0.590043,0.628034,0.534103,0.555080,"2,553,270","9,759,760"
"Feb 28, 2018",0.584250,0.690003,0.533086,0.588802,"1,873,600","9,663,950"
"Feb 27, 2018",0.653892,0.684267,0.573263,0.603438,"2,103,010","10,815,900"
"Feb 26, 2018",0.582845,0.681690,0.568723,0.652008,"3,319,030","9,626,700"
"Feb 25, 2018",0.616784,0.625975,0.539606,0.582122,"2,018,830","10,187,300"
"Feb 24, 2018",0.731624,0.776586,0.576192,0.617775,"1,052,420","12,084,000"
"Feb 23, 2018",0.599260,0.764240,0.581818,0.763247,"1,600,010","9,897,830"
"Feb 22, 2018",0.637926,0.677801,0.561558,0.600529,"959,508","10,536,500"
