Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.375588,0.375588,0.334184,0.338273,"3,151,660","375,588,000"
"Mar 05, 2018",0.376595,0.391938,0.374227,0.375513,"4,017,680","376,595,000"
"Mar 04, 2018",0.378781,0.379706,0.367716,0.376859,"3,257,860","378,781,000"
"Mar 03, 2018",0.404781,0.406489,0.373031,0.379234,"5,018,260","404,781,000"
"Mar 02, 2018",0.373657,0.418654,0.369649,0.405679,"13,092,800","373,657,000"
"Mar 01, 2018",0.339976,0.403773,0.328186,0.374938,"11,112,000","339,976,000"
"Feb 28, 2018",0.364864,0.374405,0.339458,0.340086,"3,183,110","364,864,000"
"Feb 27, 2018",0.366952,0.378358,0.358892,0.365449,"3,505,340","366,952,000"
"Feb 26, 2018",0.356728,0.371857,0.349295,0.365594,"2,650,280","356,728,000"
"Feb 25, 2018",0.338516,0.378488,0.338516,0.356711,"5,791,560","338,516,000"
"Feb 24, 2018",0.357943,0.364518,0.332954,0.339745,"3,452,860","357,943,000"
"Feb 23, 2018",0.341099,0.365211,0.334707,0.359387,"2,803,740","341,099,000"
"Feb 22, 2018",0.363656,0.377960,0.336697,0.341856,"3,569,820","363,656,000"
"Feb 21, 2018",0.391426,0.405547,0.362684,0.363677,"4,339,370","391,426,000"
"Feb 20, 2018",0.426294,0.439669,0.388404,0.391724,"5,555,850","426,294,000"
"Feb 19, 2018",0.422276,0.437537,0.410763,0.425791,"4,354,620","422,276,000"
"Feb 18, 2018",0.481088,0.481088,0.415468,0.424600,"4,917,400","481,088,000"
"Feb 17, 2018",0.436889,0.481932,0.432206,0.479139,"5,396,170","436,889,000"
"Feb 16, 2018",0.413734,0.441928,0.412514,0.435563,"4,964,520","413,734,000"
"Feb 15, 2018",0.394789,0.428994,0.394391,0.414574,"5,466,000","394,789,000"
"Feb 14, 2018",0.347633,0.402257,0.346107,0.395896,"4,580,830","347,633,000"
"Feb 13, 2018",0.380143,0.381604,0.340399,0.347663,"3,333,760","380,143,000"
"Feb 12, 2018",0.335346,0.388829,0.335346,0.380451,"3,689,740","335,346,000"
"Feb 11, 2018",0.360629,0.360629,0.322070,0.333647,"2,814,260","360,629,000"
"Feb 10, 2018",0.387290,0.407441,0.343835,0.361326,"4,431,120","387,290,000"
"Feb 09, 2018",0.374397,0.398851,0.355634,0.387052,"4,454,490","374,397,000"
"Feb 08, 2018",0.340409,0.393811,0.340409,0.372876,"5,728,650","340,409,000"
"Feb 07, 2018",0.356010,0.383495,0.318011,0.340785,"7,712,480","356,010,000"
"Feb 06, 2018",0.295635,0.386630,0.231117,0.357246,"9,245,340","295,635,000"
"Feb 05, 2018",0.381815,0.389144,0.280792,0.295087,"7,563,880","381,815,000"
"Feb 04, 2018",0.447139,0.460013,0.356754,0.385504,"8,016,560","447,139,000"
"Feb 03, 2018",0.418332,0.466030,0.383645,0.448572,"8,570,000","418,332,000"
"Feb 02, 2018",0.461756,0.461756,0.326891,0.416206,"7,016,480","461,756,000"
"Feb 01, 2018",0.519383,0.530553,0.422669,0.462054,"13,799,300","519,383,000"
"Jan 31, 2018",0.509461,0.528765,0.482229,0.517065,"17,508,700","509,461,000"
"Jan 30, 2018",0.607354,0.608368,0.507159,0.509349,"16,844,700","607,354,000"
"Jan 29, 2018",0.647782,0.657008,0.593307,0.607161,"19,974,100","647,782,000"
"Jan 28, 2018",0.661919,0.661919,0.617460,0.650049,"25,628,900","661,919,000"
"Jan 27, 2018",0.558062,0.664915,0.549425,0.662215,"30,672,200","558,062,000"
"Jan 26, 2018",0.554540,0.563009,0.497166,0.558874,"16,465,300","554,540,000"
"Jan 25, 2018",0.550764,0.568472,0.540225,0.555015,"19,994,100","550,764,000"
"Jan 24, 2018",0.576263,0.621625,0.527145,0.543128,"35,591,900","576,263,000"
"Jan 23, 2018",0.514352,0.578114,0.472210,0.578114,"17,113,700","514,352,000"
"Jan 22, 2018",0.559888,0.574660,0.463517,0.511591,"16,621,400","559,888,000"
"Jan 21, 2018",0.653467,0.653467,0.522816,0.555487,"10,269,600","653,467,000"
"Jan 20, 2018",0.598119,0.676622,0.597418,0.652433,"14,603,300","598,119,000"
"Jan 19, 2018",0.586826,0.633686,0.557670,0.593371,"18,967,600","586,826,000"
"Jan 18, 2018",0.593239,0.660370,0.567425,0.591967,"33,982,500","593,239,000"
"Jan 17, 2018",0.480423,0.588240,0.350937,0.588240,"26,334,000","480,423,000"
"Jan 16, 2018",0.691414,0.691414,0.366936,0.483813,"27,355,600","691,414,000"
"Jan 15, 2018",0.660657,0.729438,0.610609,0.689569,"28,859,800","660,657,000"
"Jan 14, 2018",0.765929,0.765929,0.640277,0.662359,"26,944,900","765,929,000"
"Jan 13, 2018",0.743016,0.790479,0.734059,0.763973,"29,202,700","743,017,000"
"Jan 12, 2018",0.666512,0.768036,0.635554,0.742050,"32,465,900","666,512,000"
"Jan 11, 2018",0.800209,0.800209,0.620202,0.653207,"34,119,300","800,209,000"
"Jan 10, 2018",0.896923,0.896923,0.737879,0.802175,"48,395,100","896,923,000"
"Jan 09, 2018",0.853708,0.980702,0.816096,0.891962,"86,957,600","853,708,000"
"Jan 08, 2018",0.760422,0.923245,0.587154,0.848184,"71,550,600","760,422,000"
"Jan 07, 2018",0.662447,0.841514,0.662447,0.758233,"78,834,400","662,447,000"
"Jan 06, 2018",0.556086,0.749462,0.553080,0.663905,"51,922,100","556,086,000"
"Jan 05, 2018",0.624230,0.663463,0.524550,0.552881,"46,643,000","624,230,000"
"Jan 04, 2018",0.645153,0.684671,0.605694,0.634125,"49,913,400","645,153,000"
"Jan 03, 2018",0.565701,0.677083,0.512517,0.651219,"53,393,700","565,701,000"
"Jan 02, 2018",0.473987,0.628335,0.473987,0.563300,"61,507,700","473,987,000"
"Jan 01, 2018",0.413187,0.492197,0.391297,0.475599,"23,566,200","413,187,000"
"Dec 31, 2017",0.350872,0.432559,0.346350,0.412203,"18,495,600","350,871,000"
"Dec 30, 2017",0.379237,0.379237,0.322974,0.353930,"14,934,100","379,237,000"
"Dec 29, 2017",0.384596,0.402610,0.358923,0.381674,"13,222,900","384,596,000"
"Dec 28, 2017",0.404520,0.404520,0.330953,0.381722,"16,323,400","404,520,000"
"Dec 27, 2017",0.407426,0.453465,0.380762,0.406465,"27,499,600","407,426,000"
"Dec 26, 2017",0.389784,0.450194,0.340387,0.404879,"22,083,600","389,784,000"
"Dec 25, 2017",0.373529,0.461718,0.354356,0.390715,"27,227,000","373,529,000"
"Dec 24, 2017",0.331396,0.373256,0.287734,0.373256,"9,932,210","331,396,000"
"Dec 23, 2017",0.304869,0.363694,0.304869,0.327864,"9,969,610","304,869,000"
"Dec 22, 2017",0.371063,0.374780,0.219856,0.302083,"13,553,800","371,063,000"
"Dec 21, 2017",0.378768,0.412889,0.351044,0.370376,"21,032,000","378,768,000"
"Dec 20, 2017",0.376195,0.377025,0.320021,0.376895,"16,978,500","376,195,000"
"Dec 19, 2017",0.395110,0.417235,0.358429,0.375701,"21,628,900","395,110,000"
"Dec 18, 2017",0.312227,0.436940,0.309387,0.395567,"32,789,600","312,227,000"
"Dec 17, 2017",0.270604,0.351926,0.269124,0.311358,"25,909,600","270,604,000"
"Dec 16, 2017",0.237600,0.271318,0.237299,0.270852,"12,336,400","237,600,000"
"Dec 15, 2017",0.240416,0.243402,0.212466,0.235625,"9,697,550","240,416,000"
"Dec 14, 2017",0.237202,0.248894,0.224380,0.240201,"13,308,900","237,202,000"
"Dec 13, 2017",0.245033,0.254383,0.223079,0.238908,"11,660,800","245,033,000"
"Dec 12, 2017",0.213106,0.272181,0.203490,0.245799,"30,706,800","213,106,000"
"Dec 11, 2017",0.175378,0.235737,0.174918,0.210838,"14,784,600","175,378,000"
"Dec 10, 2017",0.184967,0.184967,0.155022,0.175097,"4,934,790","184,967,000"
"Dec 09, 2017",0.185408,0.199520,0.174940,0.185353,"4,858,860","185,408,000"
"Dec 08, 2017",0.174933,0.189441,0.169128,0.186056,"5,905,930","174,933,000"
"Dec 07, 2017",0.204538,0.209080,0.168851,0.173906,"8,750,000","204,538,000"
"Dec 06, 2017",0.224128,0.227733,0.193441,0.206024,"10,626,800","224,128,000"
"Dec 05, 2017",0.192188,0.226835,0.187000,0.224739,"9,751,950","192,188,000"
"Dec 04, 2017",0.170007,0.204616,0.169102,0.192440,"7,164,930","170,007,000"
"Dec 03, 2017",0.170160,0.179702,0.160182,0.170244,"3,795,080","170,160,000"
"Dec 02, 2017",0.177254,0.177254,0.167340,0.169221,"3,125,470","177,254,000"
"Dec 01, 2017",0.159462,0.178800,0.154044,0.176916,"3,118,700","159,462,000"
"Nov 30, 2017",0.155341,0.174726,0.140673,0.159573,"3,391,230","155,341,000"
"Nov 29, 2017",0.195337,0.206646,0.149889,0.151431,"5,918,270","195,337,000"
"Nov 28, 2017",0.186629,0.195637,0.185511,0.195462,"4,521,830","186,629,000"
"Nov 27, 2017",0.179267,0.188937,0.176520,0.186623,"4,168,600","179,267,000"
"Nov 26, 2017",0.166252,0.179395,0.165484,0.179284,"4,057,580","166,252,000"
"Nov 25, 2017",0.160128,0.165884,0.155781,0.165884,"3,787,990","160,128,000"
"Nov 24, 2017",0.158582,0.161391,0.154530,0.160319,"3,428,690","158,582,000"
"Nov 23, 2017",0.166951,0.167897,0.157045,0.158281,"3,089,820","166,951,000"
"Nov 22, 2017",0.154814,0.167832,0.154544,0.167282,"3,086,240","154,814,000"
"Nov 21, 2017",0.157763,0.166981,0.152876,0.154690,"2,777,640","157,763,000"
"Nov 20, 2017",0.159930,0.163229,0.156410,0.157709,"2,961,210","159,930,000"
"Nov 19, 2017",0.163459,0.164833,0.158315,0.161358,"2,455,030","163,459,000"
"Nov 18, 2017",0.161460,0.165633,0.155645,0.162501,"3,096,680","161,460,000"
"Nov 17, 2017",0.166421,0.180135,0.155159,0.160654,"5,317,800","166,421,000"
"Nov 16, 2017",0.144264,0.172310,0.139390,0.167167,"6,494,270","144,264,000"
"Nov 15, 2017",0.145754,0.149775,0.138325,0.143508,"2,425,150","145,754,000"
"Nov 14, 2017",0.144157,0.150544,0.135131,0.147691,"2,805,450","144,157,000"
"Nov 13, 2017",0.124678,0.151925,0.123785,0.143450,"2,146,280","124,678,000"
"Nov 12, 2017",0.138002,0.138002,0.115952,0.124914,"1,549,930","138,002,000"
"Nov 11, 2017",0.139728,0.145600,0.130550,0.137147,"1,274,050","139,728,000"
"Nov 10, 2017",0.160076,0.161125,0.134577,0.139639,"1,616,760","160,076,000"
"Nov 09, 2017",0.149664,0.166868,0.149175,0.160317,"2,266,610","149,664,000"
"Nov 08, 2017",0.141745,0.155962,0.140031,0.149248,"2,300,740","141,745,000"
"Nov 07, 2017",0.138018,0.145746,0.138010,0.141934,"1,175,570","138,018,000"
"Nov 06, 2017",0.141019,0.142481,0.135678,0.137831,"1,565,290","141,019,000"
"Nov 05, 2017",0.141324,0.144884,0.138791,0.140744,"1,166,850","141,324,000"
"Nov 04, 2017",0.146493,0.146493,0.137842,0.141719,"1,581,930","146,493,000"
"Nov 03, 2017",0.163697,0.166195,0.127327,0.146845,"3,418,640","163,697,000"
"Nov 02, 2017",0.139612,0.173177,0.127822,0.166955,"5,297,190","139,612,000"
"Nov 01, 2017",0.153747,0.160958,0.137936,0.138513,"2,628,910","153,747,000"
"Oct 31, 2017",0.146643,0.167168,0.145623,0.154904,"3,375,320","146,643,000"
"Oct 30, 2017",0.146109,0.150053,0.142668,0.146813,"1,245,900","146,109,000"
"Oct 29, 2017",0.155104,0.157035,0.143382,0.145832,"2,217,180","155,104,000"
"Oct 28, 2017",0.143486,0.157107,0.141414,0.155709,"2,032,030","143,486,000"
