Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",0.209019,0.219488,0.195724,0.204156,"37,217","8,805,850"
"Mar 11, 2018",0.226102,0.240727,0.194877,0.209547,"119,095","9,525,550"
"Mar 10, 2018",0.188094,0.718621,0.181776,0.226730,"228,699","7,924,290"
"Mar 09, 2018",0.209256,0.214781,0.164595,0.188106,"38,799","8,815,830"
"Mar 08, 2018",0.171000,0.253211,0.145137,0.210130,"149,833","7,204,140"
"Mar 07, 2018",0.183225,0.185242,0.154972,0.171223,"29,111","7,719,150"
"Mar 06, 2018",0.226473,0.238757,0.175763,0.183287,"20,404","12,826,200"
"Mar 05, 2018",0.250039,0.256606,0.200773,0.226564,"36,670",-
"Mar 04, 2018",0.235890,0.250128,0.224393,0.248777,"28,192",-
"Mar 03, 2018",0.222032,0.255571,0.202925,0.236107,"38,148",-
"Mar 02, 2018",0.282008,0.292000,0.218195,0.221140,"49,583",-
"Mar 01, 2018",0.157848,0.313484,0.157745,0.277588,"281,984",-
