Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.22,1.22,1.15,1.22,"6,807","10,316,200"
"Mar 22, 2018",1.22,1.29,1.18,1.22,"33,322","10,276,400"
"Mar 21, 2018",1.22,1.29,1.20,1.22,"12,750","10,286,100"
"Mar 20, 2018",1.17,1.27,1.13,1.22,"19,113","9,798,660"
"Mar 19, 2018",1.06,1.27,1.05,1.19,"20,384","8,862,710"
"Mar 18, 2018",1.11,1.25,0.961303,1.06,"30,888","9,324,000"
"Mar 17, 2018",1.10,1.35,1.04,1.12,"29,971","9,194,310"
"Mar 16, 2018",1.07,1.27,0.976314,1.10,"36,822","8,941,160"
"Mar 15, 2018",1.13,1.19,0.991323,1.07,"42,739","9,398,930"
"Mar 14, 2018",1.30,1.38,1.12,1.13,"25,648","10,773,600"
"Mar 13, 2018",1.28,1.36,1.22,1.30,"24,059","10,590,000"
"Mar 12, 2018",1.46,1.49,1.21,1.29,"21,187","12,057,300"
"Mar 11, 2018",1.37,1.55,1.30,1.47,"18,681","11,245,200"
"Mar 10, 2018",1.49,1.70,1.35,1.37,"37,235","12,246,100"
"Mar 09, 2018",1.47,1.51,1.26,1.37,"27,557","12,004,200"
"Mar 08, 2018",1.77,1.78,1.47,1.48,"12,943","14,407,700"
"Mar 07, 2018",1.71,1.97,1.51,1.77,"74,759","13,936,700"
"Mar 06, 2018",1.89,1.89,1.38,1.71,"90,706","15,338,300"
"Mar 05, 2018",2.07,2.07,1.86,1.90,"38,564","16,739,200"
"Mar 04, 2018",1.97,2.07,1.74,2.07,"63,892","15,871,300"
"Mar 03, 2018",2.01,2.13,1.95,1.97,"45,891","16,171,600"
"Mar 02, 2018",2.00,2.17,1.90,2.01,"43,259","16,059,400"
"Mar 01, 2018",1.73,2.16,1.72,2.01,"53,861","13,875,300"
"Feb 28, 2018",1.92,2.28,1.73,1.73,"53,664","15,329,600"
"Feb 27, 2018",2.01,2.04,1.86,1.92,"49,659","16,006,100"
"Feb 26, 2018",1.97,2.13,1.68,2.01,"109,921","15,608,100"
"Feb 25, 2018",2.33,2.34,1.84,1.96,"54,837","18,369,600"
"Feb 24, 2018",2.47,2.53,2.18,2.28,"28,685","19,478,200"
"Feb 23, 2018",2.12,2.69,2.08,2.48,"50,059","16,626,400"
"Feb 22, 2018",1.98,2.25,1.88,2.12,"80,768","15,519,300"
