Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.044289,0.044975,0.040010,0.042161,"510,476","44,735,300"
"Mar 22, 2018",0.045599,0.046995,0.042358,0.044290,"373,363","46,058,200"
"Mar 21, 2018",0.047103,0.049253,0.045019,0.045681,"398,502","47,577,500"
"Mar 20, 2018",0.045525,0.047460,0.041822,0.046609,"486,474","45,983,300"
"Mar 19, 2018",0.043324,0.045270,0.040646,0.044761,"429,917","43,760,400"
"Mar 18, 2018",0.044723,0.044723,0.037595,0.043507,"289,428","45,173,500"
"Mar 17, 2018",0.047730,0.052346,0.042751,0.045303,"664,852","48,211,300"
"Mar 16, 2018",0.047796,0.048485,0.044452,0.047603,"222,020","48,277,500"
"Mar 15, 2018",0.049733,0.050127,0.043650,0.047865,"449,870","50,233,900"
"Mar 14, 2018",0.056952,0.057602,0.048531,0.049836,"308,410","57,525,800"
"Mar 13, 2018",0.056260,0.058489,0.053910,0.057342,"267,054","56,826,800"
"Mar 12, 2018",0.058698,0.075701,0.054008,0.055948,"413,561","59,289,900"
"Mar 11, 2018",0.053792,0.060351,0.051726,0.058884,"246,871","54,334,500"
"Mar 10, 2018",0.057781,0.061496,0.053271,0.053928,"460,112","58,363,400"
"Mar 09, 2018",0.060593,0.066518,0.052191,0.057911,"843,047","61,203,900"
"Mar 08, 2018",0.063408,0.066821,0.059248,0.061259,"928,750","64,046,900"
"Mar 07, 2018",0.071712,0.072633,0.056191,0.062926,"1,100,630","72,434,600"
"Mar 06, 2018",0.078577,0.080118,0.069701,0.071924,"1,075,160","79,369,200"
"Mar 05, 2018",0.083757,0.083757,0.074269,0.078795,"964,106","84,601,300"
"Mar 04, 2018",0.085613,0.085629,0.076305,0.084225,"734,724","86,475,900"
"Mar 03, 2018",0.086309,0.089285,0.080904,0.085947,"1,625,180","87,178,400"
"Mar 02, 2018",0.076285,0.092580,0.073419,0.090232,"8,146,870","77,054,000"
"Mar 01, 2018",0.071467,0.091699,0.065359,0.077027,"5,842,090","72,186,800"
"Feb 28, 2018",0.067253,0.078634,0.064840,0.070772,"4,423,550","67,931,100"
"Feb 27, 2018",0.062562,0.068706,0.061776,0.066858,"565,010","63,192,100"
"Feb 26, 2018",0.060877,0.064038,0.058850,0.062397,"337,967","61,490,400"
"Feb 25, 2018",0.059208,0.062026,0.057081,0.060799,"436,359","59,804,600"
"Feb 24, 2018",0.063305,0.066335,0.057872,0.059298,"314,917","63,942,800"
"Feb 23, 2018",0.060245,0.066892,0.057422,0.063385,"471,022","60,851,500"
"Feb 22, 2018",0.064078,0.071130,0.057013,0.061474,"1,077,970","64,721,700"
