Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.025719,0.030666,0.025085,0.027490,"2,419,670","12,895,400"
"Mar 24, 2018",0.025840,0.027969,0.025091,0.026055,"1,497,720","12,956,200"
"Mar 23, 2018",0.021520,0.029120,0.020475,0.025652,"3,233,970","10,790,000"
"Mar 22, 2018",0.021901,0.023391,0.020791,0.021522,"2,952,660","10,980,900"
"Mar 21, 2018",0.021548,0.024185,0.021476,0.022221,"2,539,420","10,803,800"
"Mar 20, 2018",0.020649,0.022112,0.020155,0.021541,"304,925","10,353,200"
"Mar 19, 2018",0.022383,0.023268,0.019847,0.020441,"670,890","11,222,800"
"Mar 18, 2018",0.023830,0.024302,0.018535,0.022573,"694,517","11,948,000"
"Mar 17, 2018",0.026013,0.026614,0.023483,0.023864,"596,743","13,042,600"
"Mar 16, 2018",0.026260,0.027527,0.024690,0.025857,"642,187","13,166,600"
"Mar 15, 2018",0.026614,0.026860,0.024034,0.026280,"380,587","13,344,200"
"Mar 14, 2018",0.030023,0.031105,0.025944,0.026550,"808,428","15,053,600"
"Mar 13, 2018",0.030137,0.031588,0.028512,0.029918,"1,351,350","15,110,400"
"Mar 12, 2018",0.031294,0.033696,0.028783,0.030400,"1,742,150","15,690,600"
"Mar 11, 2018",0.026719,0.032200,0.025979,0.031377,"1,179,920","13,396,500"
"Mar 10, 2018",0.026489,0.031107,0.025879,0.026868,"1,684,530","13,281,400"
"Mar 09, 2018",0.025441,0.027969,0.022772,0.026758,"1,308,100","12,755,800"
"Mar 08, 2018",0.030180,0.031903,0.023385,0.025476,"1,257,780","15,132,100"
"Mar 07, 2018",0.038769,0.039083,0.029662,0.030321,"1,266,730","19,438,600"
"Mar 06, 2018",0.042569,0.042569,0.037579,0.038658,"1,312,400","21,343,700"
"Mar 05, 2018",0.044629,0.046096,0.041376,0.042644,"1,532,900","22,376,600"
"Mar 04, 2018",0.044962,0.045935,0.041937,0.044820,"1,446,830","22,543,500"
"Mar 03, 2018",0.044809,0.045880,0.044519,0.045485,"2,099,160","22,466,900"
"Mar 02, 2018",0.044709,0.047753,0.044434,0.044855,"1,770,580","22,417,100"
"Mar 01, 2018",0.043626,0.047977,0.043416,0.044493,"2,085,190","21,873,800"
"Feb 28, 2018",0.043593,0.047003,0.042602,0.043797,"1,332,420","21,857,400"
"Feb 27, 2018",0.039431,0.046210,0.037681,0.043621,"1,544,820","19,770,500"
"Feb 26, 2018",0.041450,0.044401,0.038899,0.039441,"1,260,970","20,782,800"
"Feb 25, 2018",0.044160,0.045239,0.041310,0.041437,"1,020,980","22,141,600"
"Feb 24, 2018",0.046415,0.047852,0.042288,0.044294,"1,290,340","23,272,100"
"Feb 23, 2018",0.044391,0.048016,0.043539,0.046208,"1,050,070","22,257,500"
"Feb 22, 2018",0.047063,0.049164,0.042831,0.044474,"1,268,240","23,597,000"
"Feb 21, 2018",0.056016,0.056016,0.045380,0.047217,"1,254,260","28,086,300"
"Feb 20, 2018",0.061369,0.066653,0.051539,0.056534,"1,072,350","30,769,900"
"Feb 19, 2018",0.063689,0.068715,0.059419,0.060557,"1,197,760","31,933,300"
"Feb 18, 2018",0.068443,0.070246,0.062039,0.063727,"620,354","34,317,000"
"Feb 17, 2018",0.064708,0.068357,0.063868,0.068190,"371,978","32,444,200"
"Feb 16, 2018",0.060683,0.066354,0.059742,0.064744,"839,965","30,425,900"
"Feb 15, 2018",0.059427,0.062807,0.058399,0.060668,"467,084","29,796,300"
"Feb 14, 2018",0.053314,0.063722,0.053314,0.059454,"523,076","26,731,400"
"Feb 13, 2018",0.057885,0.058278,0.053167,0.053360,"711,422","29,023,100"
"Feb 12, 2018",0.050799,0.058479,0.050799,0.057818,"695,775","25,470,400"
"Feb 11, 2018",0.057550,0.057550,0.050161,0.051179,"369,330","28,855,400"
"Feb 10, 2018",0.051394,0.057879,0.051094,0.057605,"963,066","25,768,700"
"Feb 09, 2018",0.057063,0.064424,0.049724,0.051287,"465,369","28,610,900"
"Feb 08, 2018",0.046803,0.060684,0.045856,0.057036,"764,488","23,466,800"
"Feb 07, 2018",0.050196,0.054744,0.044202,0.046838,"308,626","25,168,100"
"Feb 06, 2018",0.046839,0.052562,0.039719,0.050479,"344,950","23,484,800"
