Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",2.23,2.32,2.09,2.21,"2,128,130","341,307,000"
"Mar 29, 2018",2.62,2.65,2.22,2.24,"2,478,630","400,596,000"
"Mar 28, 2018",2.54,2.66,2.49,2.64,"1,711,720","388,249,000"
"Mar 27, 2018",2.66,2.77,2.52,2.55,"2,798,750","406,420,000"
"Mar 26, 2018",2.70,2.83,2.44,2.68,"9,595,740","412,511,000"
"Mar 25, 2018",2.80,2.83,2.58,2.71,"2,694,490",-
"Mar 24, 2018",2.90,3.01,2.80,2.82,"3,594,230",-
"Mar 23, 2018",2.98,3.00,2.68,2.86,"2,853,170",-
"Mar 22, 2018",3.13,3.18,2.65,2.97,"4,731,350",-
"Mar 21, 2018",2.71,3.44,2.66,3.09,"10,464,000",-
"Mar 20, 2018",2.59,2.97,2.49,2.71,"3,055,200",-
"Mar 19, 2018",2.31,2.65,2.31,2.55,"3,167,180",-
"Mar 18, 2018",3.01,3.01,1.97,2.32,"6,620,660",-
"Mar 17, 2018",2.93,3.24,2.89,3.00,"4,567,900",-
"Mar 16, 2018",2.99,3.18,2.82,2.99,"4,550,200",-
"Mar 15, 2018",3.28,3.32,2.91,2.98,"15,876,800",-
"Mar 14, 2018",3.98,4.06,3.25,3.26,"2,109,530",-
"Mar 13, 2018",3.87,4.07,3.79,3.98,"2,079,760",-
"Mar 12, 2018",3.94,4.05,3.68,3.88,"3,236,790",-
"Mar 11, 2018",3.79,4.04,3.63,3.95,"2,905,510",-
"Mar 10, 2018",3.97,4.24,3.75,3.81,"3,850,480",-
"Mar 09, 2018",4.24,4.29,3.63,3.89,"10,381,700",-
"Mar 08, 2018",4.67,4.79,4.09,4.24,"10,135,900",-
"Mar 07, 2018",5.69,5.82,4.54,4.67,"11,110,500",-
"Mar 06, 2018",6.42,6.51,5.54,5.71,"51,648,900",-
"Mar 05, 2018",5.39,6.42,5.25,6.42,"43,129,800",-
"Mar 04, 2018",5.90,5.90,5.17,5.39,"7,896,470",-
"Mar 03, 2018",6.11,6.26,5.82,5.92,"5,544,040",-
"Mar 02, 2018",6.17,6.34,5.98,6.11,"5,708,930",-
"Mar 01, 2018",6.38,6.47,6.05,6.17,"5,355,800",-
"Feb 28, 2018",20.89,20.89,5.89,6.39,"5,089,990",-
"Feb 27, 2018",30.32,30.47,18.76,20.75,"4,595,930",-
"Feb 26, 2018",18.18,31.17,18.08,30.30,"7,125,380",-
"Feb 25, 2018",16.59,18.24,16.19,17.94,"5,484,290",-
"Feb 24, 2018",23.59,24.42,16.59,16.59,"5,406,580",-
"Feb 23, 2018",17.18,23.71,16.56,23.64,"5,286,740",-
"Feb 22, 2018",19.18,20.99,17.04,17.04,"6,214,440",-
"Feb 21, 2018",35.80,36.40,17.19,19.12,"7,555,300",-
"Feb 20, 2018",44.09,45.12,35.24,35.63,"4,843,440",-
"Feb 19, 2018",43.97,47.95,41.44,44.03,"8,062,390",-
"Feb 18, 2018",41.97,52.32,36.54,44.26,"21,889,100",-
"Feb 17, 2018",41.38,42.46,39.17,41.93,"4,185,940",-
"Feb 16, 2018",20.29,41.49,20.17,41.38,"6,343,220",-
"Feb 15, 2018",22.05,22.05,18.86,20.36,"7,722,980",-
"Feb 14, 2018",17.06,27.82,17.06,21.90,"7,119,210",-
"Feb 13, 2018",21.87,21.87,14.77,17.02,"7,291,170",-
"Feb 12, 2018",19.95,23.47,19.79,21.77,"6,176,850",-
"Feb 11, 2018",35.71,35.71,19.65,19.65,"5,443,650",-
"Feb 10, 2018",31.43,43.11,31.43,35.76,"5,189,620",-
