Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",61.85,62.01,57.93,60.27,"25,689,800","1,045,030,000"
"Mar 22, 2018",65.35,67.28,59.24,61.89,"25,006,000","1,104,110,000"
"Mar 21, 2018",66.36,68.67,64.47,66.03,"32,135,500","1,120,950,000"
"Mar 20, 2018",68.39,69.52,61.94,66.19,"42,417,800","1,155,150,000"
"Mar 19, 2018",59.83,69.32,58.56,68.43,"42,187,500","1,010,310,000"
"Mar 18, 2018",58.61,59.89,52.54,59.45,"26,012,900","989,679,000"
"Mar 17, 2018",63.20,66.28,58.36,58.97,"15,795,900","1,067,120,000"
"Mar 16, 2018",66.25,68.34,62.44,63.15,"28,649,700","1,118,530,000"
"Mar 15, 2018",68.53,68.86,62.87,66.20,"31,260,500","1,156,830,000"
"Mar 14, 2018",79.10,80.25,66.88,68.64,"23,511,600","1,335,080,000"
"Mar 13, 2018",79.72,80.94,77.66,79.15,"17,303,400","1,345,500,000"
"Mar 12, 2018",84.67,86.44,77.84,80.07,"16,334,300","1,428,880,000"
"Mar 11, 2018",81.08,85.71,78.70,84.71,"18,510,800","1,368,070,000"
"Mar 10, 2018",85.72,87.81,80.46,81.38,"19,514,900","1,446,160,000"
"Mar 09, 2018",86.96,87.73,77.02,85.73,"27,151,600","1,466,930,000"
"Mar 08, 2018",91.50,94.00,86.44,87.27,"22,878,700","1,543,260,000"
"Mar 07, 2018",103.09,104.19,88.62,91.60,"28,628,100","1,738,570,000"
"Mar 06, 2018",110.76,110.76,101.79,103.13,"25,065,500","1,867,670,000"
"Mar 05, 2018",113.06,113.19,109.57,111.03,"22,328,900","1,906,270,000"
"Mar 04, 2018",111.65,113.08,108.75,113.08,"19,616,800","1,882,260,000"
"Mar 03, 2018",111.61,113.93,110.34,111.75,"19,943,900","1,881,290,000"
"Mar 02, 2018",113.57,115.10,110.33,111.68,"30,317,000","1,914,130,000"
"Mar 01, 2018",113.07,118.99,111.58,113.58,"26,936,600","1,905,440,000"
"Feb 28, 2018",120.36,121.95,113.00,113.18,"21,112,300","2,028,150,000"
"Feb 27, 2018",119.85,124.55,118.57,121.31,"36,913,200","2,019,350,000"
"Feb 26, 2018",115.21,120.36,112.87,119.82,"24,567,900","1,940,900,000"
"Feb 25, 2018",117.83,120.42,111.60,114.90,"19,969,000","1,984,790,000"
"Feb 24, 2018",123.89,126.78,115.43,118.03,"24,640,700","2,086,510,000"
"Feb 23, 2018",118.70,126.05,118.52,124.31,"46,248,700","1,999,050,000"
"Feb 22, 2018",123.28,128.36,113.13,119.73,"42,122,500","2,075,830,000"
