Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",85.86,118.60,82.26,115.91,"152,082","110,664,000"
"Mar 22, 2018",81.40,86.11,72.54,85.86,"242,629","104,914,000"
"Mar 21, 2018",124.32,124.82,80.95,81.49,"210,208","160,234,000"
"Mar 20, 2018",75.49,126.05,73.29,124.23,"159,217","97,298,100"
"Mar 19, 2018",69.16,75.02,68.55,74.96,"212,264","89,139,100"
"Mar 18, 2018",72.02,72.02,65.34,69.30,"131,928","92,828,500"
"Mar 17, 2018",77.40,77.40,71.39,72.12,"125,276","99,754,000"
"Mar 16, 2018",75.60,78.78,74.01,77.36,"118,404","97,440,600"
"Mar 15, 2018",76.62,77.47,74.10,75.63,"113,420","98,747,400"
"Mar 14, 2018",83.49,84.04,75.95,76.65,"66,045","107,607,000"
"Mar 13, 2018",86.38,87.58,83.19,83.48,"115,105","111,331,000"
"Mar 12, 2018",88.17,90.34,85.95,86.59,"88,291","113,642,000"
"Mar 11, 2018",83.03,88.89,80.19,88.28,"93,075","107,016,000"
"Mar 10, 2018",83.77,87.92,82.84,83.16,"72,581","107,973,000"
"Mar 09, 2018",86.74,87.33,80.87,83.78,"103,405","111,796,000"
"Mar 08, 2018",95.06,95.47,85.52,86.94,"102,989","122,519,000"
"Mar 07, 2018",98.87,99.98,91.33,95.08,"103,621","127,430,000"
"Mar 06, 2018",110.42,110.42,97.91,98.95,"87,213","142,318,000"
"Mar 05, 2018",110.45,110.98,108.97,110.55,"191,924","142,354,000"
"Mar 04, 2018",106.94,111.58,106.84,110.49,"68,495","137,826,000"
"Mar 03, 2018",106.86,111.82,105.80,107.04,"63,024","137,725,000"
"Mar 02, 2018",101.73,109.56,101.67,106.91,"104,700","131,111,000"
"Mar 01, 2018",102.53,105.33,101.28,101.90,"35,510","132,154,000"
"Feb 28, 2018",104.96,106.20,102.15,102.44,"49,683","135,284,000"
"Feb 27, 2018",100.86,107.91,100.83,105.03,"56,885","129,989,000"
"Feb 26, 2018",93.74,101.36,91.14,100.66,"51,409","120,819,000"
"Feb 25, 2018",92.98,95.49,90.42,94.17,"53,847","119,833,000"
"Feb 24, 2018",97.82,100.70,91.97,93.05,"40,475","126,075,000"
"Feb 23, 2018",96.52,99.67,94.10,97.91,"54,484","124,396,000"
"Feb 22, 2018",105.04,107.97,96.40,96.58,"41,824","135,380,000"
