Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.89,2.03,1.53,1.57,"17,412","17,662,000"
"Mar 22, 2018",1.75,2.80,1.61,1.89,"8,039","16,311,700"
"Mar 21, 2018",1.99,2.15,1.65,1.75,"7,952","18,601,700"
"Mar 20, 2018",1.92,2.02,0.994886,1.99,"11,570","17,962,900"
"Mar 19, 2018",1.67,4.28,1.66,1.90,"52,669","15,572,200"
"Mar 18, 2018",1.83,2.01,1.51,1.68,"49,785","17,068,200"
"Mar 17, 2018",1.89,2.02,1.80,1.84,"22,768","17,567,300"
"Mar 16, 2018",1.94,2.12,1.79,1.88,"25,157","18,109,100"
"Mar 15, 2018",2.02,2.05,1.83,1.95,"17,729","18,783,500"
"Mar 14, 2018",2.23,2.37,1.91,2.02,"21,735","20,804,100"
"Mar 13, 2018",2.04,2.46,2.03,2.16,"22,289","19,020,300"
"Mar 12, 2018",2.15,2.53,2.05,2.05,"20,946","19,964,300"
"Mar 11, 2018",1.91,2.29,1.79,2.16,"25,221","17,788,700"
"Mar 10, 2018",1.90,2.09,1.87,1.92,"18,166","17,652,000"
"Mar 09, 2018",2.03,2.05,1.76,1.90,"15,368","18,820,800"
"Mar 08, 2018",2.01,2.17,1.90,2.04,"16,075","18,682,300"
"Mar 07, 2018",2.47,2.56,1.92,2.01,"61,459","22,958,700"
"Mar 06, 2018",2.36,2.64,2.23,2.55,"73,155","21,857,600"
"Mar 05, 2018",2.91,2.94,2.36,2.43,"74,113","26,988,300"
"Mar 04, 2018",3.06,3.11,2.84,2.92,"55,762","28,359,900"
"Mar 03, 2018",3.02,3.20,3.02,3.06,"117,309","28,056,100"
"Mar 02, 2018",3.11,3.24,2.61,3.02,"164,069","28,751,900"
"Mar 01, 2018",3.07,3.20,2.95,3.13,"102,753","28,453,400"
"Feb 28, 2018",3.35,3.43,3.03,3.06,"123,246","31,005,800"
"Feb 27, 2018",3.13,3.38,3.05,3.35,"116,938","28,983,500"
"Feb 26, 2018",2.96,3.26,2.88,3.22,"181,826","27,382,300"
"Feb 25, 2018",3.12,3.17,2.87,2.95,"151,631","28,871,600"
"Feb 24, 2018",3.27,3.38,2.93,3.12,"104,727","30,262,600"
"Feb 23, 2018",3.09,3.48,2.97,3.25,"105,458","28,516,600"
"Feb 22, 2018",3.31,3.49,2.92,3.05,"116,596","30,592,700"
