Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.037993,0.041369,0.036277,0.041369,"20,467","13,444,600"
"Mar 24, 2018",0.040492,0.041309,0.036127,0.038455,"32,235","14,328,800"
"Mar 23, 2018",0.044892,0.045008,0.036055,0.040085,"35,713","15,886,000"
"Mar 22, 2018",0.042030,0.044751,0.034483,0.044493,"57,920","14,873,300"
"Mar 21, 2018",0.037726,0.043366,0.037144,0.041931,"61,588","13,350,200"
"Mar 20, 2018",0.031952,0.039162,0.025730,0.037492,"63,572","11,306,800"
"Mar 19, 2018",0.026688,0.033784,0.026688,0.031697,"20,790","9,444,190"
"Mar 18, 2018",0.034662,0.035519,0.020884,0.026796,"42,747","12,265,800"
"Mar 17, 2018",0.032882,0.041051,0.029486,0.034700,"14,832","11,636,000"
"Mar 16, 2018",0.033876,0.034131,0.027374,0.031208,"17,302","11,987,800"
"Mar 15, 2018",0.034422,0.035231,0.024609,0.033915,"23,562","12,180,700"
"Mar 14, 2018",0.037206,0.040861,0.032594,0.034398,"18,119","13,166,100"
"Mar 13, 2018",0.038721,0.040976,0.037200,0.037200,"27,074","13,702,000"
"Mar 12, 2018",0.042651,0.043971,0.036324,0.038782,"23,469","15,093,000"
"Mar 11, 2018",0.041379,0.043630,0.037738,0.042910,"23,378","14,642,800"
"Mar 10, 2018",0.042126,0.045803,0.039564,0.041505,"36,175","14,907,200"
"Mar 09, 2018",0.041774,0.043136,0.035894,0.042163,"63,803","14,644,900"
"Mar 08, 2018",0.043054,0.045026,0.037463,0.041862,"81,217","15,093,600"
"Mar 07, 2018",0.050410,0.052104,0.037614,0.043275,"47,671","17,672,200"
"Mar 06, 2018",0.055523,0.055863,0.040631,0.050367,"94,103","19,464,500"
"Mar 05, 2018",0.061315,0.064510,0.051511,0.055548,"87,180","21,495,200"
"Mar 04, 2018",0.058115,0.063229,0.045035,0.061306,"126,976","20,373,400"
"Mar 03, 2018",0.081607,0.082272,0.055457,0.057410,"101,200","28,609,000"
"Mar 02, 2018",0.060763,0.081724,0.054038,0.081671,"73,650","21,271,300"
"Mar 01, 2018",0.060591,0.064059,0.059385,0.060802,"73,598","21,211,000"
"Feb 28, 2018",0.061100,0.074380,0.056889,0.060590,"72,436","21,389,100"
"Feb 27, 2018",0.067962,0.072094,0.058949,0.061127,"53,406","23,777,900"
"Feb 26, 2018",0.063620,0.073960,0.060910,0.068719,"105,758","22,167,800"
"Feb 25, 2018",0.066013,0.067432,0.063174,0.063575,"58,967","23,001,400"
"Feb 24, 2018",0.072790,0.072839,0.061393,0.066165,"63,411","25,362,900"
"Feb 23, 2018",0.064532,0.072862,0.060631,0.072862,"107,672","22,485,600"
"Feb 22, 2018",0.067175,0.075297,0.061133,0.064611,"116,267","23,406,400"
"Feb 21, 2018",0.073076,0.073451,0.060897,0.067283,"150,722","25,462,600"
"Feb 20, 2018",0.084541,0.087030,0.070218,0.072819,"96,458","29,457,500"
"Feb 19, 2018",0.085421,0.089263,0.079871,0.084959,"99,479","29,764,000"
"Feb 18, 2018",0.085154,0.095781,0.075678,0.085715,"136,721","29,671,000"
"Feb 17, 2018",0.087076,0.094646,0.080527,0.085112,"286,985","30,340,800"
"Feb 16, 2018",0.100440,0.103867,0.055770,0.087029,"189,394","34,997,300"
"Feb 15, 2018",0.103781,0.112367,0.085169,0.100338,"223,432","36,130,300"
"Feb 14, 2018",0.100698,0.113265,0.094964,0.103728,"156,928","35,056,900"
"Feb 13, 2018",0.103735,0.113537,0.094322,0.100764,"108,584","35,906,600"
"Feb 12, 2018",0.108765,0.124441,0.103222,0.103586,"143,624","37,648,000"
"Feb 11, 2018",0.113547,0.114121,0.094402,0.108288,"89,014","39,302,900"
"Feb 10, 2018",0.134422,0.135157,0.099373,0.113718,"161,290","46,528,600"
"Feb 09, 2018",0.127454,0.137111,0.120350,0.134456,"133,764","44,116,800"
"Feb 08, 2018",0.120163,0.139710,0.117255,0.127285,"147,049","41,593,000"
"Feb 07, 2018",0.142388,0.144142,0.106705,0.120550,"220,173","49,286,100"
"Feb 06, 2018",0.107530,0.143155,0.082100,0.142419,"321,270","37,220,500"
"Feb 05, 2018",0.119748,0.127103,0.087267,0.106954,"213,959","41,449,600"
