Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.142942,0.143177,0.110318,0.113623,"18,803","10,006,000"
"Mar 28, 2018",0.140162,0.143735,0.124975,0.142775,"6,728","9,811,370"
"Mar 27, 2018",0.155212,0.155710,0.131971,0.140194,"12,292","10,864,900"
"Mar 26, 2018",0.160358,0.161237,0.133487,0.155447,"9,698","11,225,000"
"Mar 25, 2018",0.144552,0.164117,0.135733,0.160481,"2,556","10,118,700"
"Mar 24, 2018",0.151502,0.159945,0.138975,0.146570,"2,220","10,605,100"
"Mar 23, 2018",0.147923,0.149327,0.135114,0.149327,343,"10,354,600"
"Mar 22, 2018",0.160119,0.163303,0.144873,0.147926,"4,303","11,208,400"
"Mar 21, 2018",0.160278,0.164841,0.158147,0.160412,"2,055","11,219,500"
"Mar 20, 2018",0.172465,0.172465,0.143829,0.159988,856,"12,072,500"
"Mar 19, 2018",0.147425,0.170889,0.138720,0.170562,473,"10,319,800"
"Mar 18, 2018",0.141958,0.149583,0.126118,0.148049,"29,322","9,937,070"
"Mar 17, 2018",0.157727,0.158056,0.139451,0.142304,"3,157","11,040,900"
"Mar 16, 2018",0.165212,0.166226,0.146718,0.157467,"2,811","11,564,800"
"Mar 15, 2018",0.139520,0.174267,0.130880,0.165305,"3,444","9,766,420"
"Mar 14, 2018",0.164688,0.174405,0.135927,0.139583,"10,269","11,528,200"
"Mar 13, 2018",0.163597,0.170687,0.159732,0.164665,"1,386","11,451,800"
"Mar 12, 2018",0.181342,0.187955,0.158620,0.164542,979,"12,694,000"
"Mar 11, 2018",0.175505,0.184688,0.147634,0.181916,"20,483","12,285,400"
"Mar 10, 2018",0.185193,0.189699,0.159282,0.176113,"5,161","12,963,500"
"Mar 09, 2018",0.176575,0.186098,0.152781,0.185114,"7,133","12,360,200"
"Mar 08, 2018",0.197812,0.207866,0.172192,0.177700,"26,446","13,846,800"
"Mar 07, 2018",0.214378,0.226963,0.179453,0.198092,811,"15,006,500"
