Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",0.894519,0.903759,0.802595,0.825045,"71,101","7,512,340"
"Mar 11, 2018",0.847708,0.902884,0.825815,0.895824,"33,474","7,107,510"
"Mar 10, 2018",0.847712,0.939508,0.846047,0.849705,"74,963","7,100,640"
"Mar 09, 2018",0.850764,0.962217,0.766769,0.849505,"231,786","7,115,200"
"Mar 08, 2018",0.774612,1.04,0.773547,0.856018,"655,939","6,471,180"
"Mar 07, 2018",0.770413,0.814388,0.751296,0.775253,"27,584","6,431,080"
"Mar 06, 2018",0.906857,0.906857,0.741767,0.778916,"45,338","7,554,580"
"Mar 05, 2018",0.927385,0.982224,0.872923,0.908883,"64,590","7,723,560"
"Mar 04, 2018",0.926885,1.03,0.925181,0.931760,"47,154","7,716,850"
"Mar 03, 2018",0.926849,0.953229,0.851621,0.923275,"57,762","7,714,090"
"Mar 02, 2018",0.843065,0.950445,0.838428,0.927750,"60,711","7,013,540"
"Mar 01, 2018",0.832635,0.886251,0.806693,0.845171,"27,046","6,914,230"
"Feb 28, 2018",0.802402,0.974093,0.792546,0.831459,"93,364","6,658,900"
"Feb 27, 2018",0.788758,0.824720,0.770612,0.803127,"11,553","6,536,050"
"Feb 26, 2018",0.773145,0.809786,0.705590,0.786841,"20,502","6,400,470"
"Feb 25, 2018",0.705216,0.839221,0.685205,0.772201,"50,546","5,828,800"
"Feb 24, 2018",0.701931,0.749598,0.695140,0.705921,"5,106","5,794,440"
"Feb 23, 2018",0.679860,0.721020,0.657105,0.696853,"10,703","5,605,450"
"Feb 22, 2018",0.754925,0.777265,0.673404,0.677171,"8,032","6,216,790"
"Feb 21, 2018",0.855898,0.862219,0.724146,0.755603,"31,103","7,039,780"
"Feb 20, 2018",0.896785,0.938446,0.837330,0.856936,"49,849","7,366,090"
"Feb 19, 2018",0.879086,0.912223,0.851766,0.896093,"48,367","7,217,640"
