Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",1.29,1.34,0.947299,1.25,933,"18,833,900"
"Mar 20, 2018",0.968844,1.34,0.942735,1.30,407,-
"Mar 19, 2018",1.01,1.10,0.919311,0.967726,197,-
"Mar 18, 2018",0.878729,1.05,0.771853,1.01,410,-
"Mar 17, 2018",1.18,1.19,0.868154,0.876133,162,-
"Mar 16, 2018",1.08,1.23,1.04,1.19,37,-
"Mar 15, 2018",1.15,1.22,1.07,1.08,102,-
"Mar 14, 2018",1.20,1.22,0.790889,1.15,"2,415",-
"Mar 13, 2018",1.30,1.32,0.987998,1.19,765,-
"Mar 12, 2018",1.12,1.36,1.01,1.30,"2,425",-
"Mar 11, 2018",1.28,1.31,1.07,1.12,"1,014",-
"Mar 10, 2018",1.15,1.39,0.965484,1.28,"1,839",-
"Mar 09, 2018",1.14,1.29,1.05,1.15,399,-
"Mar 08, 2018",1.29,1.38,1.12,1.13,893,-
"Mar 07, 2018",1.33,1.44,1.21,1.29,197,-
"Mar 06, 2018",1.21,1.42,1.18,1.33,585,-
"Mar 05, 2018",1.39,1.43,1.22,1.22,392,-
"Mar 04, 2018",1.45,1.55,1.07,1.38,"36,072",-
"Mar 03, 2018",1.34,1.55,1.16,1.45,"20,235",-
"Mar 02, 2018",1.65,1.95,1.34,1.34,"16,317",-
"Mar 01, 2018",1.57,1.75,1.57,1.65,"6,741",-
"Feb 28, 2018",1.52,1.67,1.49,1.57,124,-
"Feb 27, 2018",1.72,1.72,1.29,1.53,"3,526",-
"Feb 26, 2018",1.32,1.72,1.28,1.72,"4,331",-
"Feb 25, 2018",1.71,2.02,1.29,1.32,"1,736",-
"Feb 24, 2018",1.94,2.19,1.69,1.72,"2,869",-
"Feb 23, 2018",1.97,2.31,1.89,1.94,"22,694",-
"Feb 22, 2018",1.82,2.10,1.24,1.96,"35,856",-
"Feb 21, 2018",1.32,1.82,1.23,1.82,"5,622",-
"Aug 10, 2017",0.008389,0.008389,0.008311,0.008311,0,"11,533,900"
"Aug 09, 2017",0.012904,0.013155,0.008311,0.008389,1,"17,740,400"
"Aug 08, 2017",0.013215,0.013867,0.009218,0.012904,"38,672","18,168,800"
"Aug 07, 2017",0.013974,0.014049,0.012893,0.013213,"14,482","19,212,100"
"Aug 06, 2017",0.012946,0.016124,0.012946,0.013974,"13,027","17,797,900"
"Aug 05, 2017",0.011375,0.012966,0.008911,0.012946,"3,667","15,638,500"
"Aug 04, 2017",0.013000,0.014761,0.008684,0.011421,"16,601","17,872,300"
"Aug 03, 2017",0.012072,0.012385,0.011982,0.012303,"48,697","16,596,500"
"Aug 02, 2017",0.009533,0.012660,0.007541,0.012124,"47,987","13,106,200"
"Aug 01, 2017",0.006614,0.009533,0.006279,0.009533,"3,862","9,093,750"
"Jul 31, 2017",0.006579,0.006600,0.006440,0.006517,"11,156","9,045,490"
"Jul 30, 2017",0.008694,0.009048,0.006279,0.006578,"11,259","11,952,900"
"Jul 29, 2017",0.010960,0.010986,0.008214,0.008694,"1,927","15,068,700"
"Jul 28, 2017",0.010055,0.011410,0.006665,0.010960,"21,414","13,823,600"
"Jul 27, 2017",0.008136,0.010406,0.008131,0.010054,"6,144","11,185,600"
"Jul 26, 2017",0.008115,0.010157,0.007420,0.008136,"17,922","11,156,300"
"Jul 25, 2017",0.011211,0.011332,0.007585,0.008128,"17,360","15,413,400"
"Jul 24, 2017",0.007068,0.011211,0.007000,0.011209,"17,268","9,717,140"
"Jul 23, 2017",0.007336,0.008935,0.006552,0.007068,"8,257","10,086,200"
"Jul 22, 2017",0.005856,0.008055,0.005393,0.007336,"1,420","8,051,160"
"Jul 21, 2017",0.006337,0.006349,0.005283,0.005856,"9,109","8,712,770"
"Jul 20, 2017",0.005021,0.006521,0.005021,0.006331,6,"6,902,560"
"Jul 19, 2017",0.004912,0.005620,0.004428,0.005021,369,"6,753,410"
"Jul 18, 2017",0.005134,0.005226,0.003985,0.004912,367,"7,058,940"
"Jul 17, 2017",0.005110,0.006434,0.003934,0.005134,"3,184","7,025,710"
"Jul 16, 2017",0.005111,0.005113,0.005109,0.005110,"10,340","7,027,500"
"Jul 15, 2017",0.005117,0.005117,0.005112,0.005112,"10,341","7,034,880"
"Jul 14, 2017",0.005120,0.005120,0.005115,0.005117,"10,347","7,039,310"
"Jul 13, 2017",0.005121,0.005809,0.005120,0.005120,"10,351","7,041,000"
"Jul 12, 2017",0.005119,0.005122,0.005118,0.005121,"10,352","7,038,120"
"Jul 11, 2017",0.005570,0.006544,0.004645,0.005119,"10,350","7,658,490"
"Jul 10, 2017",0.006807,0.006850,0.005570,0.005570,"1,105","9,358,770"
"Jul 09, 2017",0.006389,0.010845,0.006389,0.006807,"15,894","8,784,050"
"Jul 08, 2017",0.006386,0.006389,0.004797,0.006389,"1,508","8,780,290"
"Jul 07, 2017",0.006392,0.006392,0.006385,0.006386,"1,507","8,788,100"
"Jul 06, 2017",0.006616,0.006617,0.006390,0.006392,"1,508","9,095,960"
"Jul 05, 2017",0.004958,0.009520,0.004405,0.006616,"15,131","6,816,120"
"Jul 04, 2017",0.003712,0.006504,0.003712,0.004958,"1,511","5,103,550"
"Jul 03, 2017",0.005332,0.005949,0.003473,0.003712,207,"7,330,930"
"Jul 02, 2017",0.005631,0.005636,0.005032,0.005332,"4,969","7,741,430"
"Jul 01, 2017",0.005887,0.006030,0.005221,0.005631,"3,344","8,093,640"
"Jun 30, 2017",0.006381,0.006528,0.005886,0.005887,"1,951","8,773,240"
"Jun 29, 2017",0.009421,0.009435,0.005993,0.006381,456,"12,952,700"
"Jun 28, 2017",0.006169,0.009720,0.005945,0.009426,278,"8,480,750"
"Jun 27, 2017",0.006102,0.006574,0.005682,0.006160,"3,850","8,388,680"
"Jun 26, 2017",0.008247,0.008440,0.006081,0.006102,634,"11,337,800"
"Jun 25, 2017",0.008841,0.009005,0.007934,0.008247,684,"12,154,600"
"Jun 24, 2017",0.009687,0.009687,0.006724,0.008841,"16,684","13,317,600"
"Jun 23, 2017",0.008806,0.009689,0.008326,0.009687,"1,299","12,107,300"
"Jun 22, 2017",0.008536,0.009297,0.008459,0.008806,361,"11,735,300"
"Jun 21, 2017",0.008809,0.009482,0.008536,0.008536,"3,628","12,111,300"
"Jun 20, 2017",0.009034,0.009362,0.008809,0.008809,577,"12,419,700"
"Jun 19, 2017",0.008356,0.009547,0.007995,0.009034,186,"11,488,800"
"Jun 18, 2017",0.009467,0.010004,0.008289,0.008356,912,"13,014,900"
"Jun 17, 2017",0.009111,0.010340,0.008822,0.009467,413,"12,526,700"
"Jun 16, 2017",0.007945,0.013925,0.005857,0.009111,"33,255","10,923,600"
"Jun 15, 2017",0.013652,0.013817,0.006143,0.007946,"5,973","18,769,700"
"Jun 14, 2017",0.014033,0.015916,0.009946,0.013652,"20,802","19,293,000"
"Jun 13, 2017",0.012346,0.014033,0.008940,0.014033,"173,829","16,973,200"
"Jun 12, 2017",0.005977,0.014132,0.005977,0.012349,"35,524","8,216,800"
"Jun 11, 2017",0.007385,0.007473,0.005468,0.005977,380,"10,152,800"
"Jun 10, 2017",0.007813,0.009283,0.005132,0.007385,"2,597","10,741,100"
"Jun 09, 2017",0.003379,0.008161,0.003379,0.007813,"10,294","4,645,380"
"Jun 08, 2017",0.002733,0.007143,0.002592,0.003379,"7,631","3,757,890"
"Jun 07, 2017",0.004533,0.004684,0.002520,0.002733,"8,419","6,231,770"
"Jun 06, 2017",0.003507,0.006377,0.003184,0.004533,46,"4,821,620"
"Jun 05, 2017",0.004097,0.004490,0.003507,0.003507,30,"5,633,000"
"Jun 04, 2017",0.003912,0.004494,0.003812,0.004097,"3,314","5,378,170"
"Jun 03, 2017",0.003832,0.005292,0.003677,0.003912,861,"5,267,890"
"Jun 02, 2017",0.002973,0.004618,0.002027,0.003832,"9,274","4,088,070"
"Jun 01, 2017",0.002206,0.003453,0.001606,0.002973,"1,190","3,032,750"
"May 31, 2017",0.003248,0.003257,0.001408,0.002206,"7,643","4,465,540"
"May 30, 2017",0.003111,0.003248,0.002803,0.003248,691,"4,277,690"
"May 29, 2017",0.002918,0.003206,0.002850,0.003111,817,"4,011,960"
"May 28, 2017",0.001206,0.003083,0.001206,0.002918,746,"1,657,380"
"May 27, 2017",0.002483,0.002765,0.000859,0.001205,621,"3,413,340"
"May 26, 2017",0.003855,0.003855,0.002110,0.002483,37,"5,299,680"
"May 25, 2017",0.002470,0.005299,0.002418,0.003855,"2,407","3,396,280"
"May 24, 2017",0.003900,0.004312,0.001525,0.002470,"4,557","5,361,690"
"May 23, 2017",0.003736,0.004288,0.003096,0.003900,15,"5,136,760"
"May 22, 2017",0.004122,0.004443,0.002858,0.003734,"2,561","5,667,300"
"May 21, 2017",0.005104,0.005416,0.003786,0.004122,501,"7,017,600"
"May 20, 2017",0.005224,0.005539,0.004415,0.005105,"2,613","7,182,390"
"May 19, 2017",0.007419,0.007419,0.003611,0.005147,"13,584","10,200,100"
"May 18, 2017",0.005932,0.007443,0.005703,0.007443,"28,074","8,155,790"
"May 17, 2017",0.002936,0.005998,0.002344,0.005957,"21,457","4,036,940"
"May 16, 2017",0.002683,0.003163,0.002109,0.002876,78,"3,688,390"
"May 15, 2017",0.002657,0.002748,0.001637,0.002649,"2,188","3,652,850"
"May 14, 2017",0.001255,0.002694,0.001255,0.002646,"1,861","1,725,070"
"May 13, 2017",0.002349,0.002549,0.001256,0.001256,41,"3,230,080"
"May 12, 2017",0.003879,0.009392,0.001637,0.002361,"4,444","5,333,120"
"May 11, 2017",0.002237,0.004099,0.002023,0.003908,"29,810","3,074,930"
"May 10, 2017",0.002754,0.004383,0.002128,0.002244,"2,866","3,786,380"
"May 09, 2017",0.002894,0.003662,0.002128,0.002792,"10,597","3,978,980"
"May 08, 2017",0.001882,0.002927,0.001642,0.002835,"2,312","2,587,380"
"May 07, 2017",0.001728,0.002179,0.001619,0.001886,150,"2,375,820"
"May 06, 2017",0.001593,0.001797,0.001224,0.001715,"12,060","2,190,130"
"May 05, 2017",0.001045,0.001602,0.000777,0.001587,"5,523","1,436,780"
"May 04, 2017",0.001038,0.001063,0.000997,0.001044,1,"1,427,350"
"May 03, 2017",0.000785,0.000856,0.000771,0.000854,0,"1,078,860"
"May 02, 2017",0.000311,0.000806,0.000311,0.000785,314,"427,046"
"May 01, 2017",0.000642,0.000805,0.000288,0.000311,156,"881,993"
"Apr 30, 2017",0.000574,0.000673,0.000377,0.000641,894,"788,806"
"Apr 29, 2017",0.000277,0.000597,0.000277,0.000573,26,"381,111"
"Apr 28, 2017",0.000609,0.000615,0.000270,0.000278,343,"837,755"
"Apr 27, 2017",0.000287,0.000621,0.000287,0.000608,15,"395,110"
"Apr 26, 2017",0.000894,0.000896,0.000264,0.000287,"1,414","1,228,890"
"Apr 25, 2017",0.000852,0.000935,0.000848,0.000899,1,"1,171,320"
"Apr 24, 2017",0.000761,0.000855,0.000751,0.000855,25,"1,046,680"
"Apr 21, 2017",0.000670,0.000674,0.000667,0.000670,40,"921,398"
"Apr 20, 2017",0.000563,0.000672,0.000542,0.000670,40,"773,440"
"Apr 19, 2017",0.000781,0.000782,0.000746,0.000750,17,"1,073,860"
"Apr 18, 2017",0.000725,0.000790,0.000720,0.000782,17,"997,403"
"Apr 14, 2017",0.000399,0.000406,0.000390,0.000395,130,"548,526"
"Apr 13, 2017",0.000435,0.001116,0.000395,0.000398,660,"598,556"
"Apr 12, 2017",0.000640,0.000641,0.000426,0.000436,0,"879,474"
"Apr 11, 2017",0.000637,0.000641,0.000635,0.000640,15,"875,383"
"Apr 09, 2017",0.000350,0.000351,0.000348,0.000349,6,"481,690"
"Apr 08, 2017",0.000346,0.000352,0.000343,0.000351,6,"476,264"
"Apr 07, 2017",0.000351,0.000353,0.000341,0.000347,6,"481,961"
"Apr 06, 2017",0.000353,0.000359,0.000347,0.000351,6,"485,346"
"Apr 05, 2017",0.000456,0.000467,0.000343,0.000354,6,"626,902"
"Apr 04, 2017",0.000473,0.000473,0.000424,0.000453,0,"649,703"
"Apr 03, 2017",0.000533,0.000533,0.000370,0.000388,193,"733,211"
"Apr 02, 2017",0.000367,0.000629,0.000367,0.000535,"3,332","504,265"
"Apr 01, 2017",0.000851,0.000868,0.000850,0.000864,0,"1,170,050"
"Mar 31, 2017",0.000624,0.000964,0.000620,0.000849,0,"858,178"
"Mar 30, 2017",0.000621,0.000657,0.000588,0.000627,42,"854,443"
"Mar 29, 2017",0.000745,0.000835,0.000615,0.000621,244,"1,023,680"
"Mar 28, 2017",0.000738,0.000747,0.000725,0.000745,0,"1,014,080"
"Mar 26, 2017",0.000717,0.000756,0.000717,0.000738,0,"986,275"
"Mar 25, 2017",0.000814,0.000828,0.000574,0.000717,3,"1,118,820"
"Mar 24, 2017",0.000558,0.000902,0.000539,0.000813,247,"767,040"
"Mar 23, 2017",0.000688,0.000700,0.000554,0.000562,"1,021","945,875"
"Mar 22, 2017",0.001078,0.001078,0.001070,0.001070,1,"1,482,050"
"Mar 21, 2017",0.001066,0.001161,0.001035,0.001078,1,"1,466,010"
"Mar 20, 2017",0.000907,0.001122,0.000579,0.001063,600,"1,247,380"
"Mar 19, 2017",0.000679,0.000920,0.000664,0.000907,"1,722","933,084"
"Mar 18, 2017",0.000600,0.000753,0.000600,0.000683,183,"825,474"
"Mar 17, 2017",0.000424,0.000630,0.000324,0.000601,428,"582,370"
"Mar 16, 2017",0.000437,0.000471,0.000422,0.000426,2,"600,154"
"Mar 14, 2017",0.000325,0.000331,0.000321,0.000321,82,"446,391"
"Mar 13, 2017",0.000328,0.000335,0.000323,0.000325,83,"451,176"
"Mar 06, 2017",0.000385,0.000394,0.000383,0.000390,169,"529,113"
"Mar 05, 2017",0.000277,0.000389,0.000276,0.000385,167,"380,673"
"Mar 04, 2017",0.000390,0.000774,0.000273,0.000276,0,"536,856"
"Mar 03, 2017",0.000375,0.000402,0.000334,0.000390,208,"515,938"
"Mar 02, 2017",0.000394,0.000406,0.000374,0.000375,186,"541,642"
"Mar 01, 2017",0.000376,0.000406,0.000367,0.000392,0,"516,951"
"Feb 28, 2017",0.000304,0.000425,0.000250,0.000374,8,"417,736"
"Feb 27, 2017",0.000486,0.000489,0.000301,0.000304,0,"668,344"
