Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.065046,0.080229,0.053239,0.066611,727,"21,619,200"
"Mar 28, 2018",0.041283,0.065379,0.036279,0.064872,876,"12,643,500"
"Mar 27, 2018",0.101741,0.105657,0.050010,0.050168,567,"31,159,600"
"Mar 26, 2018",0.095371,0.103286,0.052350,0.078831,"2,829","29,208,500"
"Mar 25, 2018",0.088897,0.119073,0.081030,0.095444,"1,123","27,225,700"
"Mar 24, 2018",0.145798,0.145957,0.087459,0.090327,"1,034","44,652,500"
"Mar 23, 2018",0.138177,0.143706,0.087738,0.143706,"1,054","42,318,500"
"Mar 22, 2018",0.173552,0.180826,0.120235,0.138180,"1,293","53,152,400"
"Mar 21, 2018",0.093585,0.266420,0.093449,0.173869,"1,855","28,661,400"
"Mar 20, 2018",0.101323,0.299192,0.083809,0.093415,"1,579","31,031,400"
"Mar 19, 2018",0.013398,0.170889,0.009782,0.100205,647,"4,103,180"
"Mar 18, 2018",0.006615,0.013862,0.006131,0.013478,"1,688","2,025,890"
"Mar 17, 2018",0.001697,0.008728,0.001363,0.006616,"3,003","519,664"
"Mar 16, 2018",0.006089,0.006125,0.001561,0.001695,"4,992","1,864,830"
"Mar 15, 2018",0.002527,0.013770,0.002377,0.006743,"1,508","774,014"
"Mar 14, 2018",0.002823,0.003095,0.002507,0.002528,"3,612","864,521"
"Mar 13, 2018",0.002851,0.003080,0.002129,0.002823,"6,292","873,208"
"Mar 12, 2018",0.003213,0.003672,0.002596,0.002863,"3,288","983,971"
"Mar 11, 2018",0.003490,0.003760,0.002946,0.003222,"5,344","1,068,960"
"Mar 10, 2018",0.003599,0.003847,0.003363,0.003401,672,"1,102,210"
"Mar 09, 2018",0.003951,0.003994,0.003192,0.003596,"2,106","1,207,270"
"Mar 08, 2018",0.003851,0.004268,0.003440,0.003975,"3,822","1,173,030"
"Mar 07, 2018",0.004502,0.004640,0.003676,0.003856,"15,541","1,365,650"
"Mar 06, 2018",0.005162,0.005162,0.004245,0.004509,"3,990","1,561,350"
"Mar 05, 2018",0.005391,0.005391,0.004873,0.005169,"2,241","1,582,550"
"Mar 04, 2018",0.005225,0.005394,0.004889,0.005394,"3,014","1,533,850"
"Mar 03, 2018",0.005089,0.005448,0.004810,0.005232,"5,568","1,493,810"
"Mar 02, 2018",0.005331,0.005371,0.004748,0.005093,"1,788","1,564,940"
"Mar 01, 2018",0.005263,0.005364,0.004587,0.005342,"9,061","1,544,940"
"Feb 28, 2018",0.005131,0.005350,0.004692,0.005255,"6,873","1,506,180"
"Feb 27, 2018",0.005353,0.005666,0.004893,0.005137,"1,685","1,571,450"
"Feb 26, 2018",0.004714,0.005689,0.004383,0.005339,"5,835","1,383,910"
"Feb 25, 2018",0.004873,0.005710,0.004415,0.004709,"4,858","1,430,430"
"Feb 24, 2018",0.005159,0.006125,0.004287,0.004880,"12,874","1,513,120"
"Feb 23, 2018",0.004962,0.005937,0.004656,0.005166,"4,026","1,448,390"
"Feb 22, 2018",0.004674,0.005846,0.004460,0.004967,"12,747","1,345,980"
"Feb 21, 2018",0.004974,0.005512,0.004454,0.004678,"1,587","1,432,020"
"Feb 20, 2018",0.005380,0.005684,0.004943,0.004973,"2,441","1,548,640"
"Feb 19, 2018",0.005340,0.005432,0.004784,0.005372,"2,097","1,537,290"
"Feb 18, 2018",0.005033,0.005654,0.004506,0.005367,"4,667","1,448,850"
"Feb 17, 2018",0.005320,0.005679,0.004729,0.005027,"1,136","1,531,530"
"Feb 16, 2018",0.005742,0.006007,0.005078,0.005321,46,"1,652,860"
"Feb 15, 2018",0.004049,0.011376,0.004000,0.005762,129,"1,165,730"
"Feb 14, 2018",0.003978,0.018621,0.003954,0.004047,503,"1,145,130"
"Feb 13, 2018",0.004231,0.004257,0.003891,0.003988,"2,800","1,217,920"
"Feb 12, 2018",0.003698,0.004264,0.003421,0.004226,"1,919","1,064,520"
"Feb 11, 2018",0.003743,0.004059,0.003417,0.003676,"4,279","1,074,560"
"Feb 10, 2018",0.004128,0.004447,0.003512,0.003747,"7,314","1,169,210"
"Feb 09, 2018",0.004249,0.004510,0.003446,0.004131,"9,040","1,203,500"
"Feb 08, 2018",0.004433,0.004861,0.003724,0.004159,"4,347","1,255,710"
"Feb 07, 2018",0.004896,0.004930,0.003733,0.004451,"3,691","1,378,580"
"Feb 06, 2018",0.003018,0.004979,0.002460,0.004942,"11,145","844,502"
"Feb 05, 2018",0.005172,0.005280,0.002871,0.003010,"19,213","1,442,930"
"Feb 04, 2018",0.005852,0.006052,0.004840,0.005280,"4,087","1,626,570"
"Feb 03, 2018",0.005074,0.006079,0.004506,0.005840,"6,282","1,404,220"
"Feb 02, 2018",0.006008,0.006008,0.004360,0.005052,"21,203","1,655,060"
"Feb 01, 2018",0.006584,0.007110,0.005782,0.006042,"21,140","1,804,590"
"Jan 31, 2018",0.006821,0.007334,0.006095,0.006567,"16,642","1,838,160"
