Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.674605,0.687100,0.551808,0.581589,"869,219","35,066,600"
"Mar 05, 2018",0.718212,0.730167,0.657606,0.672314,"849,395","37,333,300"
"Mar 04, 2018",0.642958,0.720675,0.638179,0.719609,"821,314","33,421,500"
"Mar 03, 2018",0.633131,0.717377,0.621343,0.649269,"1,455,530","32,910,700"
"Mar 02, 2018",0.557950,0.641969,0.535849,0.632154,"1,245,860","29,002,700"
"Mar 01, 2018",0.547077,0.585854,0.544556,0.564573,"528,584","28,427,900"
"Feb 28, 2018",0.577627,0.609133,0.536819,0.546066,"510,695","30,008,100"
"Feb 27, 2018",0.559445,0.618881,0.534678,0.574053,"709,235","29,063,500"
"Feb 26, 2018",0.566878,0.654118,0.551917,0.560605,"1,185,710","29,449,700"
"Feb 25, 2018",0.515789,0.571533,0.502329,0.563102,"522,390","26,795,600"
"Feb 24, 2018",0.530937,0.568053,0.479614,0.521017,"578,056","27,582,600"
"Feb 23, 2018",0.543494,0.590827,0.454131,0.537044,"1,310,100","28,234,800"
"Feb 22, 2018",0.672119,0.719904,0.543730,0.543730,"1,243,960","34,917,000"
"Feb 21, 2018",0.800963,0.800963,0.598887,0.673773,"2,335,180","41,610,500"
"Feb 20, 2018",0.691316,0.854753,0.674695,0.797946,"4,672,240","34,563,600"
"Feb 19, 2018",0.558772,0.685039,0.546989,0.685039,"2,024,430","27,936,800"
"Feb 18, 2018",0.604231,0.656367,0.496841,0.557521,"2,450,970","30,209,600"
"Feb 17, 2018",0.411716,0.656710,0.373950,0.598584,"2,596,670","20,502,100"
"Feb 16, 2018",0.330876,0.439052,0.289365,0.411478,"453,345","16,476,500"
"Feb 15, 2018",0.317977,0.331660,0.307430,0.331112,"78,841","15,770,500"
"Feb 14, 2018",0.289433,0.318487,0.277551,0.317813,"51,601","14,354,800"
"Feb 13, 2018",0.285875,0.306943,0.264196,0.289559,"90,628","14,178,300"
"Feb 12, 2018",0.275212,0.310195,0.271983,0.285474,"164,851","13,649,500"
"Feb 11, 2018",0.263885,0.287326,0.240665,0.274033,"48,383","13,087,700"
"Feb 10, 2018",0.307089,0.324885,0.235626,0.264313,"127,310","15,230,500"
"Feb 09, 2018",0.264730,0.311062,0.258432,0.306333,"80,067","13,129,600"
"Feb 08, 2018",0.242831,0.283476,0.239646,0.264401,"155,448","12,043,500"
"Feb 07, 2018",0.283239,0.294565,0.241712,0.243453,"118,334","14,047,600"
"Feb 06, 2018",0.236874,0.288245,0.168062,0.283536,"295,204","11,748,000"
"Feb 05, 2018",0.279674,0.319267,0.188838,0.236033,"85,824","13,870,800"
"Feb 04, 2018",0.354858,0.372019,0.277119,0.282410,"87,646","17,599,600"
"Feb 03, 2018",0.326261,0.402090,0.309588,0.365578,"194,770","16,181,400"
"Feb 02, 2018",0.371037,0.371037,0.251644,0.324689,"159,291","18,402,000"
"Feb 01, 2018",0.430482,0.466178,0.308291,0.372400,"181,672","21,350,300"
"Jan 31, 2018",0.427308,0.461780,0.402514,0.429662,"177,145","21,192,900"
"Jan 30, 2018",0.561000,0.583850,0.402787,0.425836,"287,412","27,823,500"
"Jan 29, 2018",0.635285,0.639537,0.489442,0.565557,"586,946","31,507,800"
"Jan 28, 2018",0.575345,0.757418,0.575345,0.635554,"1,745,270","28,535,000"
"Jan 27, 2018",0.389635,0.636184,0.378248,0.588911,"842,619","19,324,400"
"Jan 26, 2018",0.402575,0.423525,0.358683,0.389605,"560,182","19,966,200"
"Jan 25, 2018",0.438958,0.459069,0.379545,0.403980,"925,553",-
"Jan 24, 2018",0.386470,0.454806,0.370399,0.437652,"1,024,180",-
