Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.033027,0.033793,0.029123,0.033793,"1,487,490","50,579,300"
"Mar 22, 2018",0.036055,0.036721,0.030626,0.032457,"1,461,830","53,901,600"
"Mar 21, 2018",0.039280,0.041109,0.032029,0.036310,"2,621,260","58,721,700"
"Mar 20, 2018",0.034527,0.040154,0.033461,0.039269,"659,936","51,616,900"
"Mar 19, 2018",0.032609,0.034190,0.030572,0.034001,"603,223","48,749,300"
"Mar 18, 2018",0.033648,0.034980,0.026241,0.033132,"665,028","50,302,900"
"Mar 17, 2018",0.037194,0.037510,0.032580,0.033995,"241,107","55,603,800"
"Mar 16, 2018",0.036408,0.039202,0.034663,0.037296,"497,389","54,429,400"
"Mar 15, 2018",0.040266,0.042133,0.034531,0.035986,"803,934","60,195,900"
"Mar 14, 2018",0.046130,0.048820,0.038527,0.040280,"764,735","68,963,800"
"Mar 13, 2018",0.050008,0.050519,0.045327,0.046309,"496,577","74,759,800"
"Mar 12, 2018",0.053982,0.055942,0.048892,0.050210,"401,884","80,700,800"
"Mar 11, 2018",0.050102,0.058203,0.047414,0.054433,"480,183","74,900,800"
"Mar 10, 2018",0.051862,0.056714,0.048628,0.049880,"1,183,380","77,533,000"
"Mar 09, 2018",0.046019,0.052338,0.038600,0.052214,"3,790,420","68,796,800"
"Mar 08, 2018",0.052470,0.052470,0.044762,0.046583,"1,210,020","78,440,400"
"Mar 07, 2018",0.059509,0.060667,0.046633,0.051502,"3,175,430","88,964,400"
"Mar 06, 2018",0.068515,0.069362,0.058307,0.059775,"1,421,890","102,429,000"
"Mar 05, 2018",0.070989,0.073485,0.064947,0.068637,"1,533,460","106,126,000"
"Mar 04, 2018",0.070858,0.072125,0.068953,0.071066,"781,358","105,931,000"
"Mar 03, 2018",0.072506,0.075366,0.070245,0.071605,"1,857,170","108,394,000"
"Mar 02, 2018",0.072268,0.077996,0.069312,0.072578,"3,633,980","108,039,000"
"Mar 01, 2018",0.063862,0.077722,0.063732,0.072726,"3,772,850","95,471,000"
"Feb 28, 2018",0.072054,0.077572,0.063781,0.063887,"3,042,300","107,719,000"
"Feb 27, 2018",0.074651,0.079141,0.070027,0.072028,"4,208,690","111,601,000"
"Feb 26, 2018",0.072256,0.079738,0.071282,0.073672,"4,636,270","108,021,000"
"Feb 25, 2018",0.070368,0.078525,0.067856,0.072213,"3,162,080","105,199,000"
"Feb 24, 2018",0.068821,0.083510,0.068342,0.070837,"5,561,390","102,885,000"
"Feb 23, 2018",0.064651,0.073631,0.060110,0.068658,"2,815,580","96,651,200"
"Feb 22, 2018",0.072410,0.073993,0.061506,0.064939,"3,600,680","108,251,000"
