Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.158416,0.164067,0.146461,0.159856,"278,538","68,771,700"
"Mar 22, 2018",0.162122,0.168599,0.147660,0.158432,"350,287","70,380,800"
"Mar 21, 2018",0.164173,0.183433,0.155788,0.162216,"721,748","71,270,900"
"Mar 20, 2018",0.162576,0.166858,0.142480,0.163721,"390,751",-
"Mar 19, 2018",0.147744,0.166838,0.140734,0.158686,"327,448",-
"Mar 18, 2018",0.154673,0.154742,0.122789,0.147787,"315,729",-
"Mar 17, 2018",0.170496,0.170496,0.154223,0.154933,"162,923",-
"Mar 16, 2018",0.161224,0.189188,0.157982,0.170258,"266,177",-
"Mar 15, 2018",0.176593,0.415643,0.156478,0.161252,"358,504",-
"Mar 14, 2018",0.211029,0.214972,0.170955,0.176602,"977,789",-
"Mar 13, 2018",0.238262,0.268100,0.208584,0.210919,"419,843",-
"Mar 12, 2018",0.284358,0.288654,0.230402,0.239356,"392,663",-
"Mar 11, 2018",0.266951,0.293063,0.246606,0.284898,"178,319",-
"Mar 10, 2018",0.286175,0.298250,0.258935,0.267834,"421,539",-
"Mar 09, 2018",0.251963,0.289167,0.232292,0.282620,"600,959",-
"Mar 08, 2018",0.228777,0.298001,0.227095,0.253145,"461,311",-
"Mar 07, 2018",0.253895,0.260542,0.213294,0.229115,"661,678",-
"Mar 06, 2018",0.292939,0.292939,0.229664,0.256877,"767,754",-
"Mar 05, 2018",0.272831,0.296311,0.264257,0.287260,"612,954",-
"Mar 04, 2018",0.297395,0.297395,0.245622,0.273796,"660,445",-
"Mar 03, 2018",0.321011,0.325091,0.268913,0.297766,"590,741",-
"Mar 02, 2018",0.320794,0.330702,0.255487,0.322507,"1,085,020",-
"Mar 01, 2018",0.342759,0.363812,0.317761,0.321648,"638,326",-
"Feb 28, 2018",0.373835,0.427030,0.321470,0.342192,"976,352",-
"Feb 27, 2018",0.389532,0.448857,0.312458,0.374108,"1,690,640",-
"Feb 26, 2018",0.446398,0.457625,0.377575,0.389701,"1,086,450",-
"Feb 25, 2018",0.480797,0.480797,0.440345,0.445930,"128,674",-
"Feb 24, 2018",0.487533,0.503292,0.400257,0.481631,"715,189",-
"Feb 23, 2018",0.468959,0.494240,0.428515,0.488074,"546,249",-
"Feb 22, 2018",0.486601,0.531084,0.433522,0.469456,"311,861",-
