Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.079615,0.086685,0.074477,0.084573,"256,381","28,296,700"
"Mar 29, 2018",0.092885,0.093832,0.077722,0.080317,"378,753","33,013,200"
"Mar 28, 2018",0.091169,0.096776,0.085257,0.092583,"325,045","32,403,200"
"Mar 27, 2018",0.096091,0.099383,0.090139,0.090657,"246,378","34,152,700"
"Mar 26, 2018",0.103447,0.104104,0.091728,0.097349,"249,681","36,767,100"
"Mar 25, 2018",0.109970,0.111412,0.098081,0.103562,"463,536","39,085,400"
"Mar 24, 2018",0.108777,0.123670,0.107998,0.112957,"396,175","38,661,500"
"Mar 23, 2018",0.105604,0.107211,0.095998,0.106739,"224,029","37,533,600"
"Mar 22, 2018",0.108133,0.111140,0.093299,0.105602,"376,076","38,432,600"
"Mar 21, 2018",0.096789,0.113228,0.096447,0.108171,"644,979","34,400,600"
"Mar 20, 2018",0.088709,0.099382,0.082578,0.096487,"445,738","31,528,800"
"Mar 19, 2018",0.081099,0.089480,0.077046,0.088329,"411,654","28,824,200"
"Mar 18, 2018",0.082977,0.083509,0.070452,0.081079,"436,840","29,491,800"
"Mar 17, 2018",0.092004,0.092004,0.082513,0.083089,"299,649","32,699,900"
"Mar 16, 2018",0.087480,0.096620,0.085549,0.092164,"421,968","31,091,900"
"Mar 15, 2018",0.085118,0.089799,0.082447,0.087619,"428,622","30,252,700"
"Mar 14, 2018",0.093067,0.096357,0.083031,0.084870,"439,297","33,077,900"
"Mar 13, 2018",0.094151,0.100291,0.090338,0.092969,"350,178","33,463,200"
"Mar 12, 2018",0.100154,0.101717,0.090363,0.094432,"650,219","35,596,700"
"Mar 11, 2018",0.100730,0.102642,0.086398,0.094806,"695,835","35,801,500"
"Mar 10, 2018",0.104045,0.110486,0.098002,0.099312,"603,318","36,979,800"
"Mar 09, 2018",0.095795,0.104368,0.088768,0.104197,"606,626","34,047,500"
"Mar 08, 2018",0.110574,0.113419,0.092555,0.096544,"739,751","39,300,200"
"Mar 07, 2018",0.126647,0.129114,0.108303,0.110750,"714,979","45,012,800"
"Mar 06, 2018",0.140628,0.141537,0.124428,0.126688,"602,934","49,981,900"
"Mar 05, 2018",0.143198,0.144965,0.139705,0.141287,"608,335","50,895,300"
"Mar 04, 2018",0.142043,0.147555,0.138215,0.142310,"715,095","50,484,800"
"Mar 03, 2018",0.145552,0.150360,0.140128,0.142011,"786,224","51,731,900"
"Mar 02, 2018",0.153853,0.155750,0.144037,0.146069,"936,733","54,682,500"
"Mar 01, 2018",0.146038,0.158886,0.143532,0.154135,"1,009,070","51,904,600"
"Feb 28, 2018",0.149835,0.153625,0.142993,0.145643,"249,693","53,254,400"
"Feb 27, 2018",0.148531,0.155462,0.144270,0.149851,"628,946","52,791,000"
"Feb 26, 2018",0.142505,0.151321,0.138383,0.148908,"638,242","50,648,900"
"Feb 25, 2018",0.144130,0.148002,0.139485,0.142592,"463,408","51,226,800"
"Feb 24, 2018",0.153681,0.157749,0.142456,0.144451,"730,181","54,621,300"
"Feb 23, 2018",0.141570,0.155836,0.138150,0.153858,"599,944","50,316,900"
"Feb 22, 2018",0.149645,0.164507,0.138667,0.140225,"880,974","53,186,900"
"Feb 21, 2018",0.167199,0.167199,0.146182,0.150111,"848,871","59,425,900"
"Feb 20, 2018",0.180071,0.183584,0.167122,0.167809,"669,296","64,000,600"
"Feb 19, 2018",0.186927,0.188197,0.178485,0.179929,"730,338","66,437,400"
"Feb 18, 2018",0.204300,0.205763,0.176431,0.186974,"1,495,620","72,612,300"
"Feb 17, 2018",0.169447,0.207079,0.164703,0.203890,"1,139,850","60,224,800"
"Feb 16, 2018",0.146171,0.174120,0.145068,0.168728,"1,312,810",-
"Feb 15, 2018",0.150328,0.154775,0.144580,0.146304,"720,681",-
"Feb 14, 2018",0.137128,0.151209,0.135028,0.150315,"662,147",-
"Feb 13, 2018",0.138779,0.142643,0.133609,0.137259,"394,131",-
"Feb 12, 2018",0.138694,0.142184,0.132743,0.138185,"722,260",-
"Feb 11, 2018",0.138186,0.143361,0.124770,0.138611,"670,240",-
"Feb 10, 2018",0.148382,0.158731,0.131362,0.138349,"992,090",-
"Feb 09, 2018",0.134109,0.149551,0.126292,0.149136,"847,614",-
"Feb 08, 2018",0.116006,0.137761,0.116006,0.133362,"580,199",-
"Feb 07, 2018",0.137985,0.145122,0.117084,0.117084,"844,134",-
"Feb 06, 2018",0.114207,0.145585,0.093540,0.139014,"1,396,820",-
"Feb 05, 2018",0.150192,0.151370,0.103545,0.114326,"1,218,190",-
"Feb 04, 2018",0.183189,0.184771,0.147945,0.151806,"1,298,090",-
"Feb 03, 2018",0.180508,0.193049,0.159696,0.183270,"900,522",-
"Feb 02, 2018",0.194080,0.194901,0.147944,0.180779,"1,498,890",-
"Feb 01, 2018",0.227501,0.228771,0.174395,0.194358,"1,675,520",-
"Jan 31, 2018",0.218776,0.228603,0.206606,0.228007,"1,113,590",-
"Jan 30, 2018",0.259388,0.259388,0.212974,0.216607,"1,558,630",-
"Jan 29, 2018",0.272556,0.273650,0.248244,0.256830,"2,665,920",-
"Jan 28, 2018",0.278265,0.278891,0.259402,0.273225,"3,583,840",-
"Jan 27, 2018",0.276616,0.283890,0.260699,0.276942,"3,472,250",-
"Jan 26, 2018",0.273975,0.281409,0.250242,0.277170,"3,373,780",-
"Jan 25, 2018",0.266654,0.286469,0.252006,0.275536,"4,082,110",-
"Jan 24, 2018",0.235225,0.269137,0.230080,0.265332,"4,016,670",-
"Jan 23, 2018",0.241990,0.254922,0.204492,0.237426,"3,091,790",-
"Jan 22, 2018",0.247293,0.256413,0.213167,0.242446,"4,716,710",-
"Jan 21, 2018",0.310509,0.310509,0.229029,0.246817,"5,658,550",-
"Jan 20, 2018",0.258350,0.314484,0.258350,0.310442,"7,702,440",-
"Jan 19, 2018",0.220704,0.260881,0.194445,0.257249,"8,063,920",-
"Jan 18, 2018",0.229908,0.259744,0.189333,0.221522,"9,622,520",-
"Jan 17, 2018",0.195499,0.228162,0.146469,0.228162,"6,965,440",-
"Jan 16, 2018",0.329643,0.330388,0.168677,0.191600,"8,124,770",-
"Jan 15, 2018",0.328591,0.371051,0.284596,0.334216,"10,233,000",-
"Jan 14, 2018",0.307160,0.374264,0.307160,0.329643,"18,592,600",-
