Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",2.06,2.14,1.61,1.64,"43,459","55,674,500"
"Mar 28, 2018",1.76,2.09,1.75,2.06,"32,276","47,425,500"
"Mar 27, 2018",2.02,2.08,1.76,1.76,"19,770","54,579,400"
"Mar 26, 2018",1.86,2.04,1.71,2.02,"24,581","50,331,300"
"Mar 25, 2018",1.81,2.05,1.77,1.87,"13,893","48,902,500"
"Mar 24, 2018",1.96,2.17,1.83,1.83,"30,009","52,892,800"
"Mar 23, 2018",2.12,2.12,1.68,1.93,"41,677","57,314,800"
"Mar 22, 2018",2.13,2.43,1.37,2.12,"34,721","57,456,600"
"Mar 21, 2018",2.09,2.34,2.09,2.13,"21,029","56,438,500"
"Mar 20, 2018",1.79,2.28,1.74,2.09,"19,730","48,460,000"
"Mar 19, 2018",1.68,2.03,1.10,1.78,"44,548","45,252,900"
"Mar 18, 2018",2.15,2.15,1.48,1.75,"60,950","58,002,600"
"Mar 17, 2018",2.21,2.36,2.01,2.15,"38,096","59,644,100"
"Mar 16, 2018",2.10,2.31,1.69,2.21,"30,047","56,593,800"
"Mar 15, 2018",2.31,2.36,2.00,2.10,"50,247","62,486,200"
"Mar 14, 2018",2.58,2.82,2.18,2.31,"28,591","69,637,700"
"Mar 13, 2018",2.55,2.85,2.46,2.58,"29,356","68,941,200"
"Mar 12, 2018",2.44,2.57,2.24,2.57,"21,171","65,914,100"
"Mar 11, 2018",2.28,2.47,1.74,2.41,"52,060","61,487,200"
"Mar 10, 2018",2.39,2.69,2.05,2.29,"84,040","64,564,300"
"Mar 09, 2018",2.75,2.81,2.22,2.37,"36,214","74,296,500"
"Mar 08, 2018",3.13,3.18,2.55,2.75,"46,043","84,550,200"
"Mar 07, 2018",2.99,3.70,2.59,3.14,"118,287","80,837,100"
"Mar 06, 2018",3.20,3.40,2.52,3.00,"58,668","86,359,200"
"Mar 05, 2018",3.31,3.51,2.48,3.21,"51,937","89,383,900"
"Mar 04, 2018",3.52,3.52,2.76,3.31,"89,097","95,014,500"
"Mar 03, 2018",3.96,4.11,3.51,3.52,"64,432","106,907,000"
"Mar 02, 2018",4.23,4.43,3.50,3.96,"89,077","114,151,000"
"Mar 01, 2018",4.61,4.81,3.35,4.24,"151,516","124,582,000"
"Feb 28, 2018",4.77,5.14,4.18,4.61,"77,121","128,781,000"
"Feb 27, 2018",5.03,5.25,4.48,4.66,"67,301","135,708,000"
"Feb 26, 2018",4.53,5.16,3.92,5.01,"202,575","122,286,000"
"Feb 25, 2018",4.24,5.08,4.14,4.52,"89,700","114,532,000"
"Feb 24, 2018",4.19,4.45,3.91,4.25,"38,942","113,239,000"
"Feb 23, 2018",4.14,4.31,3.90,4.20,"18,028","111,812,000"
"Feb 22, 2018",4.23,4.76,4.03,4.15,"42,617","114,136,000"
"Feb 21, 2018",4.71,5.13,4.18,4.23,"98,911","127,150,000"
"Feb 20, 2018",5.17,5.59,4.51,4.71,"108,739","139,686,000"
"Feb 19, 2018",5.23,5.59,4.80,5.09,"46,048","141,080,000"
"Feb 18, 2018",5.54,5.69,4.39,5.25,"66,413","149,446,000"
"Feb 17, 2018",3.90,5.52,3.85,5.52,"249,029","105,395,000"
"Feb 16, 2018",3.73,3.90,3.42,3.90,"53,991","100,613,000"
"Feb 15, 2018",3.50,3.67,3.16,3.67,"34,120","94,595,700"
"Feb 14, 2018",3.17,3.67,3.04,3.50,"92,976","85,576,100"
"Feb 13, 2018",3.37,3.46,2.96,3.18,"61,277","90,970,000"
"Feb 12, 2018",3.27,3.55,3.07,3.36,"27,662","88,354,600"
"Feb 11, 2018",3.59,3.59,2.67,3.25,"87,088","97,049,200"
"Feb 10, 2018",3.98,4.16,3.21,3.60,"67,703","107,438,000"
"Feb 09, 2018",3.77,3.98,3.30,3.98,"62,596","101,729,000"
"Feb 08, 2018",3.16,3.97,3.16,3.76,"31,567","85,379,100"
"Feb 07, 2018",3.61,4.04,3.17,3.17,"59,462","97,425,300"
"Feb 06, 2018",2.90,4.15,2.40,3.64,"129,938","78,364,200"
"Feb 05, 2018",3.71,3.77,2.67,2.90,"56,555","100,112,000"
"Feb 04, 2018",4.53,4.62,3.44,3.74,"109,801","122,343,000"
"Feb 03, 2018",3.80,4.67,3.61,4.52,"83,698","102,555,000"
"Feb 02, 2018",4.60,4.86,2.96,4.17,"126,588","124,212,000"
"Feb 01, 2018",5.96,6.05,3.43,4.61,"242,768","161,010,000"
"Jan 31, 2018",4.87,6.14,4.72,5.95,"91,425","131,534,000"
"Jan 30, 2018",5.40,5.61,3.93,4.89,"122,798","145,837,000"
"Jan 29, 2018",6.30,6.46,4.58,5.56,"187,556","169,982,000"
"Jan 28, 2018",7.03,7.24,5.91,6.30,"348,941","189,849,000"
"Jan 27, 2018",6.90,7.34,6.61,6.99,"181,486","186,276,000"
"Jan 26, 2018",6.74,7.05,6.26,6.90,"201,465","181,857,000"
"Jan 25, 2018",7.19,7.44,5.89,6.64,"296,423","194,183,000"
"Jan 24, 2018",6.34,7.15,5.92,7.08,"302,580","171,099,000"
"Jan 23, 2018",6.60,6.96,5.23,6.31,"305,375","178,280,000"
"Jan 22, 2018",7.29,7.56,5.47,6.63,"392,929","196,841,000"
"Jan 21, 2018",7.64,7.96,6.20,7.24,"224,536","206,280,000"
"Jan 20, 2018",7.09,8.18,6.97,7.81,"250,168","191,317,000"
"Jan 19, 2018",7.49,7.95,6.75,7.01,"223,789","202,103,000"
"Jan 18, 2018",6.62,8.18,6.56,7.55,"248,899","178,667,000"
"Jan 17, 2018",7.00,7.23,5.16,6.60,"276,892","188,986,000"
"Jan 16, 2018",8.36,8.62,5.53,7.04,"601,312","225,711,000"
"Jan 15, 2018",8.43,9.01,7.97,8.33,"279,897","227,714,000"
"Jan 14, 2018",8.66,9.51,7.84,8.79,"253,043","233,736,000"
"Jan 13, 2018",8.48,9.58,8.30,8.64,"314,651","229,033,000"
"Jan 12, 2018",7.67,8.71,7.04,8.48,"418,474","207,066,000"
"Jan 11, 2018",8.34,8.38,6.63,7.62,"274,041","225,308,000"
"Jan 10, 2018",7.25,8.38,7.11,8.35,"227,747","195,651,000"
"Jan 09, 2018",7.47,8.47,7.27,8.16,"377,468","201,687,000"
"Jan 08, 2018",6.43,7.67,5.97,7.49,"476,121","173,735,000"
"Jan 07, 2018",6.24,6.80,5.74,6.44,"360,309","168,548,000"
"Jan 06, 2018",6.76,6.81,6.02,6.02,"383,821","182,407,000"
"Jan 05, 2018",6.43,7.05,5.70,6.67,"356,109","173,638,000"
"Jan 04, 2018",7.60,7.63,5.21,6.43,"379,541","205,274,000"
"Jan 03, 2018",8.09,8.93,6.47,7.57,"434,031","218,481,000"
"Jan 02, 2018",7.87,8.61,6.62,8.51,"671,627","212,504,000"
"Jan 01, 2018",8.27,9.61,6.62,8.11,"1,282,750","223,320,000"
"Dec 31, 2017",4.61,8.32,4.42,8.24,"792,272","124,423,000"
"Dec 30, 2017",4.36,4.99,3.84,4.66,"390,918","117,822,000"
"Dec 29, 2017",2.84,5.11,2.62,4.37,"531,617","76,766,000"
"Dec 28, 2017",2.19,2.80,1.90,2.80,"343,779","59,251,700"
"Dec 27, 2017",1.74,2.96,1.64,2.20,"238,168","46,896,600"
"Dec 26, 2017",1.37,1.75,1.30,1.74,"104,267","37,063,100"
"Dec 25, 2017",1.31,1.44,1.17,1.37,"137,052","35,422,800"
"Dec 24, 2017",1.19,1.31,1.02,1.30,"100,886","32,081,600"
"Dec 23, 2017",1.05,1.36,0.968053,1.18,"45,246","28,299,300"
"Dec 22, 2017",1.19,1.21,0.807438,1.04,"52,956","32,242,600"
"Dec 21, 2017",1.31,1.35,1.09,1.19,"84,420","35,258,400"
"Dec 20, 2017",1.29,1.35,1.13,1.30,"69,714","34,893,400"
"Dec 19, 2017",1.51,1.59,1.24,1.29,"84,893","40,824,400"
"Dec 18, 2017",1.59,1.67,1.32,1.51,"228,570","43,042,300"
"Dec 17, 2017",1.49,1.73,1.43,1.59,"272,985","40,141,100"
"Dec 16, 2017",1.30,1.50,0.856530,1.49,"106,694","35,193,800"
"Dec 15, 2017",1.12,1.50,1.05,1.30,"262,519","30,349,400"
"Dec 14, 2017",0.861788,1.16,0.856037,1.12,"114,871","23,268,300"
"Dec 13, 2017",0.863550,0.886048,0.793340,0.864326,"108,321","23,315,800"
"Dec 12, 2017",0.673746,0.862932,0.594484,0.862932,"83,485","18,191,200"
"Dec 11, 2017",0.613135,0.694846,0.559146,0.671586,"88,059","16,554,600"
"Dec 10, 2017",0.510117,0.630468,0.426941,0.616998,"32,770","13,773,200"
"Dec 09, 2017",0.474591,0.525592,0.418305,0.508037,"25,785","12,814,000"
"Dec 08, 2017",0.519465,0.591583,0.387056,0.475056,"29,875","14,025,600"
"Dec 07, 2017",0.588219,0.612505,0.375823,0.517953,"28,418","15,881,900"
"Dec 06, 2017",0.517460,0.589204,0.470727,0.589204,"26,150","13,971,400"
"Dec 05, 2017",0.497402,0.540967,0.438755,0.518517,"13,483","13,429,900"
"Dec 04, 2017",0.454216,0.504721,0.411392,0.496604,"23,027","12,263,800"
"Dec 03, 2017",0.422296,0.512303,0.392126,0.452701,"27,620","11,402,000"
"Dec 02, 2017",0.543651,0.579891,0.397724,0.421985,"31,858","14,678,600"
"Dec 01, 2017",0.361191,0.663018,0.278592,0.543332,"225,976","9,752,170"
"Nov 30, 2017",0.231184,0.366472,0.208415,0.362783,"17,844","6,241,980"
"Nov 29, 2017",0.295611,0.306380,0.220028,0.224127,"13,165","7,977,900"
"Nov 28, 2017",0.227732,0.281795,0.206499,0.271585,"28,169","6,136,390"
"Nov 27, 2017",0.207972,0.267178,0.188750,0.235381,"49,195","5,595,000"
"Nov 26, 2017",0.234904,0.244741,0.199212,0.207825,"16,928","6,309,510"
"Nov 25, 2017",0.222425,0.282457,0.192621,0.234910,"25,735","5,964,990"
"Nov 24, 2017",0.247851,0.251361,0.187551,0.217667,"32,026","6,636,830"
"Nov 23, 2017",0.240676,0.324050,0.223133,0.247923,"31,407","6,434,350"
"Nov 22, 2017",0.200532,0.365481,0.200532,0.240816,"51,812","5,352,380"
"Nov 21, 2017",0.138983,0.264357,0.136950,0.198508,"38,572","3,703,640"
"Nov 20, 2017",0.148684,0.184608,0.128054,0.140167,"14,915","3,956,020"
"Nov 19, 2017",0.126873,0.159513,0.126859,0.144766,"10,088","3,370,300"
"Nov 18, 2017",0.138554,0.152634,0.113330,0.126623,"17,585","3,674,700"
"Nov 17, 2017",0.099283,0.185831,0.085074,0.138581,"19,205","2,629,100"
"Nov 16, 2017",0.110707,0.121089,0.098706,0.099514,"5,365","2,927,640"
"Nov 15, 2017",0.099604,0.112397,0.099604,0.110133,"6,668","2,629,910"
"Nov 14, 2017",0.094303,0.106552,0.091732,0.099619,"11,063","2,485,870"
"Nov 13, 2017",0.088917,0.098711,0.078729,0.094172,"15,110","2,340,180"
"Nov 12, 2017",0.125563,0.158184,0.087043,0.088521,"7,871","3,299,490"
"Nov 11, 2017",0.095863,0.147752,0.086937,0.125312,"13,126","2,515,280"
"Nov 10, 2017",0.120047,0.126323,0.096181,0.096181,"7,848","3,144,790"
"Nov 09, 2017",0.133653,0.133653,0.106793,0.119743,"7,105","3,496,970"
"Nov 08, 2017",0.122844,0.134122,0.113940,0.133757,"8,367","3,210,950"
"Nov 07, 2017",0.106060,0.144404,0.103564,0.123067,"13,592","2,767,920"
"Nov 06, 2017",0.106573,0.123953,0.094888,0.120670,"9,551","2,776,820"
"Nov 05, 2017",0.134853,0.136176,0.105390,0.106353,"6,466","3,508,040"
"Nov 04, 2017",0.132366,0.141060,0.127501,0.135108,"9,101","3,438,330"
"Nov 03, 2017",0.132266,0.138366,0.125316,0.132712,"13,303","3,430,160"
"Nov 02, 2017",0.130200,0.147183,0.122866,0.132439,"10,812","3,370,990"
"Nov 01, 2017",0.106354,0.136744,0.104109,0.130025,"9,450","2,749,030"
"Oct 31, 2017",0.088572,0.128686,0.077081,0.106513,"15,660","2,285,640"
"Oct 30, 2017",0.128935,0.128935,0.074523,0.088815,"15,273","3,316,380"
