Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.33,1.35,1.28,1.35,"3,253,900","52,735,800"
"Mar 22, 2018",1.36,1.43,1.30,1.34,"2,833,430","53,954,600"
"Mar 21, 2018",1.40,1.47,1.33,1.35,"3,679,360","55,286,700"
"Mar 20, 2018",1.30,1.41,1.21,1.39,"2,746,970","51,387,200"
"Mar 19, 2018",1.22,1.31,1.18,1.29,"2,463,460","48,026,400"
"Mar 18, 2018",1.20,1.26,0.999933,1.22,"796,850","47,614,400"
"Mar 17, 2018",1.30,1.31,1.19,1.21,"1,343,550","51,322,200"
"Mar 16, 2018",1.32,1.37,1.26,1.29,"2,166,050","52,102,900"
"Mar 15, 2018",1.35,1.36,1.22,1.32,"1,847,400","53,374,900"
"Mar 14, 2018",1.55,1.57,1.29,1.35,"2,499,720","61,126,000"
"Mar 13, 2018",1.55,1.61,1.51,1.54,"2,517,670","61,287,800"
"Mar 12, 2018",1.68,1.71,1.53,1.56,"4,114,670","66,551,200"
"Mar 11, 2018",1.54,1.75,1.50,1.69,"2,708,050","60,778,200"
"Mar 10, 2018",1.61,1.68,1.53,1.54,"6,432,480","63,741,000"
"Mar 09, 2018",1.59,1.62,1.42,1.61,"14,738,100","62,983,700"
"Mar 08, 2018",1.69,1.74,1.56,1.60,"9,715,330","66,727,100"
"Mar 07, 2018",1.84,1.88,1.62,1.70,"7,071,610","72,617,800"
"Mar 06, 2018",1.95,2.02,1.80,1.85,"7,641,040","76,979,500"
"Mar 05, 2018",1.92,2.08,1.90,1.95,"9,442,340","75,710,100"
"Mar 04, 2018",1.96,1.96,1.85,1.92,"2,468,460","77,210,000"
"Mar 03, 2018",2.01,2.05,1.90,1.96,"2,796,220","79,262,400"
"Mar 02, 2018",1.99,2.05,1.95,2.01,"2,325,130","78,559,900"
"Mar 01, 2018",1.94,2.04,1.82,1.98,"2,649,960","76,637,300"
"Feb 28, 2018",2.06,2.08,1.89,1.94,"2,620,560","81,251,000"
"Feb 27, 2018",2.12,2.17,2.02,2.06,"1,671,200","83,524,700"
"Feb 26, 2018",2.05,2.16,1.98,2.11,"2,135,680","80,895,100"
"Feb 25, 2018",1.99,2.12,1.94,2.05,"2,202,210","78,325,600"
"Feb 24, 2018",2.07,2.15,1.91,1.99,"4,243,870","81,539,400"
"Feb 23, 2018",1.88,2.13,1.85,2.08,"3,982,250","74,357,600"
"Feb 22, 2018",2.10,2.16,1.85,1.88,"4,331,650","82,570,300"
