Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.055057,0.056400,0.050879,0.053861,"31,605","18,168,300"
"Mar 22, 2018",0.055672,0.058783,0.052232,0.054573,"85,417","18,371,300"
"Mar 21, 2018",0.049405,0.056691,0.048490,0.055728,"100,410","16,303,100"
"Mar 20, 2018",0.051547,0.053941,0.046399,0.050544,"401,269","17,010,000"
"Mar 19, 2018",0.049569,0.053043,0.047530,0.051099,"61,157","16,357,500"
"Mar 18, 2018",0.049806,0.051087,0.042280,0.051087,"69,569","16,435,600"
"Mar 17, 2018",0.054498,0.054498,0.049616,0.049914,"84,242","17,983,800"
"Mar 16, 2018",0.053511,0.057691,0.052488,0.054364,"96,120","17,658,400"
"Mar 15, 2018",0.057224,0.081149,0.049529,0.053550,"72,974","18,883,600"
"Mar 14, 2018",0.060336,0.065660,0.053565,0.057237,"128,419","19,910,500"
"Mar 13, 2018",0.065363,0.070375,0.060125,0.060325,"147,772","21,569,400"
"Mar 12, 2018",0.068277,0.073095,0.064819,0.065651,"73,017","22,530,700"
"Mar 11, 2018",0.065943,0.073096,0.063151,0.068462,"100,176","21,826,400"
"Mar 10, 2018",0.069996,0.074209,0.065669,0.065957,"79,525","23,168,000"
"Mar 09, 2018",0.073586,0.075677,0.058903,0.069975,"184,360","24,356,400"
"Mar 08, 2018",0.075613,0.086720,0.072092,0.074329,"147,768","25,027,400"
"Mar 07, 2018",0.088276,0.094313,0.077454,0.077454,"270,999","29,218,600"
"Mar 06, 2018",0.095116,0.096704,0.073505,0.089329,"508,002","31,482,700"
"Mar 05, 2018",0.106057,0.110889,0.093889,0.093889,"280,295","35,104,100"
"Mar 04, 2018",0.106878,0.116417,0.103094,0.105910,"588,888","35,375,800"
"Mar 03, 2018",0.118072,0.120604,0.103047,0.109297,"239,873","39,080,800"
"Mar 02, 2018",0.111798,0.124133,0.108562,0.118202,"281,890","37,004,200"
"Mar 01, 2018",0.108571,0.118564,0.104968,0.112051,"213,567","35,936,000"
"Feb 28, 2018",0.119807,0.120053,0.107522,0.110148,"371,303","39,655,200"
"Feb 27, 2018",0.113772,0.123337,0.107189,0.121845,"445,075","37,657,600"
"Feb 26, 2018",0.111776,0.121301,0.103324,0.113446,"301,158","36,996,900"
"Feb 25, 2018",0.113619,0.118519,0.102631,0.112445,"174,279","37,606,900"
"Feb 24, 2018",0.125245,0.131320,0.110263,0.113805,"144,998","41,455,200"
"Feb 23, 2018",0.122143,0.131787,0.115721,0.125385,"186,031","40,428,400"
"Feb 22, 2018",0.123737,0.131244,0.116415,0.121987,"248,936","40,955,900"
