Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.428698,0.430813,0.317951,0.334743,"8,664,410","29,151,500"
"Mar 28, 2018",0.436486,0.449024,0.415457,0.428398,"4,598,850","29,681,000"
"Mar 27, 2018",0.477510,0.483859,0.433959,0.433959,"3,758,120","32,470,700"
"Mar 26, 2018",0.558609,0.582617,0.440696,0.481192,"8,747,670","37,985,400"
"Mar 25, 2018",0.486693,0.588620,0.474583,0.559889,"14,120,000","33,095,100"
"Mar 24, 2018",0.453149,0.522911,0.452563,0.495614,"6,247,870","30,814,100"
"Mar 23, 2018",0.484195,0.488709,0.421792,0.448481,"5,649,340","32,925,200"
"Mar 22, 2018",0.446534,0.528167,0.410989,0.482417,"20,815,300","30,364,300"
"Mar 21, 2018",0.393361,0.464764,0.388725,0.447066,"10,003,300","26,748,500"
"Mar 20, 2018",0.363496,0.409283,0.347430,0.394799,"5,368,760","24,717,800"
"Mar 19, 2018",0.369341,0.378506,0.343389,0.358604,"3,190,440","25,115,200"
"Mar 18, 2018",0.360766,0.371953,0.295303,0.362152,"2,387,190","24,532,100"
"Mar 17, 2018",0.419906,0.419906,0.360525,0.364113,"2,994,930","28,553,600"
"Mar 16, 2018",0.404145,0.446610,0.388117,0.417675,"3,562,750","27,481,900"
"Mar 15, 2018",0.418022,0.428828,0.386009,0.404487,"2,669,420","28,425,500"
"Mar 14, 2018",0.507811,0.535351,0.412018,0.418379,"1,995,260","34,531,100"
"Mar 13, 2018",0.455681,0.563087,0.448490,0.506777,"6,053,600","30,986,300"
"Mar 12, 2018",0.472360,0.512133,0.440025,0.454795,"931,018","32,120,500"
"Mar 11, 2018",0.451929,0.501130,0.429933,0.473985,"1,021,430","30,731,200"
"Mar 10, 2018",0.488001,0.518611,0.437078,0.454590,"2,466,510","33,184,100"
"Mar 09, 2018",0.494496,0.500507,0.429968,0.476966,"2,301,940","33,625,700"
"Mar 08, 2018",0.501086,0.575827,0.466646,0.488596,"6,732,670","34,073,800"
"Mar 07, 2018",0.583377,0.614887,0.471276,0.508758,"1,145,900","39,669,600"
"Mar 06, 2018",0.673237,0.680959,0.569011,0.583331,"1,116,240","45,780,100"
"Mar 05, 2018",0.705583,0.734865,0.672773,0.674944,"1,254,900","47,979,700"
"Mar 04, 2018",0.679471,0.754401,0.658912,0.696288,"1,511,780","46,204,100"
"Mar 03, 2018",0.681460,0.705669,0.656000,0.680110,"990,189","46,339,300"
"Mar 02, 2018",0.662010,0.705708,0.662010,0.680718,"1,138,080","45,016,700"
"Mar 01, 2018",0.640877,0.693063,0.632368,0.666464,"1,563,890","43,579,600"
"Feb 28, 2018",0.685850,0.701578,0.634268,0.634268,"1,222,020","46,637,800"
"Feb 27, 2018",0.692968,0.723596,0.666381,0.684612,"1,234,300","47,121,900"
"Feb 26, 2018",0.700936,0.726339,0.685501,0.688553,"1,274,960","47,663,700"
"Feb 25, 2018",0.774597,0.774597,0.671951,0.700729,"867,293","52,672,600"
"Feb 24, 2018",0.737094,0.786225,0.681694,0.777221,"1,027,930","50,122,400"
"Feb 23, 2018",0.719671,0.775119,0.691332,0.749606,"1,567,990","48,937,600"
"Feb 22, 2018",0.826383,0.872239,0.724351,0.725584,"1,982,020","56,194,100"
"Feb 21, 2018",0.891278,0.925627,0.820172,0.826225,"1,613,780","60,606,900"
"Feb 20, 2018",0.981912,0.987357,0.875924,0.889677,"1,207,050","66,770,000"
