Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",0.439391,0.458014,0.391015,0.456778,"1,713","9,177,420"
"Mar 11, 2018",0.408198,0.483760,0.387669,0.440727,521,"8,524,700"
"Mar 10, 2018",0.411959,0.472378,0.389743,0.409579,593,"8,602,050"
"Mar 09, 2018",0.391346,0.430281,0.314389,0.413032,"2,497","8,170,500"
"Mar 08, 2018",0.405236,0.493984,0.391301,0.393837,"1,049","8,459,310"
"Mar 07, 2018",0.428720,0.491641,0.388691,0.405679,690,"8,948,340"
"Mar 06, 2018",0.448147,0.531984,0.425171,0.429226,"3,238","9,352,590"
"Mar 05, 2018",0.673213,0.682811,0.447110,0.448315,"13,245","14,047,600"
"Mar 04, 2018",0.597902,0.685493,0.515272,0.673797,"28,392","12,474,400"
"Mar 03, 2018",0.503871,0.643910,0.491587,0.595567,"1,054","10,511,100"
"Mar 02, 2018",0.436562,0.726628,0.436562,0.503827,"35,500","9,105,720"
"Mar 01, 2018",0.323322,0.648602,0.320997,0.437687,"40,613","6,742,880"
"Feb 28, 2018",0.323359,0.414461,0.321427,0.322865,577,"6,742,710"
"Feb 27, 2018",0.374316,0.410856,0.319584,0.323738,"14,919","7,804,200"
"Feb 26, 2018",0.349437,0.407592,0.345994,0.373247,"12,406","7,284,500"
"Feb 25, 2018",0.359380,0.410819,0.326554,0.348985,"2,010","7,489,770"
"Feb 24, 2018",0.377537,0.377537,0.320468,0.359934,"2,364","7,865,950"
"Feb 23, 2018",0.465832,1.75,0.368309,0.377919,"3,563","9,702,870"
"Feb 22, 2018",0.419574,0.472445,0.325286,0.466392,"2,790","8,736,940"
"Feb 21, 2018",0.534851,0.620457,0.355427,0.420166,"8,295","11,134,300"
"Feb 20, 2018",0.801096,0.864136,0.348026,0.466697,"24,033","16,672,100"
"Feb 19, 2018",0.355035,0.891356,0.353933,0.800320,"57,975","7,386,740"
"Feb 18, 2018",0.362460,0.405756,0.311598,0.357050,"4,484","7,539,030"
"Feb 17, 2018",0.324055,0.372586,0.318784,0.361456,"1,240","6,738,290"
"Feb 16, 2018",0.300736,0.325854,0.273750,0.325725,"1,135","6,251,580"
"Feb 15, 2018",0.336693,0.359555,0.285143,0.302042,"10,804","6,997,030"
"Feb 14, 2018",0.371142,0.434322,0.335231,0.337049,"4,292","7,710,730"
"Feb 13, 2018",0.330478,0.380573,0.307871,0.372243,658,"6,863,930"
"Feb 12, 2018",0.370703,0.388376,0.324341,0.330038,"1,121","7,697,160"
"Feb 11, 2018",0.331177,0.461801,0.301642,0.372572,799,"6,874,470"
"Feb 10, 2018",0.345781,0.401266,0.094469,0.329899,385,"7,175,550"
"Feb 09, 2018",0.345748,0.378753,0.328276,0.343908,"1,837","7,172,800"
"Feb 08, 2018",0.294051,0.346789,0.279368,0.343597,667,"6,098,530"
"Feb 07, 2018",0.284537,0.384054,0.265690,0.293580,163,"5,899,520"
"Feb 06, 2018",0.233363,0.290351,0.199715,0.287019,"1,106","4,837,090"
"Feb 05, 2018",0.274057,0.279560,0.223994,0.233059,958,"5,678,960"
"Feb 04, 2018",0.281713,0.344989,0.271851,0.276729,"8,912","5,835,910"
"Feb 03, 2018",0.266753,0.332705,0.263867,0.281463,591,"5,524,400"
"Feb 02, 2018",0.293961,0.293961,0.228279,0.266001,908,"6,086,130"
"Feb 01, 2018",0.304922,0.306155,0.259579,0.294926,"1,429","6,311,240"
"Jan 31, 2018",0.298698,0.338027,0.285734,0.303928,"2,379","6,180,660"
"Jan 30, 2018",0.347065,0.370184,0.297198,0.297652,"4,914","7,179,470"
"Jan 29, 2018",0.403231,0.407321,0.331161,0.346914,"2,457","8,338,390"
"Jan 28, 2018",0.388043,0.461992,0.386330,0.403366,587,"8,019,800"
"Jan 27, 2018",0.433884,0.460551,0.385166,0.386081,"7,544","8,962,150"
"Jan 26, 2018",0.460746,0.479044,0.420241,0.433064,"7,897","9,511,650"
"Jan 25, 2018",0.464123,0.626850,0.455083,0.461546,"4,642","9,575,910"
"Jan 24, 2018",0.456753,0.496179,0.427982,0.456968,"6,335","9,417,380"
"Jan 23, 2018",0.413861,0.493305,0.382196,0.456927,"3,468","8,529,040"
"Jan 22, 2018",0.514274,0.520157,0.397668,0.414959,"14,901","10,592,200"
"Jan 21, 2018",0.659442,1.07,0.327095,0.507859,"12,037","13,574,100"
"Jan 20, 2018",0.335952,0.742476,0.335952,0.660034,"1,165","6,911,400"
"Jan 19, 2018",0.315326,0.456876,0.311750,0.332577,"9,159","6,483,300"
"Jan 18, 2018",0.309376,0.358465,0.294692,0.318598,"8,311","6,357,430"
"Jan 17, 2018",0.296407,0.331392,0.242981,0.308298,"2,459","6,087,510"
"Jan 16, 2018",0.341983,0.343782,0.261865,0.298090,"3,665","7,019,550"
"Jan 15, 2018",0.369694,0.431781,0.327619,0.341558,"9,460","7,584,070"
"Jan 14, 2018",0.344662,0.405564,0.309482,0.372372,"13,261","7,066,600"
"Jan 13, 2018",0.653946,0.682366,0.316131,0.344437,"22,472","13,400,000"
"Jan 12, 2018",0.641021,0.669097,0.543879,0.654694,"2,423","13,127,500"
"Jan 11, 2018",0.509972,0.677268,0.497935,0.636814,"3,356","10,437,700"
"Jan 10, 2018",0.701014,0.702561,0.458996,0.510544,"2,033","14,339,400"
"Jan 09, 2018",0.444417,0.722901,0.424681,0.700096,"42,724","9,085,380"
"Jan 08, 2018",0.504834,0.604467,0.431259,0.445631,575,"10,314,500"
"Jan 07, 2018",0.653525,0.653525,0.492744,0.505541,430,"13,344,800"
"Jan 06, 2018",0.508670,0.655759,0.428745,0.654005,"7,008","10,381,000"
"Jan 05, 2018",0.313946,0.512571,0.309422,0.508265,"30,106","6,403,550"
"Jan 04, 2018",0.335245,0.435774,0.298305,0.313884,"12,556","6,834,160"
"Jan 03, 2018",0.373861,0.433965,0.328369,0.333419,"2,731","7,617,060"
"Jan 02, 2018",0.391406,0.403796,0.320150,0.375193,"18,583","7,970,440"
"Jan 01, 2018",0.341703,0.394337,0.315817,0.391436,"8,200","6,953,680"
"Dec 31, 2017",0.292433,0.398953,0.289526,0.340386,"8,611","5,944,210"
"Dec 30, 2017",0.322531,0.399185,0.275240,0.295626,"21,876","6,548,710"
"Dec 29, 2017",0.319154,0.398422,0.312553,0.323344,"13,223","6,472,830"
"Dec 28, 2017",0.344764,0.346224,0.299772,0.315884,"7,448","6,984,180"
"Dec 27, 2017",0.336219,0.450190,0.324460,0.345489,"5,073","6,803,790"
"Dec 26, 2017",0.329575,0.449710,0.328227,0.335976,"13,344","6,662,000"
"Dec 25, 2017",0.339495,0.404311,0.311895,0.329912,"4,441","6,854,470"
"Dec 24, 2017",0.308341,0.466370,0.275727,0.336005,"21,499","6,218,300"
"Dec 23, 2017",0.289859,0.364439,0.285921,0.304974,"8,289","5,838,630"
"Dec 22, 2017",0.471234,0.475876,0.230062,0.287147,"5,232","9,480,930"
"Dec 21, 2017",0.337906,0.507436,0.302938,0.469606,"8,525","6,790,450"
"Dec 20, 2017",0.273971,0.522993,0.251674,0.337024,"36,596","5,499,300"
"Dec 19, 2017",0.263469,0.547542,0.244714,0.351841,"19,766","5,282,190"
"Dec 18, 2017",0.262681,0.270127,0.250899,0.263246,"7,903","5,261,170"
"Dec 17, 2017",0.301889,0.339148,0.259063,0.261888,"5,265","6,040,090"
"Dec 16, 2017",0.335290,0.336900,0.224562,0.301850,"3,468","6,700,960"
"Dec 15, 2017",0.295260,0.368212,0.269303,0.334820,"8,779","5,894,270"
"Dec 14, 2017",0.163591,0.338093,0.161826,0.294817,"38,280","3,262,140"
"Dec 13, 2017",0.165159,0.338637,0.157415,0.164118,"18,859","3,289,630"
"Dec 12, 2017",0.160958,0.169773,0.157217,0.165021,"1,816","3,202,650"
"Dec 11, 2017",0.152927,0.203019,0.152259,0.160443,"3,163","3,039,930"
"Dec 10, 2017",0.136240,0.187697,0.120071,0.154039,"2,382","2,705,400"
"Dec 09, 2017",0.120678,0.177709,0.113402,0.135690,"4,396","2,393,730"
"Dec 08, 2017",0.121661,0.134608,0.098855,0.120799,"2,298","2,410,710"
"Dec 07, 2017",0.119502,0.131113,0.106382,0.121376,"9,199","2,365,310"
"Dec 06, 2017",0.122858,0.153019,0.106924,0.119708,"5,742","2,429,000"
"Dec 05, 2017",0.139759,0.140240,0.086201,0.123131,"3,289","2,759,850"
"Dec 04, 2017",0.140522,0.144865,0.100800,0.139484,"7,208","2,771,580"
"Dec 03, 2017",0.134023,0.147963,0.132353,0.140058,"9,974","2,640,160"
"Dec 02, 2017",0.141497,0.144039,0.131694,0.133895,"4,485","2,780,940"
"Dec 01, 2017",0.138204,0.167759,0.130840,0.141617,"10,458","2,709,630"
"Nov 30, 2017",0.138584,0.151094,0.125084,0.138893,"1,358","2,710,490"
"Nov 29, 2017",0.153883,0.172041,0.128212,0.136488,"9,566","3,002,310"
"Nov 28, 2017",0.146331,0.206419,0.136415,0.154037,"11,513","2,847,880"
"Nov 27, 2017",0.167718,0.175115,0.134187,0.145953,"3,297","3,256,110"
