Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",1.09,1.22,1.04,1.12,"58,188","7,641,940"
"Mar 23, 2018",0.985292,1.08,0.938879,1.08,"19,407","6,897,030"
"Mar 22, 2018",1.19,1.21,0.979658,0.985336,"48,684","8,331,390"
"Mar 21, 2018",1.11,1.24,1.09,1.19,"46,663","7,748,990"
"Mar 20, 2018",0.824544,1.19,0.786909,1.04,"110,769","5,771,800"
"Mar 19, 2018",0.651017,0.839884,0.647073,0.815834,"51,492","4,557,120"
"Mar 18, 2018",0.638076,0.890535,0.585756,0.660169,"99,073","4,466,530"
"Mar 17, 2018",0.737619,0.788336,0.605179,0.637984,"26,960","5,163,330"
"Mar 16, 2018",0.828419,0.842279,0.709277,0.736485,"50,015","5,798,930"
"Mar 15, 2018",0.861378,0.874769,0.786211,0.828970,"32,253","6,029,640"
"Mar 14, 2018",0.983827,1.04,0.835239,0.861628,"50,954","6,886,780"
"Mar 13, 2018",1.04,1.10,0.925358,0.981835,"55,501","7,288,040"
"Mar 12, 2018",1.10,1.72,0.929068,1.05,"39,780","7,732,560"
"Mar 11, 2018",1.06,1.15,0.963937,1.11,"40,256","7,385,790"
"Mar 10, 2018",1.11,1.21,1.05,1.06,"47,002","7,785,790"
"Mar 09, 2018",1.01,1.16,0.886896,1.16,"75,358","7,042,040"
"Mar 08, 2018",1.05,1.08,0.935717,1.01,"76,020","7,336,260"
"Mar 07, 2018",1.31,1.31,0.945733,1.05,"346,260","9,174,100"
"Mar 06, 2018",1.40,1.40,1.11,1.36,"188,055","9,792,930"
"Mar 05, 2018",1.44,1.47,1.28,1.40,"91,775","10,096,000"
"Mar 04, 2018",1.55,1.59,1.29,1.44,"64,432","10,830,500"
"Mar 03, 2018",1.67,1.70,1.55,1.55,"55,085","11,679,900"
"Mar 02, 2018",1.67,1.95,1.54,1.67,"158,633","11,691,400"
"Mar 01, 2018",1.54,1.68,1.43,1.67,"70,813","10,783,700"
"Feb 28, 2018",1.74,1.80,1.54,1.54,"69,394","12,170,600"
"Feb 27, 2018",1.82,1.85,1.66,1.74,"64,257","12,747,700"
"Feb 26, 2018",1.79,1.86,1.51,1.82,"110,688","12,537,600"
"Feb 25, 2018",1.87,1.87,1.64,1.79,"92,121","13,082,100"
"Feb 24, 2018",1.95,2.01,1.73,1.82,"30,379","13,650,000"
"Feb 23, 2018",2.06,2.11,1.85,1.95,"149,691","14,420,600"
"Feb 22, 2018",1.70,2.16,1.66,2.06,"243,770","11,930,600"
"Feb 21, 2018",1.73,1.82,1.52,1.71,"116,241","12,112,800"
"Feb 20, 2018",2.08,2.12,1.70,1.75,"199,345","14,529,400"
"Feb 19, 2018",1.85,2.09,1.85,2.07,"74,249","12,980,400"
"Feb 18, 2018",2.16,2.18,1.86,1.86,"139,321","15,118,300"
"Feb 17, 2018",2.12,2.36,2.09,2.11,"138,718","14,864,500"
"Feb 16, 2018",2.30,2.37,1.98,2.12,"133,633","16,077,400"
"Feb 15, 2018",2.52,2.68,2.27,2.31,"165,618","17,609,900"
"Feb 14, 2018",2.47,2.67,2.26,2.56,"319,907","17,301,900"
"Feb 13, 2018",2.87,2.87,2.39,2.48,"148,195","20,109,000"
"Feb 12, 2018",2.49,2.96,2.29,2.87,"454,523","17,451,700"
"Feb 11, 2018",2.40,2.67,2.13,2.48,"288,953","16,822,500"
"Feb 10, 2018",1.98,2.91,1.97,2.37,"776,123","13,873,300"
"Feb 09, 2018",1.94,2.06,1.72,1.97,"325,075","13,576,100"
"Feb 08, 2018",1.63,1.95,1.63,1.93,"181,082","11,376,700"
"Feb 07, 2018",1.73,1.88,1.53,1.63,"102,935","12,095,600"
"Feb 06, 2018",1.43,1.78,1.05,1.73,"198,241","10,000,900"
"Feb 05, 2018",1.95,1.97,1.26,1.43,"225,950","13,629,300"
"Feb 04, 2018",2.30,2.50,1.90,1.99,"144,895","16,088,000"
"Feb 03, 2018",1.98,2.61,1.88,2.30,"218,042","13,839,100"
"Feb 02, 2018",2.01,2.20,1.42,1.99,"282,490","14,060,400"
"Feb 01, 2018",2.07,2.19,1.72,2.01,"196,100","14,468,900"
"Jan 31, 2018",2.29,2.44,2.06,2.06,"220,065","16,021,300"
"Jan 30, 2018",2.67,2.69,2.00,2.33,"312,649","18,673,800"
"Jan 29, 2018",3.18,3.25,2.72,2.72,"336,956","22,251,900"
"Jan 28, 2018",2.94,3.27,2.70,3.19,"365,304","20,585,000"
"Jan 27, 2018",3.01,3.23,2.74,2.93,"214,796","21,055,300"
"Jan 26, 2018",2.91,3.48,2.38,3.01,"325,621","20,364,300"
"Jan 25, 2018",3.37,3.40,2.64,2.92,"343,835","23,604,900"
"Jan 24, 2018",3.38,3.59,3.09,3.31,"355,426","23,631,900"
"Jan 23, 2018",3.52,3.71,3.00,3.38,"441,966","24,620,000"
"Jan 22, 2018",4.27,4.65,3.12,3.53,"407,083","29,908,300"
"Jan 21, 2018",3.77,4.76,3.60,4.32,"1,305,860","26,410,600"
"Jan 20, 2018",3.51,3.80,3.30,3.75,"575,989","24,555,800"
"Jan 19, 2018",3.36,3.67,3.08,3.50,"635,735","23,512,700"
"Jan 18, 2018",4.48,4.48,3.12,3.34,"1,121,290","31,331,300"
"Jan 17, 2018",5.80,6.21,2.35,4.49,"1,317,230","40,579,100"
"Jan 16, 2018",7.33,7.34,4.88,5.82,"849,714","51,344,200"
"Jan 15, 2018",7.46,7.85,6.66,7.32,"1,395,100","52,247,000"
"Jan 14, 2018",8.72,8.96,6.48,7.70,"1,062,650","61,034,600"
"Jan 13, 2018",8.28,8.95,7.61,8.73,"925,140","57,941,300"
"Jan 12, 2018",7.36,9.27,6.91,8.39,"872,509","51,528,000"
"Jan 11, 2018",9.79,10.06,7.22,7.31,"1,167,350","68,508,400"
"Jan 10, 2018",9.99,10.23,8.09,9.91,"1,961,000","69,949,800"
"Jan 09, 2018",6.58,11.26,5.97,9.96,"2,930,700","46,053,300"
"Jan 08, 2018",7.11,7.27,5.27,6.59,"934,495","49,745,200"
"Jan 07, 2018",6.24,7.39,5.78,6.92,"1,118,550","43,677,400"
"Jan 06, 2018",4.80,7.13,4.55,6.29,"998,245","33,627,200"
"Jan 05, 2018",4.31,5.69,4.20,4.82,"1,115,630","30,161,600"
"Jan 04, 2018",3.57,4.36,3.33,4.36,"724,811","25,002,100"
"Jan 03, 2018",3.07,3.60,2.96,3.58,"630,964","21,457,300"
"Jan 02, 2018",2.60,3.43,2.53,3.04,"666,036","18,231,800"
"Jan 01, 2018",2.60,2.71,2.41,2.59,"296,370","18,229,800"
"Dec 31, 2017",2.13,2.70,2.13,2.60,"360,400","14,912,600"
"Dec 30, 2017",2.86,2.86,2.00,2.15,"617,121","20,003,000"
"Dec 29, 2017",2.00,2.87,1.98,2.87,"1,243,340","13,976,300"
