Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.098741,0.099188,0.092788,0.096673,758,"35,417,900"
"Mar 22, 2018",0.103126,0.105714,0.096674,0.098757,204,"36,990,700"
"Mar 21, 2018",0.090324,0.103394,0.088695,0.102924,108,"32,378,400"
"Mar 20, 2018",0.104402,0.107437,0.084131,0.089773,8,"37,424,800"
"Mar 19, 2018",0.082196,0.109843,0.079576,0.103538,"2,378","29,462,000"
"Mar 18, 2018",0.087699,0.087699,0.066525,0.082529,"2,803","31,434,400"
"Mar 17, 2018",0.102938,0.102938,0.086150,0.087912,119,"36,896,600"
"Mar 16, 2018",0.101523,0.106084,0.088312,0.102768,77,"36,389,500"
"Mar 15, 2018",0.089987,0.106424,0.084571,0.101580,124,"32,254,500"
"Mar 14, 2018",0.106615,0.109254,0.085234,0.089967,"155,025","38,205,000"
"Mar 13, 2018",0.099441,0.110565,0.095364,0.106667,"174,234","35,634,200"
"Mar 12, 2018",0.102286,0.112932,0.066214,0.099377,"275,503","36,653,600"
"Mar 11, 2018",0.102849,0.111142,0.087895,0.102429,"425,647","36,855,400"
"Mar 10, 2018",0.122266,0.129544,0.106604,0.106695,"228,243","43,813,300"
"Mar 09, 2018",0.119413,0.124859,0.098372,0.122013,"227,606","42,791,100"
"Mar 08, 2018",0.140432,0.146249,0.119480,0.120369,"249,738","50,323,200"
"Mar 07, 2018",0.158465,0.164032,0.129655,0.144389,"336,370","56,785,200"
"Mar 06, 2018",0.164270,0.165249,0.147988,0.158473,"403,074","58,839,700"
"Mar 05, 2018",0.173693,0.179376,0.163912,0.164440,"181,975","62,214,900"
"Mar 04, 2018",0.170569,0.175192,0.162641,0.173737,"186,134","61,096,000"
"Mar 03, 2018",0.186024,0.188120,0.166736,0.170464,"235,870","66,631,700"
"Mar 02, 2018",0.193984,0.201274,0.181369,0.189868,"268,750","69,482,900"
"Mar 01, 2018",0.198777,0.209881,0.190384,0.194123,"425,952","71,199,500"
"Feb 28, 2018",0.158262,0.204185,0.157681,0.198635,"555,325","56,687,600"
"Feb 27, 2018",0.157630,0.160390,0.142889,0.158246,"439,286","56,461,300"
"Feb 26, 2018",0.148680,0.159670,0.139600,0.157189,"425,403","53,255,500"
"Feb 25, 2018",0.149710,0.154540,0.131120,0.153584,"529,413","53,624,600"
"Feb 24, 2018",0.170469,0.172878,0.147022,0.150032,"321,373","61,060,000"
"Feb 23, 2018",0.166394,0.185593,0.163505,0.169747,"290,452","59,597,200"
"Feb 22, 2018",0.181055,0.191805,0.159667,0.166587,"201,981","64,849,400"
