Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.070018,0.070690,0.062476,0.063715,"549,469","22,755,900"
"Mar 22, 2018",0.075094,0.077700,0.069140,0.070686,"534,271","24,405,700"
"Mar 21, 2018",0.074540,0.079145,0.074381,0.075132,"711,000","24,225,600"
"Mar 20, 2018",0.068060,0.075757,0.068060,0.074956,"1,126,250","22,119,600"
"Mar 19, 2018",0.065035,0.074208,0.062713,0.067978,"753,505","21,136,300"
"Mar 18, 2018",0.068224,0.068224,0.053893,0.064563,"577,819","22,172,800"
"Mar 17, 2018",0.073873,0.073873,0.065189,0.068387,"548,294","24,008,900"
"Mar 16, 2018",0.076779,0.084670,0.069436,0.073677,"1,656,220","24,953,300"
"Mar 15, 2018",0.079064,0.079455,0.067361,0.076860,"1,261,780","25,695,900"
"Mar 14, 2018",0.095674,0.104379,0.076134,0.079166,"2,328,050","31,094,000"
"Mar 13, 2018",0.105406,0.105406,0.093530,0.096526,"1,614,290","34,256,800"
"Mar 12, 2018",0.114270,0.115218,0.097358,0.104381,"2,801,100","37,137,600"
"Mar 11, 2018",0.112004,0.117450,0.101849,0.116567,"4,789,100","36,401,200"
"Mar 10, 2018",0.113855,0.115258,0.103074,0.107766,"2,475,710","37,002,800"
"Mar 09, 2018",0.130259,0.139664,0.099727,0.116987,"8,104,430","42,334,100"
"Mar 08, 2018",0.123285,0.220479,0.115746,0.134974,"38,198,500","40,067,500"
"Mar 07, 2018",0.129964,0.137613,0.113633,0.123299,"2,357,560","42,238,300"
"Mar 06, 2018",0.125840,0.136866,0.122331,0.130979,"2,371,240","40,898,100"
"Mar 05, 2018",0.113484,0.148165,0.111132,0.128863,"11,649,100","36,882,200"
"Mar 04, 2018",0.109319,0.127866,0.105287,0.113572,"3,206,870","35,528,700"
"Mar 03, 2018",0.112937,0.125239,0.106209,0.110128,"2,109,620","36,704,400"
"Mar 02, 2018",0.095451,0.123687,0.093958,0.114787,"9,544,040","31,021,700"
"Mar 01, 2018",0.082733,0.104598,0.080767,0.096017,"2,472,520","26,888,300"
"Feb 28, 2018",0.087590,0.090222,0.082640,0.082685,"426,461","28,466,600"
"Feb 27, 2018",0.088618,0.096267,0.085613,0.088666,"800,712","28,800,900"
"Feb 26, 2018",0.084762,0.091157,0.082686,0.087700,"374,561","27,547,600"
"Feb 25, 2018",0.086509,0.087859,0.080132,0.084670,"561,349","28,115,300"
"Feb 24, 2018",0.097527,0.100761,0.084854,0.086789,"420,083","31,696,200"
"Feb 23, 2018",0.094461,0.099201,0.092268,0.097627,"263,952","30,699,900"
"Feb 22, 2018",0.102613,0.106203,0.093576,0.094544,"300,233","33,349,200"
