Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.070749,0.071003,0.062227,0.063069,"884,349","46,423,500"
"Mar 05, 2018",0.075351,0.075351,0.070537,0.071077,"966,029","49,443,600"
"Mar 04, 2018",0.073598,0.076679,0.070698,0.075026,"1,099,750","48,292,900"
"Mar 03, 2018",0.079600,0.080198,0.070955,0.073622,"1,994,420","52,231,100"
"Mar 02, 2018",0.086838,0.087713,0.077327,0.079765,"1,833,870","56,980,600"
"Mar 01, 2018",0.081149,0.089034,0.080356,0.087477,"1,566,350","53,247,700"
"Feb 28, 2018",0.093726,0.094710,0.080997,0.081081,"3,276,970","61,500,700"
"Feb 27, 2018",0.102913,0.108257,0.092567,0.094156,"6,569,110","67,529,000"
"Feb 26, 2018",0.094721,0.114297,0.092872,0.102465,"11,983,600","62,153,600"
"Feb 25, 2018",0.087668,0.102138,0.084451,0.094828,"4,173,300","57,525,400"
"Feb 24, 2018",0.090442,0.096706,0.084356,0.088164,"2,065,080","59,345,800"
"Feb 23, 2018",0.079470,0.098925,0.078570,0.090230,"5,705,540","52,146,100"
"Feb 22, 2018",0.085040,0.089983,0.078437,0.079476,"1,830,650","55,801,200"
"Feb 21, 2018",0.099046,0.102338,0.083327,0.085495,"10,530,600","64,991,100"
"Feb 20, 2018",0.090613,0.113265,0.088080,0.102419,"13,737,900","59,457,700"
"Feb 19, 2018",0.087291,0.099532,0.086418,0.090477,"2,321,290","56,847,800"
"Feb 18, 2018",0.102510,0.104666,0.083822,0.087226,"2,248,650","66,759,300"
"Feb 17, 2018",0.090316,0.104124,0.090315,0.103130,"2,131,370","58,817,900"
"Feb 16, 2018",0.090559,0.094479,0.087635,0.090026,"1,404,900","58,976,300"
"Feb 15, 2018",0.089259,0.095036,0.084304,0.090997,"2,220,490","58,129,600"
"Feb 14, 2018",0.082952,0.089669,0.081692,0.088915,"1,535,720","54,022,400"
"Feb 13, 2018",0.092414,0.092414,0.079928,0.082635,"1,245,520","60,184,500"
