Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.059682,0.088791,0.055917,0.069671,"138,251","10,174,000"
"Mar 24, 2018",0.056978,0.061494,0.056113,0.060340,"39,743","9,713,080"
"Mar 23, 2018",0.061505,0.061914,0.054315,0.056364,"68,886","10,484,700"
"Mar 22, 2018",0.060621,0.063033,0.055389,0.061497,"56,564","10,334,100"
"Mar 21, 2018",0.064323,0.075352,0.059051,0.060534,"168,435","10,965,100"
"Mar 20, 2018",0.059777,0.067853,0.054264,0.064006,"66,976","10,190,200"
"Mar 19, 2018",0.054718,0.060163,0.049781,0.059241,"76,221","9,327,880"
"Mar 18, 2018",0.053519,0.056900,0.046226,0.054937,"75,221","9,123,500"
"Mar 17, 2018",0.062197,0.064568,0.051797,0.053600,"47,707","10,602,700"
"Mar 16, 2018",0.056633,0.065105,0.049765,0.062139,"67,513","9,654,170"
"Mar 15, 2018",0.056531,0.058318,0.051124,0.056642,"56,074","9,636,800"
"Mar 14, 2018",0.073645,0.075358,0.056237,0.056917,"49,523","12,554,300"
"Mar 13, 2018",0.064608,0.076199,0.064608,0.073351,"123,354","11,013,700"
"Mar 12, 2018",0.063695,0.068844,0.059033,0.064744,"57,800","10,858,100"
"Mar 11, 2018",0.057265,0.064315,0.055242,0.063725,"25,566","9,762,040"
"Mar 10, 2018",0.056940,0.065100,0.056720,0.057568,"35,607","9,706,610"
"Mar 09, 2018",0.055944,0.057114,0.048934,0.056946,"58,196","9,536,790"
"Mar 08, 2018",0.061749,0.065781,0.054498,0.056097,"74,518","10,526,400"
"Mar 07, 2018",0.070486,0.075781,0.056274,0.062845,"160,525","12,015,900"
"Mar 06, 2018",0.073636,0.077297,0.070035,0.070853,"129,361","12,552,900"
"Mar 05, 2018",0.073961,0.075266,0.071459,0.073404,"58,665","12,608,300"
"Mar 04, 2018",0.078327,0.078352,0.072755,0.073495,"54,010","13,352,500"
"Mar 03, 2018",0.081823,0.082723,0.077557,0.078377,"103,815","13,948,400"
"Mar 02, 2018",0.087906,0.089234,0.079233,0.081896,"73,644","14,985,400"
"Mar 01, 2018",0.083271,0.089247,0.076197,0.087963,"205,849","14,195,200"
"Feb 28, 2018",0.086607,0.092969,0.082729,0.083231,"162,280","14,763,900"
"Feb 27, 2018",0.087694,0.091740,0.083402,0.086619,"82,632",-
"Feb 26, 2018",0.085810,0.094468,0.084316,0.087454,"198,624",-
"Feb 25, 2018",0.087317,0.089700,0.082446,0.085774,"78,393",-
"Feb 24, 2018",0.090131,0.093049,0.084018,0.087495,"83,527",-
"Feb 23, 2018",0.085723,0.094451,0.084101,0.090233,"144,456",-
"Feb 22, 2018",0.095107,0.102044,0.083588,0.085278,"104,736",-
"Feb 21, 2018",0.101571,0.102060,0.085926,0.095224,"149,568",-
"Feb 20, 2018",0.112290,0.141283,0.100961,0.101633,"389,935",-
"Feb 19, 2018",0.102280,0.118782,0.100511,0.112703,"313,187",-
"Feb 18, 2018",0.113469,0.117237,0.100046,0.102620,"233,274",-
"Feb 17, 2018",0.113177,0.118570,0.107703,0.112896,"418,224",-
"Feb 16, 2018",0.107744,0.116969,0.102516,0.113138,"480,287",-
"Feb 15, 2018",0.099977,0.112904,0.099742,0.107218,"359,941",-
"Feb 14, 2018",0.090726,0.100229,0.089927,0.100229,"278,696",-
"Feb 13, 2018",0.095881,0.105874,0.088702,0.090810,"584,058",-
"Feb 12, 2018",0.089359,0.100654,0.088849,0.095481,"276,825",-
"Feb 11, 2018",0.092575,0.097400,0.080547,0.088976,"256,071",-
"Feb 10, 2018",0.096588,0.113441,0.082992,0.092646,"734,917",-
"Feb 09, 2018",0.112757,0.115840,0.090579,0.090579,"468,293",-
"Feb 08, 2018",0.112844,0.124563,0.107345,0.114386,"270,889",-
"Feb 07, 2018",0.140155,0.147848,0.112409,0.113234,"442,823",-
"Feb 06, 2018",0.106099,0.143555,0.080325,0.140855,"626,433",-
"Feb 05, 2018",0.141061,0.144733,0.093639,0.105862,"473,789",-
"Feb 04, 2018",0.182773,0.185387,0.130701,0.145307,"755,233",-
"Feb 03, 2018",0.175150,0.192144,0.165408,0.182747,"732,244",-
"Feb 02, 2018",0.176093,0.178437,0.133803,0.175029,"4,347,710",-
"Feb 01, 2018",0.204897,0.241140,0.149894,0.178521,"3,880,870",-
"Jan 31, 2018",0.240718,0.240718,0.187689,0.204504,"4,470,640",-
"Jan 30, 2018",0.354476,0.354476,0.233135,0.239227,"9,140,370",-
"Jan 29, 2018",0.264667,0.360843,0.248407,0.357603,"21,603,900",-
