Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.001406,0.002067,0.000818,0.001605,"271,150","15,077,600"
"Mar 22, 2018",0.001574,0.001935,0.001215,0.001406,"19,807","16,881,200"
"Mar 21, 2018",0.002062,0.002065,0.001303,0.001577,"68,228","22,111,400"
"Mar 20, 2018",0.002008,0.002089,0.001640,0.002058,"37,434","21,533,300"
"Mar 19, 2018",0.001331,0.002106,0.001276,0.001820,"26,870","14,269,800"
"Mar 18, 2018",0.001390,0.001390,0.001103,0.001336,"22,452","14,908,500"
"Mar 17, 2018",0.001757,0.003621,0.001358,0.001393,"14,796","18,844,100"
"Mar 16, 2018",0.001668,0.001824,0.001410,0.001755,"12,226","17,890,200"
"Mar 15, 2018",0.001773,0.001830,0.001514,0.001669,"45,713","19,013,900"
"Mar 14, 2018",0.002096,0.002240,0.001723,0.001758,"30,525","22,483,800"
"Mar 13, 2018",0.002186,0.002283,0.001967,0.002096,"24,521","23,442,400"
"Mar 12, 2018",0.002311,0.002541,0.002032,0.002198,"45,012","24,787,100"
"Mar 11, 2018",0.002200,0.002528,0.002106,0.002318,"35,474","23,599,400"
"Mar 10, 2018",0.002455,0.002525,0.001861,0.002199,"24,974","26,328,600"
"Mar 09, 2018",0.002295,0.002487,0.001999,0.002454,"45,104","24,614,300"
"Mar 08, 2018",0.002656,0.002832,0.002308,0.002310,"47,855","28,489,600"
"Mar 07, 2018",0.003077,0.003103,0.002398,0.002660,"39,399","32,999,700"
"Mar 06, 2018",0.003413,0.003543,0.002791,0.003081,"72,666","36,600,300"
"Mar 05, 2018",0.003271,0.003880,0.002615,0.003422,"117,844","35,081,800"
"Mar 04, 2018",0.003312,0.003465,0.002775,0.003273,"53,795","35,524,600"
"Mar 03, 2018",0.002974,0.003421,0.002190,0.003318,"70,941","31,892,400"
"Mar 02, 2018",0.003140,0.003277,0.002314,0.003004,"58,109","33,673,600"
"Mar 01, 2018",0.003407,0.003536,0.003013,0.003237,"50,154","36,544,400"
"Feb 28, 2018",0.002884,0.003645,0.002630,0.003402,"57,797","30,931,300"
"Feb 27, 2018",0.002771,0.002942,0.002341,0.002887,"86,756","29,721,800"
"Feb 26, 2018",0.002950,0.002988,0.001788,0.002763,"81,030","31,635,800"
"Feb 25, 2018",0.002997,0.003299,0.002711,0.002877,"24,097","32,141,800"
"Feb 24, 2018",0.004059,0.004119,0.002738,0.002883,"45,852","43,527,000"
"Feb 23, 2018",0.003866,0.004203,0.003579,0.004017,"22,336","41,465,900"
"Feb 22, 2018",0.003965,0.004358,0.003689,0.003871,"31,326","42,519,400"
