Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.593972,0.637259,0.504590,0.614425,"2,260,640","81,052,600"
"Mar 22, 2018",0.626606,0.672456,0.538827,0.595639,"1,840,040","85,505,700"
"Mar 21, 2018",0.592520,0.749904,0.583435,0.624991,"4,734,030","80,853,500"
"Mar 20, 2018",0.490749,0.598848,0.475705,0.580643,"2,745,110","66,947,000"
"Mar 19, 2018",0.473854,0.488307,0.433582,0.486059,"3,542,680","64,638,300"
"Mar 18, 2018",0.391551,0.480930,0.337743,0.474334,"3,836,400","53,407,400"
"Mar 17, 2018",0.458271,0.458271,0.366576,0.389662,"1,096,330","62,507,400"
"Mar 16, 2018",0.433948,0.474421,0.418366,0.458662,"977,892","59,186,200"
"Mar 15, 2018",0.498386,0.507518,0.403561,0.437751,"2,755,640","67,960,100"
"Mar 14, 2018",0.569472,0.616566,0.479624,0.491987,"1,846,750","77,645,100"
"Mar 13, 2018",0.545779,0.584874,0.518128,0.570999,"1,859,580","74,365,800"
"Mar 12, 2018",0.650765,0.663618,0.540975,0.549416,"2,890,010","84,039,700"
"Mar 11, 2018",0.571763,0.667749,0.545194,0.653527,"2,926,340","73,794,500"
"Mar 10, 2018",0.529165,0.691639,0.526937,0.568628,"5,432,540","68,246,900"
"Mar 09, 2018",0.560809,0.560809,0.382966,0.522098,"5,071,290","72,308,200"
"Mar 08, 2018",0.672634,0.685404,0.524307,0.561150,"5,769,530","85,799,500"
"Mar 07, 2018",0.719798,0.878069,0.625896,0.676459,"8,965,270","90,821,000"
"Mar 06, 2018",0.785972,1.17,0.670116,0.700504,"18,916,700","98,686,100"
"Mar 05, 2018",0.518799,0.818751,0.499515,0.791998,"7,397,800",-
"Mar 04, 2018",0.410998,0.516249,0.346315,0.514613,"3,230,450",-
"Mar 03, 2018",0.280599,0.454828,0.234742,0.408009,"3,014,620",-
