Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.54,1.55,1.47,1.54,"16,340","27,242,800"
"Mar 22, 2018",1.61,1.66,1.52,1.54,"33,640","28,516,000"
"Mar 21, 2018",1.61,1.81,1.59,1.65,"88,191","28,488,100"
"Mar 20, 2018",1.53,1.67,1.46,1.61,"101,832","26,917,300"
"Mar 19, 2018",1.56,1.62,1.35,1.49,"113,825","27,446,300"
"Mar 18, 2018",1.42,1.61,1.28,1.56,"119,570","25,003,600"
"Mar 17, 2018",1.40,1.65,1.40,1.42,"90,058","24,602,800"
"Mar 16, 2018",1.55,1.62,1.40,1.40,"41,815","27,238,200"
"Mar 15, 2018",1.64,1.72,1.42,1.55,"79,022","28,874,800"
"Mar 14, 2018",1.96,2.02,1.64,1.64,"80,942","34,413,000"
"Mar 13, 2018",2.00,2.17,1.90,1.96,"46,844","35,110,100"
"Mar 12, 2018",2.14,2.41,1.99,2.01,"197,247","37,476,200"
"Mar 11, 2018",1.73,2.23,1.64,2.14,"83,451","30,400,900"
"Mar 10, 2018",1.91,1.99,1.73,1.74,"47,267","33,531,000"
"Mar 09, 2018",1.98,2.00,1.74,1.91,"46,211","34,673,800"
"Mar 08, 2018",2.15,2.22,1.90,1.99,"69,438","37,630,400"
"Mar 07, 2018",2.45,2.56,2.03,2.15,"154,225","42,800,800"
"Mar 06, 2018",2.77,2.80,2.41,2.45,"183,442","48,392,900"
"Mar 05, 2018",2.74,2.93,2.33,2.76,"213,270","47,778,100"
"Mar 04, 2018",2.81,2.81,2.64,2.81,"46,855","48,991,200"
"Mar 03, 2018",2.89,3.05,2.79,2.81,"58,985","50,297,800"
"Mar 02, 2018",2.77,3.00,2.68,2.89,"82,986","48,316,600"
"Mar 01, 2018",2.82,2.90,2.72,2.78,"47,909","49,139,100"
"Feb 28, 2018",2.82,3.06,2.67,2.82,"163,391","48,864,900"
"Feb 27, 2018",2.55,2.82,2.44,2.75,"136,633","44,209,200"
"Feb 26, 2018",2.32,2.57,2.21,2.50,"105,621","40,157,400"
"Feb 25, 2018",2.32,2.42,2.16,2.31,"91,882","40,216,200"
"Feb 24, 2018",2.55,2.61,2.19,2.33,"100,150","44,096,800"
"Feb 23, 2018",2.30,2.67,2.19,2.56,"68,389","39,845,100"
"Feb 22, 2018",2.50,2.63,2.22,2.29,"42,905","43,222,700"
